COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,motor_imagery_class
63, 8165, 8066, 8167, 8005, 8159, 8145, 8154, 8180, 8194, 8244, 8288, 8180, 8241, 8252,0.0022211074829101562,REST
64, 8163, 8069, 8164, 8015, 8164, 8147, 8160, 8184, 8199, 8245, 8277, 8178, 8230, 8249,0.010107040405273438,REST
65, 8149, 8070, 8151, 8005, 8156, 8142, 8151, 8176, 8189, 8236, 8271, 8165, 8213, 8248,0.01816844940185547,REST
66, 8142, 8071, 8147, 8003, 8152, 8133, 8141, 8173, 8181, 8227, 8270, 8160, 8212, 8241,0.027635812759399414,REST
67, 8147, 8068, 8152, 8013, 8152, 8134, 8144, 8165, 8174, 8215, 8256, 8157, 8207, 8228,0.03371071815490723,REST
68, 8128, 8067, 8142, 8019, 8159, 8141, 8137, 8152, 8175, 8225, 8247, 8138, 8200, 8218,0.0415644645690918,REST
69, 8126, 8053, 8120, 8006, 8153, 8144, 8153, 8165, 8187, 8237, 8249, 8137, 8200, 8219,0.04989957809448242,REST
70, 8136, 8050, 8117, 8004, 8148, 8141, 8168, 8187, 8203, 8244, 8256, 8146, 8201, 8234,0.057926177978515625,REST
71, 8143, 8070, 8131, 8018, 8158, 8144, 8163, 8187, 8212, 8251, 8260, 8145, 8203, 8244,0.06612348556518555,REST
72, 8161, 8086, 8130, 8022, 8160, 8150, 8176, 8191, 8208, 8248, 8256, 8149, 8215, 8248,0.07350945472717285,REST
73, 8161, 8093, 8127, 8029, 8167, 8153, 8179, 8204, 8219, 8265, 8266, 8162, 8239, 8257,0.0813760757446289,REST
74, 8170, 8088, 8140, 8038, 8180, 8159, 8180, 8211, 8234, 8277, 8274, 8175, 8245, 8268,0.0902557373046875,REST
75, 8173, 8081, 8143, 8040, 8182, 8155, 8177, 8209, 8229, 8267, 8265, 8171, 8232, 8267,0.09696316719055176,REST
76, 8159, 8086, 8145, 8055, 8178, 8152, 8171, 8202, 8221, 8270, 8261, 8165, 8230, 8256,0.10474514961242676,REST
77, 8176, 8087, 8155, 8075, 8179, 8164, 8187, 8201, 8215, 8273, 8256, 8176, 8229, 8261,0.11247754096984863,REST
78, 8173, 8076, 8151, 8084, 8174, 8156, 8176, 8195, 8210, 8262, 8252, 8179, 8221, 8261,0.12037920951843262,REST
79, 8166, 8071, 8145, 8096, 8160, 8147, 8169, 8196, 8215, 8262, 8253, 8184, 8219, 8258,0.128448486328125,REST
80, 8185, 8089, 8162, 8120, 8168, 8162, 8183, 8208, 8232, 8282, 8264, 8206, 8234, 8274,0.13685202598571777,REST
81, 8188, 8113, 8176, 8139, 8182, 8172, 8178, 8206, 8233, 8283, 8274, 8213, 8244, 8281,0.1446235179901123,REST
82, 8180, 8101, 8163, 8134, 8164, 8159, 8171, 8184, 8209, 8250, 8260, 8210, 8222, 8270,0.1526322364807129,REST
83, 8162, 8084, 8157, 8123, 8153, 8151, 8160, 8166, 8201, 8250, 8249, 8204, 8205, 8262,0.1605677604675293,REST
84, 8171, 8102, 8162, 8115, 8159, 8167, 8176, 8175, 8213, 8271, 8246, 8203, 8216, 8266,0.16835737228393555,REST
85, 8186, 8116, 8162, 8121, 8158, 8183, 8190, 8186, 8218, 8262, 8243, 8205, 8221, 8265,0.17629241943359375,REST
86, 8174, 8100, 8162, 8126, 8153, 8176, 8171, 8177, 8216, 8249, 8247, 8196, 8218, 8259,0.18305301666259766,REST
87, 8177, 8093, 8164, 8116, 8142, 8167, 8177, 8179, 8215, 8244, 8244, 8196, 8222, 8261,0.19227242469787598,REST
88, 8169, 8105, 8158, 8115, 8142, 8163, 8178, 8180, 8216, 8242, 8232, 8188, 8219, 8250,0.20025372505187988,REST
89, 8147, 8093, 8139, 8102, 8136, 8152, 8155, 8162, 8203, 8231, 8211, 8163, 8198, 8223,0.20848727226257324,REST
90, 8134, 8077, 8123, 8076, 8119, 8141, 8139, 8153, 8190, 8217, 8206, 8151, 8184, 8208,0.2150578498840332,REST
91, 8130, 8093, 8129, 8077, 8122, 8140, 8141, 8166, 8201, 8220, 8225, 8155, 8187, 8213,0.22362780570983887,REST
92, 8152, 8104, 8144, 8090, 8133, 8147, 8169, 8176, 8209, 8220, 8218, 8163, 8188, 8225,0.23056650161743164,REST
93, 8145, 8101, 8137, 8090, 8135, 8153, 8168, 8169, 8206, 8225, 8212, 8160, 8194, 8225,0.23804211616516113,REST
94, 8130, 8105, 8130, 8080, 8133, 8155, 8158, 8171, 8210, 8229, 8234, 8157, 8203, 8222,0.24739885330200195,REST
95, 8152, 8115, 8142, 8080, 8129, 8152, 8165, 8178, 8214, 8223, 8245, 8162, 8205, 8232,0.2552638053894043,REST
96, 8158, 8128, 8152, 8091, 8133, 8152, 8157, 8177, 8217, 8224, 8244, 8169, 8211, 8241,0.2631235122680664,REST
97, 8157, 8130, 8142, 8082, 8135, 8158, 8158, 8179, 8208, 8217, 8243, 8180, 8207, 8237,0.270174503326416,REST
98, 8159, 8122, 8132, 8066, 8137, 8153, 8159, 8182, 8198, 8213, 8246, 8171, 8203, 8237,0.2790968418121338,REST
99, 8163, 8119, 8145, 8073, 8139, 8158, 8164, 8185, 8200, 8222, 8242, 8166, 8210, 8249,0.2870175838470459,REST
100, 8166, 8122, 8152, 8078, 8133, 8172, 8178, 8178, 8199, 8219, 8231, 8174, 8203, 8248,0.2937195301055908,REST
101, 8145, 8119, 8138, 8064, 8128, 8174, 8168, 8167, 8184, 8210, 8226, 8161, 8190, 8232,0.30130434036254883,REST
102, 8155, 8116, 8136, 8052, 8125, 8169, 8169, 8169, 8176, 8201, 8221, 8156, 8190, 8235,0.30919909477233887,REST
103, 8171, 8132, 8156, 8061, 8126, 8158, 8172, 8177, 8191, 8201, 8226, 8169, 8202, 8246,0.3179783821105957,REST
104, 8169, 8150, 8170, 8076, 8138, 8157, 8165, 8190, 8206, 8215, 8237, 8181, 8212, 8254,0.3258330821990967,REST
105, 8187, 8148, 8168, 8077, 8147, 8177, 8184, 8205, 8208, 8216, 8238, 8191, 8212, 8261,0.33385777473449707,REST
106, 8185, 8145, 8168, 8077, 8154, 8184, 8186, 8203, 8204, 8216, 8240, 8187, 8214, 8258,0.3418288230895996,REST
107, 8176, 8144, 8175, 8087, 8153, 8178, 8181, 8199, 8199, 8219, 8244, 8185, 8222, 8259,0.3496243953704834,REST
108, 8180, 8151, 8183, 8101, 8153, 8179, 8179, 8207, 8206, 8226, 8247, 8190, 8232, 8263,0.3579862117767334,REST
109, 8174, 8146, 8178, 8098, 8150, 8170, 8166, 8197, 8204, 8221, 8242, 8176, 8220, 8256,0.3656919002532959,REST
110, 8161, 8114, 8158, 8076, 8129, 8157, 8162, 8181, 8190, 8197, 8223, 8155, 8191, 8241,0.3734719753265381,REST
111, 8149, 8106, 8159, 8081, 8134, 8165, 8165, 8190, 8192, 8208, 8224, 8152, 8197, 8241,0.38131070137023926,REST
112, 8164, 8124, 8179, 8102, 8157, 8178, 8181, 8205, 8199, 8220, 8228, 8167, 8216, 8257,0.3892405033111572,REST
113, 8175, 8126, 8181, 8103, 8161, 8181, 8190, 8201, 8197, 8204, 8221, 8170, 8213, 8262,0.39728450775146484,REST
114, 8167, 8132, 8173, 8099, 8159, 8183, 8180, 8196, 8195, 8200, 8227, 8163, 8214, 8257,0.4050769805908203,REST
115, 8183, 8145, 8172, 8103, 8153, 8183, 8189, 8208, 8193, 8206, 8237, 8167, 8223, 8261,0.4129769802093506,REST
116, 8183, 8153, 8185, 8119, 8158, 8183, 8191, 8208, 8199, 8219, 8245, 8173, 8236, 8266,0.42151951789855957,REST
117, 8179, 8152, 8198, 8123, 8166, 8193, 8195, 8206, 8206, 8227, 8252, 8185, 8241, 8269,0.4281013011932373,REST
118, 8183, 8143, 8186, 8102, 8163, 8195, 8199, 8209, 8200, 8217, 8245, 8184, 8227, 8270,0.43643760681152344,REST
119, 8174, 8146, 8174, 8095, 8160, 8188, 8179, 8198, 8190, 8208, 8236, 8164, 8214, 8265,0.44430112838745117,REST
120, 8182, 8148, 8180, 8105, 8160, 8189, 8180, 8191, 8181, 8202, 8229, 8159, 8215, 8258,0.45253586769104004,REST
121, 8175, 8139, 8176, 8102, 8151, 8180, 8173, 8187, 8173, 8199, 8221, 8150, 8213, 8247,0.4603884220123291,REST
122, 8164, 8128, 8159, 8080, 8131, 8168, 8163, 8182, 8177, 8188, 8210, 8141, 8200, 8239,0.46726036071777344,REST
123, 8176, 8133, 8161, 8074, 8136, 8177, 8178, 8184, 8180, 8182, 8205, 8150, 8201, 8242,0.47541141510009766,REST
124, 8170, 8154, 8173, 8093, 8153, 8183, 8180, 8192, 8181, 8194, 8210, 8157, 8213, 8249,0.4834582805633545,REST
125, 8175, 8145, 8169, 8073, 8143, 8184, 8191, 8205, 8180, 8193, 8194, 8154, 8208, 8255,0.49151182174682617,REST
126, 8181, 8134, 8169, 8051, 8142, 8189, 8193, 8210, 8183, 8192, 8193, 8152, 8206, 8255,0.498868465423584,REST
127, 8174, 8156, 8177, 8079, 8156, 8181, 8176, 8202, 8176, 8192, 8201, 8158, 8205, 8247,0.506760835647583,REST
238, 8170, 8167, 8167, 8099, 8150, 8174, 8166, 8180, 8158, 8171, 8176, 8151, 8191, 8234,0.5146327018737793,REST
0, 8166, 8153, 8163, 8085, 8147, 8185, 8162, 8182, 8169, 8176, 8173, 8142, 8205, 8241,0.5234975814819336,REST
1, 8180, 8143, 8175, 8072, 8143, 8186, 8174, 8203, 8184, 8188, 8187, 8156, 8223, 8261,0.5313351154327393,REST
2, 8166, 8144, 8172, 8071, 8131, 8166, 8156, 8187, 8165, 8178, 8171, 8156, 8199, 8250,0.5390925407409668,REST
3, 8154, 8150, 8159, 8071, 8129, 8162, 8133, 8164, 8150, 8177, 8158, 8148, 8183, 8230,0.5470104217529297,REST
4, 8173, 8155, 8160, 8074, 8125, 8162, 8140, 8166, 8155, 8182, 8170, 8155, 8194, 8236,0.5553367137908936,REST
5, 8161, 8155, 8162, 8073, 8122, 8152, 8126, 8162, 8156, 8183, 8176, 8150, 8195, 8235,0.5619757175445557,REST
6, 8153, 8145, 8158, 8064, 8122, 8158, 8125, 8150, 8147, 8175, 8162, 8142, 8177, 8224,0.5698058605194092,REST
7, 8165, 8143, 8172, 8077, 8123, 8170, 8138, 8147, 8145, 8169, 8158, 8147, 8170, 8231,0.5782487392425537,REST
8, 8180, 8163, 8192, 8097, 8137, 8175, 8145, 8161, 8155, 8175, 8171, 8159, 8188, 8246,0.5861630439758301,REST
9, 8194, 8169, 8192, 8093, 8145, 8170, 8155, 8167, 8164, 8181, 8175, 8169, 8196, 8247,0.5939686298370361,REST
10, 8177, 8159, 8189, 8091, 8144, 8159, 8145, 8156, 8166, 8184, 8177, 8160, 8189, 8238,0.6018083095550537,REST
11, 8176, 8160, 8196, 8103, 8145, 8171, 8162, 8164, 8166, 8182, 8175, 8156, 8190, 8246,0.6103382110595703,REST
12, 8187, 8166, 8198, 8127, 8152, 8188, 8182, 8186, 8175, 8187, 8171, 8160, 8200, 8253,0.6180205345153809,REST
13, 8172, 8158, 8194, 8148, 8150, 8184, 8171, 8185, 8182, 8198, 8170, 8149, 8203, 8242,0.6258604526519775,REST
14, 8171, 8149, 8193, 8161, 8138, 8188, 8187, 8185, 8177, 8192, 8165, 8144, 8204, 8235,0.6321361064910889,REST
15, 8167, 8154, 8186, 8179, 8140, 8189, 8180, 8189, 8172, 8185, 8164, 8139, 8215, 8233,0.6414463520050049,REST
16, 8162, 8150, 8180, 8184, 8135, 8173, 8150, 8179, 8157, 8170, 8157, 8131, 8206, 8227,0.6495230197906494,REST
17, 8159, 8143, 8179, 8172, 8123, 8171, 8150, 8166, 8138, 8159, 8142, 8120, 8189, 8219,0.6572225093841553,REST
18, 8149, 8148, 8181, 8166, 8119, 8181, 8161, 8158, 8138, 8159, 8141, 8107, 8187, 8211,0.6651556491851807,REST
19, 8152, 8135, 8182, 8163, 8109, 8182, 8166, 8160, 8139, 8138, 8145, 8104, 8185, 8209,0.6734006404876709,REST
20, 8140, 8120, 8176, 8156, 8101, 8172, 8152, 8156, 8135, 8130, 8152, 8099, 8182, 8205,0.6809682846069336,REST
21, 8139, 8124, 8164, 8148, 8098, 8164, 8152, 8146, 8130, 8144, 8142, 8096, 8177, 8202,0.6873576641082764,REST
22, 8154, 8129, 8161, 8143, 8098, 8162, 8158, 8149, 8131, 8155, 8131, 8098, 8177, 8208,0.6952598094940186,REST
