COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp
13, 8145, 8163, 8203, 8200, 8190, 8187, 8182, 8173, 8193, 8210, 8325, 8171, 8122, 8189,0.027658939361572266
14, 8137, 8157, 8202, 8187, 8199, 8202, 8182, 8187, 8210, 8219, 8322, 8179, 8128, 8193,0.027658939361572266
15, 8134, 8135, 8188, 8162, 8179, 8197, 8180, 8179, 8204, 8209, 8314, 8172, 8120, 8189,0.043401241302490234
16, 8131, 8136, 8175, 8170, 8164, 8186, 8170, 8161, 8187, 8197, 8314, 8173, 8120, 8178,0.043401241302490234
17, 8139, 8143, 8174, 8182, 8167, 8176, 8169, 8166, 8186, 8200, 8315, 8181, 8130, 8183,0.05919170379638672
18, 8135, 8121, 8169, 8157, 8147, 8158, 8163, 8168, 8183, 8192, 8314, 8165, 8114, 8184,0.05919170379638672
19, 8133, 8119, 8182, 8169, 8149, 8174, 8163, 8167, 8197, 8200, 8321, 8165, 8112, 8180,0.0742499828338623
20, 8159, 8130, 8181, 8183, 8152, 8181, 8178, 8171, 8194, 8188, 8309, 8165, 8110, 8186,0.0742499828338623
21, 8154, 8124, 8171, 8173, 8148, 8166, 8172, 8158, 8175, 8155, 8300, 8154, 8085, 8173,0.0903022289276123
22, 8133, 8105, 8172, 8162, 8144, 8165, 8160, 8137, 8160, 8146, 8288, 8144, 8065, 8153,0.0903022289276123
23, 8138, 8098, 8169, 8157, 8136, 8169, 8158, 8138, 8153, 8155, 8275, 8137, 8069, 8157,0.10584092140197754
24, 8144, 8120, 8177, 8176, 8152, 8178, 8164, 8162, 8175, 8181, 8304, 8154, 8092, 8175,0.10584092140197754
25, 8149, 8117, 8177, 8175, 8152, 8166, 8169, 8165, 8179, 8185, 8314, 8162, 8084, 8178,0.12098503112792969
26, 8146, 8100, 8178, 8155, 8144, 8153, 8158, 8154, 8176, 8180, 8297, 8164, 8072, 8172,0.12098503112792969
27, 8140, 8112, 8173, 8152, 8157, 8165, 8162, 8161, 8189, 8183, 8290, 8164, 8077, 8170,0.13707351684570312
28, 8131, 8115, 8155, 8159, 8155, 8160, 8162, 8162, 8177, 8167, 8283, 8143, 8056, 8159,0.13707351684570312
29, 8119, 8114, 8164, 8169, 8153, 8146, 8140, 8153, 8167, 8164, 8304, 8152, 8052, 8151,0.15269780158996582
30, 8121, 8110, 8161, 8154, 8139, 8134, 8136, 8150, 8161, 8160, 8306, 8156, 8048, 8150,0.15269780158996582
31, 8124, 8110, 8159, 8155, 8138, 8143, 8148, 8153, 8158, 8152, 8289, 8140, 8041, 8147,0.16820764541625977
32, 8133, 8121, 8179, 8173, 8158, 8160, 8153, 8154, 8161, 8152, 8305, 8148, 8047, 8152,0.16820764541625977
33, 8138, 8107, 8167, 8150, 8138, 8139, 8136, 8131, 8134, 8129, 8305, 8143, 8022, 8149,0.18396949768066406
34, 8121, 8097, 8155, 8144, 8122, 8133, 8121, 8124, 8136, 8133, 8295, 8131, 8018, 8138,0.18396949768066406
35, 8123, 8105, 8154, 8147, 8129, 8148, 8138, 8137, 8150, 8144, 8291, 8119, 8035, 8141,0.19910359382629395
36, 8129, 8115, 8159, 8144, 8139, 8158, 8147, 8136, 8136, 8140, 8296, 8113, 8030, 8139,0.19910359382629395
37, 8126, 8119, 8170, 8156, 8145, 8169, 8138, 8134, 8135, 8152, 8302, 8123, 8023, 8134,0.21416854858398438
38, 8138, 8112, 8171, 8155, 8144, 8171, 8148, 8146, 8146, 8162, 8303, 8129, 8018, 8150,0.2303471565246582
39, 8141, 8129, 8184, 8164, 8168, 8187, 8160, 8156, 8161, 8173, 8326, 8144, 8026, 8167,0.2303471565246582
40, 8134, 8136, 8179, 8160, 8171, 8189, 8149, 8147, 8153, 8153, 8316, 8135, 8004, 8159,0.24593400955200195
41, 8127, 8127, 8164, 8147, 8151, 8176, 8143, 8141, 8138, 8130, 8304, 8123, 7983, 8146,0.24593400955200195
42, 8126, 8134, 8168, 8158, 8151, 8188, 8155, 8148, 8147, 8143, 8319, 8136, 8002, 8147,0.24593400955200195
43, 8129, 8120, 8150, 8146, 8136, 8183, 8148, 8136, 8129, 8125, 8302, 8116, 7982, 8144,0.26106762886047363
44, 8122, 8113, 8147, 8136, 8136, 8176, 8132, 8134, 8132, 8117, 8303, 8112, 7971, 8141,0.2762022018432617
45, 8129, 8118, 8154, 8134, 8143, 8177, 8146, 8157, 8152, 8131, 8326, 8128, 7994, 8152,0.2762022018432617
46, 8128, 8105, 8139, 8126, 8125, 8162, 8141, 8155, 8144, 8125, 8324, 8115, 7990, 8146,0.29136109352111816
47, 8121, 8111, 8141, 8138, 8131, 8162, 8132, 8144, 8148, 8146, 8327, 8113, 7988, 8136,0.29136109352111816
48, 8139, 8114, 8143, 8139, 8139, 8170, 8148, 8148, 8148, 8159, 8324, 8114, 7990, 8147,0.30689311027526855
49, 8138, 8112, 8146, 8136, 8136, 8178, 8145, 8153, 8143, 8152, 8327, 8115, 7994, 8148,0.30689311027526855
50, 8128, 8126, 8152, 8139, 8136, 8176, 8143, 8155, 8146, 8151, 8335, 8126, 7992, 8149,0.32209348678588867
51, 8135, 8141, 8159, 8139, 8141, 8169, 8153, 8160, 8152, 8154, 8335, 8142, 7990, 8166,0.32209348678588867
52, 8141, 8147, 8173, 8146, 8154, 8178, 8150, 8164, 8165, 8164, 8337, 8157, 8005, 8167,0.33739686012268066
53, 8136, 8126, 8148, 8123, 8129, 8165, 8136, 8142, 8139, 8134, 8311, 8131, 7987, 8151,0.33739686012268066
54, 8112, 8117, 8122, 8107, 8114, 8153, 8122, 8131, 8121, 8106, 8294, 8110, 7966, 8135,0.3534834384918213
55, 8102, 8122, 8117, 8108, 8124, 8162, 8125, 8142, 8129, 8109, 8296, 8118, 7965, 8128,0.3534834384918213
56, 8112, 8109, 8107, 8091, 8112, 8151, 8124, 8136, 8119, 8104, 8282, 8107, 7947, 8115,0.3690197467803955
57, 8110, 8116, 8119, 8101, 8117, 8151, 8119, 8134, 8123, 8113, 8279, 8097, 7944, 8108,0.3690197467803955
58, 8113, 8125, 8125, 8105, 8121, 8157, 8129, 8142, 8126, 8116, 8276, 8091, 7945, 8118,0.3851923942565918
59, 8113, 8120, 8124, 8100, 8120, 8159, 8132, 8139, 8124, 8113, 8275, 8094, 7946, 8122,0.3851923942565918
60, 8109, 8125, 8132, 8107, 8131, 8165, 8128, 8138, 8129, 8117, 8268, 8102, 7947, 8121,0.40084099769592285
61, 8100, 8128, 8124, 8100, 8123, 8152, 8121, 8136, 8121, 8097, 8250, 8088, 7933, 8117,0.40084099769592285
62, 8095, 8137, 8129, 8104, 8133, 8149, 8123, 8147, 8135, 8105, 8268, 8100, 7949, 8124,0.4159965515136719
63, 8121, 8139, 8138, 8107, 8138, 8153, 8141, 8165, 8152, 8135, 8280, 8122, 7963, 8150,0.4159965515136719
64, 8131, 8137, 8140, 8106, 8135, 8157, 8142, 8172, 8151, 8147, 8271, 8121, 7943, 8158,0.43120908737182617
65, 8120, 8135, 8132, 8105, 8140, 8160, 8135, 8168, 8148, 8143, 8260, 8111, 7917, 8142,0.43120908737182617
66, 8124, 8123, 8118, 8090, 8124, 8146, 8131, 8159, 8132, 8124, 8248, 8092, 7896, 8132,0.44728803634643555
67, 8122, 8131, 8130, 8108, 8135, 8158, 8129, 8160, 8138, 8135, 8264, 8100, 7903, 8133,0.44728803634643555
68, 8115, 8130, 8121, 8110, 8150, 8166, 8132, 8159, 8141, 8136, 8250, 8103, 7895, 8128,0.46305322647094727
69, 8109, 8118, 8104, 8091, 8142, 8155, 8131, 8157, 8132, 8119, 8217, 8087, 7877, 8125,0.46305322647094727
70, 8107, 8134, 8125, 8110, 8147, 8160, 8134, 8165, 8144, 8133, 8235, 8104, 7897, 8140,0.479142427444458
71, 8113, 8134, 8127, 8116, 8141, 8153, 8134, 8154, 8138, 8133, 8251, 8118, 7901, 8152,0.479142427444458
72, 8107, 8123, 8115, 8106, 8142, 8153, 8129, 8150, 8141, 8133, 8232, 8116, 7895, 8144,0.4951741695404053
73, 8110, 8118, 8102, 8096, 8144, 8158, 8137, 8164, 8150, 8138, 8218, 8100, 7895, 8131,0.4951741695404053
