Timestamp,F3,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,goodbye_event,hello_event,yes_event
0.006467580795288,0,0,0,-1,0,-2,0,0,0,0,0,0,0,False,False,False
0.0144221782684326,22,29,42,12,26,7,19,37,59,37,31,43,36,False,False,False
0.0223839282989501,41,31,57,21,29,-4,24,70,92,43,39,84,71,False,False,False
0.0303754806518554,63,40,58,23,24,25,32,64,82,27,25,82,66,False,False,False
0.03841233253479,73,30,50,0,28,8,36,63,74,18,5,65,39,False,False,False
0.0464465618133544,77,25,36,0,29,-12,41,88,79,13,5,66,34,False,False,False
0.0544269084930419,69,32,22,18,26,16,43,86,68,0,7,56,32,False,False,False
0.0615148544311523,27,-2,-3,-6,13,0,16,54,38,-6,-15,25,3,False,False,False
0.0696172714233398,-7,-28,-37,-21,-8,-23,-15,11,-4,-15,-29,-5,-23,False,False,False
0.0773561000823974,-19,-23,-54,-7,-17,-18,-26,-16,-27,-28,-23,-29,-28,False,False,False
0.0856359004974365,-38,-36,-58,-5,-9,-9,-16,-17,-22,-32,-34,-47,-40,False,False,False
0.0936264991760253,-60,-54,-64,-25,-12,-20,-8,-14,-28,-30,-44,-56,-63,False,False,False
0.101588487625122,-49,-36,-62,-18,-21,-7,-5,-24,-42,-20,-23,-56,-53,False,False,False
0.1096177101135253,-11,20,-27,37,-9,50,6,-26,-35,-2,11,-46,-16,False,False,False
0.1175990104675293,4,47,7,44,4,38,13,-15,-17,12,32,-19,0,False,False,False
0.1243348121643066,11,49,21,32,12,35,15,-4,-8,15,38,3,3,False,False,False
0.1323833465576172,25,66,27,26,19,57,15,-4,-10,14,40,5,15,False,False,False
0.1405787467956543,1,14,30,-41,10,-65,-14,-6,-5,14,29,7,24,False,False,False
0.1486194133758545,-24,-52,37,-64,0,-112,-35,-3,0,11,12,17,21,False,False,False
0.1565504074096679,-2,-22,54,-6,7,2,-18,-9,-3,14,12,26,28,False,False,False
0.1646168231964111,16,8,52,15,8,37,-7,-23,0,24,17,37,40,False,False,False
0.1725828647613525,9,8,20,24,-5,35,-6,-34,0,20,9,28,25,False,False,False
0.1804299354553222,-2,8,5,12,-17,19,-10,-39,-9,7,-12,0,0,False,False,False
0.1886148452758789,-18,-18,6,-21,-22,-37,-14,-29,-6,3,-25,-1,-6,False,False,False
0.1956057548522949,-17,-28,-7,-2,-24,-9,-1,-7,8,-5,-19,11,-2,False,False,False
0.2033941745758056,-12,-17,-26,9,-29,25,0,0,7,-27,-24,-6,-11,False,False,False
0.2116725444793701,-27,-42,-39,-28,-26,-33,-8,-6,-5,-36,-46,-40,-25,False,False,False
0.219719648361206,-16,-40,-43,-12,0,-16,12,9,-3,-21,-41,-39,-22,False,False,False
0.2276525497436523,21,8,-27,31,25,43,31,33,14,-6,-4,-16,0,False,False,False
0.2356667518615722,27,10,-17,-3,16,-24,1,26,16,-4,6,-4,5,False,False,False
0.2433927059173584,17,-3,-21,-18,8,-37,-7,10,6,-1,-4,0,-6,False,False,False
0.2504615783691406,23,26,-16,27,23,50,13,18,8,2,0,5,-7,False,False,False
0.2584278583526611,5,19,-6,11,16,7,-2,26,10,5,4,9,-3,False,False,False
0.2663981914520263,-13,5,11,-2,-2,-23,-20,13,4,9,7,14,-4,False,False,False
0.2744104862213135,17,54,45,26,4,50,7,5,8,15,32,33,10,False,False,False
0.2824196815490722,38,54,55,2,5,14,19,17,20,12,48,43,35,False,False,False
0.2903108596801758,3,-11,31,-40,-13,-66,1,13,11,0,28,17,26,False,False,False
0.2985396385192871,-29,-23,7,-21,-8,-23,2,-13,-22,-6,5,-17,-15,False,False,False
0.3065686225891113,-33,-7,-3,1,4,27,10,-23,-43,-3,0,-33,-36,False,False,False
0.3146071434020996,-32,-27,-16,-9,-1,4,10,-12,-31,-3,-4,-33,-25,False,False,False
0.3215863704681396,-25,-24,-29,-6,-2,7,15,-6,-18,-1,-10,-24,-15,False,False,False
0.3294417858123779,-11,-1,-21,1,2,11,14,0,-4,0,-8,-10,-9,False,False,False
0.3375523090362549,-3,-11,0,-5,-3,-25,0,8,12,0,-7,2,0,False,False,False
0.3455913066864013,12,-5,18,-2,-8,-6,-10,0,8,1,-4,4,7,False,False,False
0.3536102771759033,27,18,24,-12,-2,8,-25,-4,5,7,-1,10,14,False,False,False
0.3615224361419678,19,8,20,-9,3,-11,-39,2,22,9,-2,27,19,False,False,False
0.3694939613342285,30,31,12,50,14,50,-11,0,12,12,6,32,22,False,False,False
0.3775691986083984,50,59,11,57,18,64,19,-2,-2,16,17,26,25,False,False,False
0.3845045566558838,27,13,3,-1,9,-22,10,6,15,3,4,21,21,False,False,False
0.3922913074493408,-3,-27,-18,2,-4,-32,0,4,21,-11,-7,6,11,False,False,False
0.4004123210906982,-9,-15,-27,34,-16,11,0,-20,-4,-11,-8,-16,-5,False,False,False
0.408482551574707,-11,-6,-21,9,-11,3,-11,-39,-23,-18,-17,-35,-20,False,False,False
0.4163320064544678,-20,-24,-23,-32,-4,-31,-24,-36,-26,-24,-26,-34,-20,False,False,False
0.4244394302368164,-30,-40,-25,-31,-20,-43,-26,-25,-21,-9,-22,-17,-17,False,False,False
0.432356595993042,-37,-39,-21,-23,-22,-37,-6,-11,-4,2,-12,-8,-20,True,False,False
0.4402506351470947,-27,-18,-23,-26,4,-13,30,13,7,3,-4,-1,-16,True,False,False
0.4474556446075439,-6,10,-13,8,20,45,53,43,6,3,5,0,-8,True,False,False
0.4554104804992676,1,13,0,19,13,34,28,54,20,4,9,-3,-5,True,False,False
0.4634957313537597,-1,-4,0,-21,12,-21,-8,40,30,2,2,-1,0,True,False,False
0.4714622497558594,4,5,12,-13,11,11,-12,26,8,0,8,5,5,True,False,False
0.4795451164245605,19,29,36,22,-2,34,-2,17,-2,4,22,5,12,True,False,False
0.487520694732666,23,22,39,13,-8,-15,-14,-4,5,8,20,10,28,True,False,False
0.495434045791626,20,6,32,10,-1,-10,-26,-31,-6,1,13,21,35,True,False,False
0.5034575462341309,15,6,35,24,-4,28,-12,-32,-15,1,13,16,22,True,False,False
0.5113563537597656,6,1,34,-2,-6,-14,4,-16,4,6,9,9,13,True,False,False
0.518420934677124,-2,-5,16,-31,8,-43,10,-7,6,0,1,11,9,True,False,False
0.5262930393218994,-3,2,-3,-12,16,6,15,3,-13,0,2,5,0,True,False,False
0.5345611572265625,-17,-15,-16,-17,0,-10,8,11,-13,2,-6,-4,-10,True,False,False
0.5423569679260254,-35,-32,-30,-18,-14,-13,0,-5,-10,-12,-24,-14,-28,True,False,False
0.5504534244537354,-19,19,-36,29,-5,94,14,-24,-25,-23,-22,-36,-53,True,False,False
0.5583465099334717,-4,38,-31,11,3,52,13,-14,-25,-8,-15,-35,-53,True,False,False
0.5664107799530029,-11,-19,-27,-46,-7,-79,-18,-2,-7,5,-17,-9,-23,True,False,False
0.5744409561157227,2,-9,-17,-8,-9,-21,-16,-6,-1,11,-8,0,0,True,False,False
0.581350564956665,29,39,2,29,9,45,3,-8,2,15,0,-2,2,True,False,False
0.5895609855651855,18,-1,9,-24,13,-44,-9,1,21,8,0,9,14,True,False,False
0.597559928894043,2,-32,4,-47,1,-51,-14,11,22,0,8,18,26,True,False,False
0.605513334274292,19,18,11,11,1,42,14,13,5,1,22,9,23,True,False,False
0.6135311126708984,21,11,16,37,2,-4,9,13,6,1,12,5,18,True,False,False
0.6214301586151123,1,-31,7,55,0,-35,-8,11,12,-1,0,8,15,True,False,False
0.6294400691986084,3,9,3,71,-1,62,10,6,6,-1,10,6,9,True,False,False
0.6375820636749268,1,12,5,-7,-5,18,13,13,11,-1,11,2,5,True,False,False
0.6454348564147949,-16,-33,4,-36,-4,-44,-3,16,15,-6,-5,0,0,True,False,False
0.6524050235748291,-10,5,5,47,0,54,11,-2,-3,-5,-4,-8,-13,True,False,False
0.6605095863342285,-8,26,0,27,-6,29,9,-13,-9,1,0,-3,-14,True,False,False
0.668440580368042,-20,-27,-4,-49,-10,-83,-15,-1,7,2,-9,7,0,True,False,False
0.676471471786499,-2,-17,-1,-11,-1,-23,-6,3,8,1,-9,10,11,True,False,False
0.6845228672027588,13,22,0,24,1,37,5,0,8,5,1,10,9,True,False,False
0.6925709247589111,-1,-3,0,-14,0,-25,-8,-2,7,2,4,9,6,True,False,False
0.7006394863128662,5,-16,-4,-15,0,-22,-14,-7,-13,3,1,6,12,True,False,False
0.7073194980621338,24,15,-7,12,10,27,0,-2,-12,8,5,11,13,True,False,False
0.7155029773712158,2,8,3,2,18,-4,-2,0,5,0,2,13,-1,True,False,False
0.723585844039917,-17,-9,3,-1,10,4,-10,-16,-15,-14,-4,-12,-17,True,False,False
0.7313430309295654,-16,-6,-11,-6,-3,29,-4,-25,-38,-13,-12,-38,-24,True,False,False
0.7396116256713867,-34,-28,-21,-28,-10,-20,-4,-5,-23,-10,-18,-33,-36,True,False,False
0.7474474906921387,-34,-14,-13,-6,-8,11,0,-3,-17,-6,-11,-22,-35,True,False,False
0.7555952072143555,7,41,5,0,-7,59,1,-17,-16,0,5,-20,-9,True,False,False
0.7636244297027588,29,35,22,-48,-6,-12,-2,2,7,3,13,-5,13,True,False,False
0.7712950706481934,21,1,27,-58,6,-48,1,33,27,3,23,24,26,True,False,False
0.7794787883758545,17,3,23,-40,14,-11,3,22,19,1,21,29,31,True,False,False
0.7864768505096436,26,13,19,-36,0,23,0,-5,0,-4,6,2,21,True,False,False
0.7942101955413818,34,19,13,-10,-3,35,17,-3,1,-1,12,-2,12,True,False,False
0.8025074005126953,15,4,0,22,7,-14,29,12,18,13,8,12,8,True,False,False
0.8104574680328369,-20,-37,-19,21,1,-69,9,6,4,6,-26,2,-5,True,False,False
0.8183012008666992,-26,-45,-23,28,-5,-24,3,-3,-8,-4,-33,-9,-15,False,False,False
0.8264963626861572,-12,-2,-13,67,7,52,20,5,12,3,-3,0,-8,False,False,False
0.8343625068664551,-31,-1,-7,56,14,13,3,17,22,4,-4,2,-17,False,False,False
0.8425760269165039,-44,-26,-14,15,2,-31,-22,15,7,-6,-19,-1,-32,False,False,False
0.8494095802307129,-3,12,-12,36,-5,50,-6,4,4,1,0,-2,-15,False,False,False
0.8572704792022705,22,51,3,40,-15,62,2,-10,3,21,14,5,6,False,False,False
0.8655416965484619,16,14,17,-14,-26,-68,-21,-11,8,21,6,34,24,False,False,False
0.8734557628631592,19,-24,13,-25,-23,-92,-28,-2,16,4,9,44,47,False,False,False
0.8813271522521973,13,-16,-12,22,-9,32,-6,-14,-14,-11,0,0,29,False,False,False
0.8895089626312256,-8,-2,-35,28,2,55,0,-29,-52,-22,-22,-48,-35,False,False,False
0.897458553314209,-14,-7,-27,3,4,-26,-14,-25,-42,-20,-26,-51,-64,False,False,False
0.9052891731262208,-2,6,-10,15,7,6,-8,-18,-26,-9,-4,-41,-25,False,False,False
0.9123339653015136,3,19,-7,-8,11,34,3,-15,-23,-4,8,-28,13,False,False,False
0.9205846786499025,-4,-3,2,-68,7,-35,-1,-2,-5,0,3,-2,10,False,False,False
0.9284369945526124,-5,-3,22,-39,7,-10,6,12,11,15,15,15,-5,False,False,False
0.936586856842041,-3,7,27,-6,12,22,20,17,17,19,31,17,-6,False,False,False
0.9445724487304688,-1,0,30,-24,7,-18,13,17,23,7,21,24,13,False,False,False
0.9525048732757568,22,21,37,0,0,25,10,19,28,4,16,34,38,False,False,False
0.9604177474975586,34,34,23,16,-2,54,10,23,30,9,25,33,39,False,False,False
0.9684107303619384,2,-8,7,-29,-2,-35,2,16,18,-2,10,23,15,False,False,False
0.9756083488464355,-6,-31,8,-39,-3,-61,0,9,3,-18,-17,12,1,False,False,False
0.9834392070770264,20,1,3,9,2,24,5,6,3,-15,-17,2,10,False,False,False
0.9913711547851562,22,20,-2,26,10,50,15,0,7,-6,-3,3,12,False,False,False
0.9993653297424316,-4,0,-9,-4,7,4,7,-7,-1,-6,-6,6,-5,False,False,False
1.0074548721313477,-22,-25,-17,-27,-5,-20,-14,-9,-8,-12,-13,-10,-17,False,False,False
1.015406370162964,-25,-33,-17,-29,-7,-42,-22,-4,-1,-7,-14,-24,-11,False,False,False
1.023515701293945,-16,-11,-8,-3,0,-12,-3,3,2,7,-12,-13,-6,False,False,False
1.0314152240753174,-1,13,-3,20,3,36,8,5,5,13,1,-1,-3,False,False,False
1.038520574569702,-9,0,-6,1,6,-7,-2,0,8,6,5,-4,-2,False,False,False
1.046675443649292,-11,-4,-4,3,1,-21,-10,0,-10,3,-9,-18,-16,False,False,False
1.0545635223388672,-4,11,-3,30,-3,31,-13,-5,-34,1,-17,-30,-37,False,False,False
1.062388896942139,-18,0,-20,20,5,12,-19,-15,-24,-2,-8,-27,-35,False,False,False
1.0705647468566897,-21,-18,-31,7,2,-35,-16,-21,-13,-4,-3,-15,-9,False,False,False
1.078416347503662,10,-1,-14,18,-21,-11,-4,-17,-22,0,-1,-6,9,False,False,False
1.0863807201385498,25,14,5,19,-29,16,6,-9,-13,4,6,-1,3,False,False,False
