COUNTER,F3, FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,goodbye_event
2,8120,8144,8141,8151,8176,8137,8173,8157,8178,8157,8165,8138,8142,8221,0.0074291229248046,False
3,8133,8159,8157,8168,8182,8142,8172,8167,8172,8157,8146,8147,8125,8220,0.0153687000274658,False
4,8149,8168,8158,8163,8182,8138,8160,8153,8165,8145,8141,8150,8122,8230,0.0235347747802734,False
5,8147,8162,8157,8147,8195,8136,8162,8147,8164,8137,8147,8144,8128,8235,0.0314207077026367,False
6,8149,8152,8160,8156,8200,8131,8160,8160,8154,8134,8154,8150,8122,8234,0.0398006439208984,False
7,8146,8145,8115,8156,8177,8127,8155,8148,8150,8137,8170,8139,8125,8242,0.0475306510925293,False
8,8169,8174,8187,8158,8225,8133,8150,8155,8155,8137,8169,8150,8127,8251,0.0554866790771484,False
9,8177,8163,8173,8188,8158,8138,8151,8153,8170,8149,8177,8157,8133,8260,0.0624716281890869,False
10,8171,8157,8131,8185,8132,8138,8133,8142,8166,8154,8188,8154,8141,8260,0.0706744194030761,False
11,8214,8218,8326,8163,8264,8146,8098,8186,8134,8137,8173,8195,8133,8253,0.0786230564117431,False
12,8205,8188,8269,8171,8160,8147,8115,8172,8150,8146,8204,8188,8158,8269,0.0865116119384765,False
13,8165,8143,8085,8191,8064,8163,8156,8128,8182,8168,8247,8157,8197,8293,0.0944170951843261,False
14,8170,8162,8129,8176,8147,8183,8160,8143,8163,8164,8225,8159,8184,8288,0.102290391921997,False
15,8152,8145,8131,8140,8138,8160,8150,8148,8143,8146,8192,8141,8148,8261,0.1104156970977783,False
16,8136,8145,8119,8140,8134,8142,8161,8151,8156,8139,8200,8143,8136,8246,0.1184310913085937,False
17,8161,8172,8160,8161,8184,8164,8183,8163,8172,8148,8216,8160,8147,8255,0.1254010200500488,False
18,8181,8182,8203,8164,8205,8172,8177,8175,8169,8154,8212,8164,8146,8262,0.1334772109985351,False
19,8165,8174,8156,8176,8133,8160,8164,8173,8172,8156,8223,8158,8147,8267,0.1413838863372802,False
20,8160,8181,8118,8197,8126,8168,8169,8165,8183,8162,8243,8160,8167,8267,0.1494169235229492,False
21,8195,8196,8220,8180,8221,8180,8164,8177,8171,8159,8227,8184,8164,8257,0.157625675201416,False
22,8186,8176,8168,8164,8161,8179,8167,8151,8175,8167,8223,8168,8168,8268,0.1654820442199707,False
23,8194,8214,8168,8198,8172,8188,8174,8152,8186,8173,8235,8173,8183,8291,0.1735627651214599,False
24,8240,8253,8295,8224,8248,8191,8172,8182,8171,8160,8229,8209,8175,8293,0.181429386138916,False
25,8214,8206,8180,8215,8153,8174,8177,8150,8172,8166,8233,8177,8181,8295,0.1895380020141601,False
26,8201,8200,8130,8208,8146,8174,8174,8154,8183,8177,8240,8166,8195,8304,0.196427583694458,False
27,8216,8206,8183,8198,8175,8180,8178,8176,8183,8171,8236,8174,8200,8306,0.2046313285827636,False
28,8210,8192,8180,8181,8174,8172,8189,8166,8170,8163,8229,8169,8199,8308,0.2124586105346679,False
29,8203,8189,8177,8174,8182,8158,8184,8160,8158,8162,8225,8177,8197,8311,0.2205152511596679,False
30,8172,8165,8120,8169,8159,8146,8170,8140,8167,8166,8222,8163,8194,8301,0.2284622192382812,False
31,8168,8167,8153,8168,8188,8154,8154,8140,8165,8156,8208,8163,8170,8288,0.2366440296173095,False
32,8185,8171,8162,8173,8149,8159,8162,8144,8165,8153,8217,8165,8174,8298,0.2443873882293701,False
33,8183,8167,8150,8174,8141,8145,8165,8151,8172,8166,8231,8164,8196,8300,0.2526867389678955,False
34,8189,8175,8199,8181,8182,8143,8146,8172,8162,8171,8225,8179,8194,8291,0.2606265544891357,False
35,8184,8175,8137,8194,8132,8147,8154,8157,8165,8167,8226,8162,8188,8295,0.2675633430480957,False
36,8205,8210,8212,8195,8201,8143,8154,8179,8164,8155,8204,8170,8168,8286,0.2754979133605957,False
37,8209,8195,8245,8193,8210,8141,8142,8186,8165,8159,8201,8181,8167,8275,0.2837154865264892,False
38,8183,8163,8144,8211,8149,8156,8154,8157,8179,8177,8233,8167,8195,8284,0.2914280891418457,False
39,8211,8209,8214,8237,8207,8176,8162,8187,8186,8180,8242,8188,8209,8299,0.2996275424957275,False
40,8213,8204,8186,8237,8167,8170,8163,8184,8204,8195,8251,8178,8230,8310,0.3075845241546631,False
41,8186,8177,8127,8238,8158,8165,8161,8162,8205,8203,8255,8167,8243,8305,0.315385103225708,False
42,8184,8192,8176,8241,8213,8172,8158,8174,8180,8191,8240,8182,8231,8297,0.3235294818878174,False
43,8173,8192,8154,8221,8186,8164,8152,8169,8177,8186,8221,8163,8216,8297,0.3304529190063476,False
44,8163,8171,8124,8197,8148,8144,8142,8162,8184,8185,8203,8149,8200,8288,0.3383903503417969,False
45,8166,8142,8120,8181,8138,8138,8149,8161,8173,8173,8195,8157,8188,8283,0.3465027809143066,False
46,8188,8165,8204,8173,8211,8145,8154,8190,8148,8153,8185,8177,8176,8283,0.3543190956115722,False
47,8174,8167,8167,8180,8179,8144,8166,8194,8159,8159,8196,8165,8185,8283,0.3626303672790527,False
48,8146,8151,8090,8181,8154,8149,8184,8176,8190,8185,8214,8145,8205,8284,0.3705265522003174,False
49,8172,8178,8237,8167,8261,8166,8168,8209,8182,8182,8210,8182,8194,8285,0.3786108493804931,False
50,8166,8155,8208,8166,8192,8168,8157,8195,8176,8167,8213,8179,8195,8294,0.38655686378479,False
51,8147,8132,8082,8188,8120,8163,8171,8153,8190,8173,8229,8155,8214,8298,0.3934071063995361,False
52,8174,8157,8155,8198,8176,8172,8180,8172,8194,8186,8238,8176,8225,8298,0.4014508724212646,False
53,8188,8166,8193,8204,8169,8173,8180,8181,8193,8189,8250,8183,8240,8311,0.4096436500549316,False
54,8206,8184,8186,8236,8151,8164,8172,8162,8183,8187,8264,8196,8250,8327,0.4174187183380127,False
55,8231,8198,8174,8269,8130,8153,8161,8134,8165,8183,8280,8205,8253,8339,0.4253385066986084,False
56,8259,8219,8222,8292,8156,8146,8139,8142,8152,8175,8291,8223,8261,8348,0.4334754943847656,False
57,8261,8223,8238,8302,8149,8144,8121,8159,8151,8184,8297,8244,8281,8355,0.4414441585540771,False
58,8221,8204,8164,8295,8115,8141,8123,8151,8159,8198,8311,8227,8295,8354,0.4495613574981689,False
59,8240,8226,8254,8296,8203,8147,8119,8179,8160,8190,8307,8243,8280,8354,0.4565880298614502,False
60,8252,8200,8239,8286,8168,8150,8129,8180,8159,8184,8282,8240,8273,8351,0.464461088180542,False
61,8205,8164,8117,8262,8109,8139,8153,8168,8149,8166,8249,8199,8251,8328,0.4725852012634277,False
62,8196,8191,8192,8250,8185,8148,8166,8201,8138,8137,8214,8194,8198,8294,0.4803121089935303,False
63,8186,8176,8186,8229,8159,8170,8180,8191,8151,8151,8192,8178,8185,8282,0.4884762763977051,False
64,8163,8148,8129,8190,8127,8175,8174,8173,8147,8167,8177,8160,8195,8281,0.4965052604675293,False
65,8152,8147,8116,8171,8125,8173,8161,8171,8136,8158,8190,8154,8199,8275,0.5043337345123291,False
66,8157,8165,8147,8185,8154,8184,8149,8159,8139,8159,8201,8161,8202,8270,0.5123844146728516,False
67,8193,8186,8217,8208,8182,8187,8132,8159,8131,8164,8196,8183,8201,8282,0.5204164981842041,False
68,8198,8169,8144,8215,8116,8178,8126,8134,8130,8165,8205,8165,8206,8302,0.5274479389190674,False
69,8192,8177,8142,8201,8145,8195,8121,8123,8131,8158,8185,8161,8201,8289,0.53550124168396,False
70,8188,8186,8169,8193,8148,8211,8127,8134,8132,8163,8175,8167,8201,8274,0.5433604717254639,False
71,8182,8187,8139,8200,8115,8207,8132,8141,8137,8176,8197,8166,8207,8281,0.5514297485351562,False
72,8211,8208,8207,8209,8166,8212,8121,8160,8139,8181,8194,8192,8216,8305,0.5593397617340088,False
73,8216,8195,8169,8213,8133,8211,8121,8146,8154,8193,8187,8179,8241,8329,0.5673913955688477,False
74,8207,8199,8168,8212,8153,8196,8113,8149,8141,8186,8171,8162,8222,8310,0.5755221843719482,False
75,8203,8201,8220,8194,8173,8187,8114,8164,8115,8161,8144,8162,8179,8274,0.5833978652954102,False
76,8177,8171,8133,8168,8100,8188,8139,8139,8136,8168,8144,8142,8185,8266,0.5904114246368408,False
77,8170,8159,8114,8165,8118,8204,8145,8143,8164,8184,8153,8139,8192,8265,0.5985221862792969,False
78,8170,8142,8134,8172,8141,8212,8147,8165,8172,8186,8144,8142,8182,8257,0.6062972545623779,False
79,8170,8149,8168,8172,8137,8207,8163,8190,8170,8182,8129,8160,8182,8257,0.6144189834594727,False
80,8172,8157,8174,8184,8127,8206,8181,8195,8177,8189,8148,8173,8199,8270,0.6223742961883545,False
81,8160,8146,8134,8190,8134,8199,8176,8168,8174,8185,8160,8156,8200,8269,0.6303985118865967,False
82,8171,8160,8185,8166,8165,8183,8139,8165,8140,8163,8129,8163,8175,8257,0.6384689807891846,False
83,8173,8163,8150,8174,8121,8174,8129,8155,8133,8169,8153,8169,8194,8278,0.6463987827301025,False
84,8198,8190,8177,8225,8170,8182,8140,8166,8147,8186,8203,8186,8219,8305,0.6534621715545654,False
85,8229,8203,8245,8224,8177,8181,8135,8187,8148,8177,8190,8199,8208,8309,0.6614861488342285,False
86,8199,8167,8134,8188,8068,8157,8137,8160,8151,8168,8160,8166,8201,8310,0.6694447994232178,False
87,8200,8193,8177,8208,8146,8160,8146,8181,8154,8169,8161,8176,8199,8311,0.6774773597717285,False
88,8215,8208,8230,8228,8175,8180,8161,8196,8168,8176,8176,8188,8202,8317,0.6855487823486328,False
89,8204,8176,8149,8205,8111,8168,8170,8174,8179,8178,8173,8168,8204,8323,0.6934299468994141,False
90,8214,8171,8150,8197,8121,8154,8169,8183,8173,8176,8171,8173,8199,8320,0.7015645503997803,False
91,8201,8171,8155,8194,8128,8161,8160,8178,8167,8181,8169,8166,8196,8300,0.7094707489013672,False
92,8187,8170,8196,8177,8172,8153,8140,8175,8153,8170,8136,8156,8171,8265,0.717740535736084,False
93,8167,8138,8156,8163,8135,8136,8154,8171,8154,8164,8130,8139,8162,8250,0.7245299816131592,False
94,8143,8130,8115,8156,8101,8155,8176,8164,8173,8172,8153,8135,8176,8256,0.7323334217071533,False
95,8153,8151,8161,8158,8113,8166,8169,8163,8174,8170,8155,8159,8172,8263,0.7404651641845703,False
96,8168,8142,8132,8179,8097,8146,8160,8151,8166,8166,8166,8158,8171,8275,0.7485113143920898,False
97,8201,8185,8223,8205,8194,8155,8152,8186,8161,8162,8191,8186,8170,8291,0.7562606334686279,False
98,8202,8195,8250,8210,8178,8163,8154,8192,8164,8165,8199,8194,8170,8293,0.7644286155700684,False
99,8162,8146,8122,8190,8078,8135,8156,8146,8161,8165,8182,8150,8171,8275,0.7724006175994873,False
100,8154,8153,8128,8172,8104,8124,8140,8146,8146,8157,8175,8144,8159,8259,0.7793471813201904,False
101,8149,8157,8131,8182,8113,8141,8149,8151,8159,8166,8213,8157,8176,8271,0.7874674797058105,False
102,8155,8149,8153,8202,8132,8149,8178,8163,8175,8182,8229,8176,8206,8287,0.7954549789428711,False
103,8158,8144,8155,8185,8111,8138,8201,8175,8176,8191,8210,8171,8217,8288,0.8035769462585449,False
104,8142,8143,8135,8156,8113,8133,8208,8175,8178,8190,8205,8150,8205,8275,0.8116064071655273,False
105,8153,8158,8208,8159,8166,8148,8200,8196,8168,8173,8207,8168,8183,8253,0.8194162845611572,False
106,8147,8147,8162,8177,8104,8150,8204,8184,8166,8165,8208,8161,8184,8248,0.827498197555542,False
107,8149,8157,8133,8195,8109,8143,8208,8177,8180,8179,8217,8160,8209,8268,0.8354108333587646,False
108,8177,8181,8163,8213,8136,8160,8211,8193,8209,8203,8256,8189,8249,8305,0.843348503112793,False
109,8191,8195,8163,8215,8123,8178,8220,8199,8233,8210,8271,8199,8273,8329,0.8506324291229248,False
110,8216,8198,8225,8202,8150,8177,8217,8214,8228,8199,8237,8203,8255,8328,0.858440637588501,False
111,8211,8164,8162,8199,8102,8171,8222,8188,8225,8202,8235,8183,8245,8331,0.8664698600769043,False
112,8201,8183,8150,8207,8130,8168,8216,8164,8208,8196,8238,8184,8227,8332,0.8743922710418701,False
113,8217,8204,8224,8200,8173,8156,8196,8164,8181,8173,8208,8194,8199,8325,0.8824491500854492,False
114,8208,8161,8167,8172,8112,8138,8189,8146,8172,8167,8193,8165,8203,8316,0.8904492855072021,False
115,8195,8150,8159,8157,8123,8135,8180,8148,8161,8170,8202,8166,8208,8304,0.8973987102508545,False
116,8175,8151,8149,8164,8119,8135,8179,8142,8157,8184,8207,8172,8205,8310,0.9053449630737304,False
117,8166,8161,8154,8161,8133,8125,8175,8143,8162,8192,8187,8165,8198,8308,0.9134416580200196,False
