COUNTER,F3, FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,hello_event
84,8159,8152,8177,8128,8146,8197,8198,8175,8184,8152,8162,8150,8117,8240,0.0037653446197509,False
85,8164,8154,8174,8138,8126,8198,8157,8160,8184,8151,8167,8163,8117,8255,0.0118196010589599,False
86,8168,8168,8175,8157,8142,8201,8166,8148,8185,8151,8168,8179,8125,8261,0.0197458267211914,False
87,8180,8179,8193,8162,8140,8203,8186,8148,8181,8146,8165,8186,8122,8255,0.0277712345123291,False
88,8176,8184,8168,8174,8129,8193,8132,8135,8174,8144,8167,8189,8124,8257,0.0347146987915039,False
89,8221,8214,8202,8210,8189,8189,8186,8150,8167,8155,8185,8210,8146,8278,0.04301118850708,False
90,8234,8221,8206,8225,8136,8175,8154,8146,8169,8173,8192,8221,8172,8302,0.0509116649627685,False
91,8208,8200,8180,8199,8167,8165,8152,8149,8161,8170,8174,8207,8162,8304,0.0596647262573242,False
92,8212,8185,8178,8170,8259,8173,8179,8161,8142,8155,8166,8195,8152,8299,0.0689678192138671,False
93,8193,8179,8147,8161,8194,8181,8129,8145,8143,8161,8175,8184,8169,8301,0.0749242305755615,False
94,8179,8174,8162,8162,8142,8190,8185,8143,8141,8174,8172,8178,8172,8291,0.0826871395111084,False
95,8159,8155,8152,8154,8124,8198,8164,8139,8141,8182,8167,8178,8168,8279,0.0907850265502929,False
96,8144,8150,8136,8134,8144,8200,8154,8157,8148,8160,8170,8176,8161,8270,0.098806619644165,False
97,8158,8153,8167,8123,8136,8186,8185,8169,8152,8136,8170,8171,8146,8262,0.1059534549713134,False
98,8151,8151,8151,8137,8096,8177,8132,8149,8165,8149,8161,8165,8139,8259,0.1138999462127685,False
99,8166,8165,8164,8157,8145,8185,8190,8171,8172,8158,8156,8168,8125,8254,0.1220114231109619,False
100,8165,8165,8166,8161,8131,8176,8177,8184,8181,8150,8167,8172,8132,8262,0.1308972835540771,False
101,8150,8158,8149,8154,8119,8168,8149,8177,8190,8153,8171,8169,8154,8269,0.137751817703247,False
102,8173,8174,8183,8158,8152,8175,8189,8177,8183,8174,8171,8176,8154,8264,0.1459321975708007,False
103,8167,8191,8171,8184,8131,8171,8131,8149,8178,8182,8176,8176,8151,8263,0.1537129878997802,False
104,8179,8207,8180,8209,8155,8172,8163,8148,8180,8164,8179,8180,8160,8264,0.1618745326995849,False
105,8203,8212,8194,8213,8139,8175,8152,8152,8197,8182,8183,8197,8189,8277,0.1689786911010742,False
106,8195,8201,8166,8190,8134,8164,8129,8144,8195,8209,8176,8188,8195,8285,0.1769101619720459,False
107,8195,8195,8176,8167,8173,8164,8188,8147,8166,8181,8167,8173,8160,8276,0.18467378616333,False
108,8168,8184,8154,8163,8134,8171,8144,8133,8168,8158,8161,8165,8141,8264,0.1939401626586914,False
109,8146,8162,8140,8149,8149,8172,8179,8145,8166,8149,8143,8137,8115,8226,0.2008018493652343,False
110,8132,8150,8139,8128,8140,8168,8180,8146,8143,8123,8136,8117,8084,8194,0.2097096443176269,False
111,8120,8162,8140,8126,8115,8171,8148,8144,8144,8114,8155,8141,8096,8216,0.2167506217956543,False
112,8150,8167,8187,8130,8140,8178,8203,8172,8156,8133,8172,8169,8125,8257,0.2249431610107422,False
113,8150,8148,8170,8121,8109,8169,8152,8162,8165,8142,8168,8168,8139,8275,0.2319967746734619,False
114,8153,8154,8165,8132,8139,8171,8169,8166,8175,8139,8166,8172,8144,8274,0.2398560047149658,False
115,8181,8179,8189,8164,8151,8183,8172,8178,8199,8168,8177,8186,8160,8277,0.2488183975219726,False
116,8171,8192,8168,8179,8130,8185,8131,8175,8221,8207,8179,8184,8177,8277,0.2560179233551025,False
117,8165,8194,8180,8162,8177,8184,8192,8187,8219,8187,8172,8173,8169,8264,0.2638051509857178,False
118,8153,8180,8163,8144,8148,8173,8143,8168,8214,8168,8163,8161,8160,8262,0.2719573974609375,False
119,8160,8177,8157,8139,8129,8167,8149,8159,8200,8179,8157,8162,8152,8267,0.2797582149505615,False
120,8171,8177,8166,8119,8177,8177,8172,8161,8187,8168,8165,8164,8153,8272,0.2878532409667969,False
121,8152,8168,8146,8107,8252,8188,8151,8154,8189,8155,8174,8153,8159,8275,0.2957842350006103,False
122,8162,8167,8174,8120,8242,8188,8199,8158,8180,8154,8172,8154,8144,8259,0.303013801574707,False
123,8133,8155,8143,8132,8073,8168,8105,8127,8159,8143,8159,8146,8128,8240,0.3108413219451904,False
124,8123,8151,8126,8125,8087,8160,8120,8128,8136,8118,8151,8136,8115,8236,0.3187918663024902,False
125,8173,8160,8201,8117,8186,8167,8229,8165,8133,8117,8161,8151,8109,8243,0.3278994560241699,False
126,8154,8157,8172,8118,8099,8150,8128,8149,8157,8134,8162,8156,8117,8256,0.3347187042236328,False
127,8125,8161,8109,8126,8072,8137,8087,8147,8174,8136,8148,8146,8122,8255,0.3426570892333984,False
238,8156,8172,8139,8131,8135,8148,8174,8180,8181,8146,8154,8151,8130,8250,0.3509273529052734,False
0,8181,8179,8187,8131,8150,8153,8208,8187,8181,8143,8171,8167,8140,8265,0.3587689399719238,False
1,8174,8189,8177,8143,8111,8152,8141,8160,8175,8145,8178,8186,8157,8294,0.3668878078460693,False
2,8180,8207,8161,8164,8120,8162,8138,8152,8175,8166,8178,8193,8174,8301,0.3738412857055664,False
3,8214,8218,8211,8175,8197,8175,8227,8165,8162,8162,8173,8185,8170,8290,0.3817989826202392,False
4,8187,8194,8177,8178,8152,8166,8123,8125,8146,8160,8170,8179,8177,8298,0.3897314071655273,False
5,8157,8174,8133,8162,8152,8165,8129,8130,8150,8172,8167,8172,8180,8296,0.3977465629577636,False
6,8176,8166,8177,8128,8187,8176,8233,8171,8160,8161,8162,8159,8152,8275,0.4057831764221191,False
7,8133,8137,8130,8098,8105,8159,8127,8148,8165,8140,8154,8140,8132,8261,0.4127535820007324,False
8,8127,8135,8133,8089,8133,8154,8189,8161,8157,8126,8145,8138,8119,8256,0.4216301441192627,False
9,8158,8148,8177,8099,8138,8149,8217,8168,8150,8118,8144,8141,8112,8267,0.4287366867065429,False
10,8140,8140,8145,8102,8109,8132,8134,8147,8149,8112,8153,8136,8116,8258,0.4376783370971679,False
11,8135,8138,8150,8092,8130,8140,8179,8164,8141,8106,8156,8135,8109,8226,0.4445116519927978,False
12,8127,8154,8144,8102,8093,8141,8145,8159,8145,8115,8149,8135,8108,8235,0.4525842666625976,False
13,8148,8179,8165,8127,8137,8141,8173,8163,8156,8127,8156,8145,8119,8271,0.4606823921203613,False
14,8159,8172,8177,8138,8145,8152,8173,8163,8168,8140,8174,8159,8141,8284,0.4687213897705078,False
15,8137,8155,8150,8132,8114,8155,8143,8147,8168,8135,8169,8153,8136,8270,0.4767389297485351,False
16,8151,8169,8173,8134,8134,8137,8186,8146,8153,8125,8162,8146,8118,8248,0.4845950603485107,False
17,8154,8188,8164,8150,8107,8128,8135,8136,8156,8142,8176,8157,8142,8252,0.4916439056396484,False
18,8173,8195,8174,8163,8135,8155,8168,8146,8160,8143,8180,8177,8165,8280,0.4997751712799072,False
19,8194,8199,8191,8176,8143,8162,8174,8150,8164,8142,8172,8188,8172,8304,0.5077645778656006,False
20,8176,8197,8164,8180,8126,8154,8141,8152,8176,8172,8175,8176,8187,8302,0.5157473087310791,False
21,8183,8185,8173,8165,8152,8163,8195,8176,8177,8181,8180,8171,8191,8295,0.5239095687866211,False
22,8180,8180,8156,8159,8127,8165,8142,8164,8184,8168,8164,8175,8189,8304,0.5328614711761475,False
23,8171,8191,8156,8169,8155,8168,8168,8163,8186,8166,8154,8157,8176,8289,0.5398483276367188,False
24,8152,8174,8158,8152,8150,8169,8190,8167,8181,8174,8161,8133,8158,8262,0.5468108654022217,False
25,8127,8153,8128,8124,8118,8163,8141,8160,8178,8163,8161,8128,8160,8262,0.5559189319610596,False
26,8149,8173,8161,8127,8155,8157,8188,8180,8173,8148,8163,8148,8180,8272,0.5627129077911377,False
27,8138,8173,8153,8135,8118,8151,8146,8171,8183,8168,8176,8165,8197,8272,0.5708725452423096,False
28,8136,8171,8154,8141,8131,8165,8162,8173,8194,8189,8180,8172,8195,8273,0.5788211822509766,False
29,8168,8188,8188,8157,8160,8180,8186,8193,8201,8189,8186,8178,8198,8289,0.5869081020355225,False
30,8147,8182,8156,8166,8126,8171,8130,8181,8211,8182,8183,8169,8201,8293,0.5947096347808838,False
31,8145,8173,8163,8161,8154,8169,8190,8179,8205,8163,8167,8171,8184,8281,0.6029307842254639,False
32,8163,8181,8177,8153,8135,8182,8169,8172,8207,8176,8174,8187,8192,8289,0.6107392311096191,False
33,8172,8196,8158,8148,8115,8185,8123,8170,8210,8197,8185,8193,8215,8310,0.6188318729400635,False
34,8197,8203,8173,8150,8157,8181,8170,8171,8190,8169,8172,8187,8207,8313,0.6269676685333252,False
35,8204,8200,8178,8161,8161,8175,8172,8158,8186,8158,8168,8185,8202,8309,0.6337563991546631,False
36,8193,8196,8169,8161,8131,8169,8158,8173,8207,8186,8181,8187,8212,8308,0.641718864440918,False
37,8163,8178,8141,8144,8096,8179,8127,8190,8213,8193,8169,8166,8210,8294,0.6509406566619873,False
38,8151,8167,8146,8112,8170,8199,8203,8216,8209,8173,8151,8139,8186,8267,0.6575789451599121,False
39,8157,8160,8161,8093,8209,8188,8224,8219,8206,8161,8160,8145,8175,8266,0.6668810844421387,False
40,8127,8146,8113,8098,8138,8170,8115,8179,8196,8158,8160,8144,8176,8276,0.673710823059082,False
41,8127,8153,8131,8102,8175,8185,8170,8176,8179,8150,8147,8131,8153,8259,0.6818645000457764,False
42,8135,8160,8139,8101,8185,8176,8146,8164,8190,8156,8153,8138,8152,8260,0.6896615028381348,False
43,8145,8161,8122,8099,8200,8150,8137,8165,8205,8147,8157,8142,8170,8271,0.6966648101806641,False
44,8180,8168,8180,8098,8269,8164,8250,8195,8177,8118,8147,8127,8147,8251,0.7045667171478271,False
45,8141,8156,8150,8103,8197,8161,8143,8162,8159,8122,8145,8109,8125,8225,0.7168445587158203,False
46,8097,8138,8105,8100,8146,8137,8102,8139,8163,8121,8156,8114,8127,8221,0.7205584049224854,False
47,8127,8133,8144,8086,8154,8134,8172,8154,8162,8116,8165,8138,8137,8247,0.7287623882293701,False
48,8152,8143,8169,8083,8164,8142,8170,8157,8156,8136,8167,8149,8145,8271,0.7376861572265625,False
49,8144,8161,8160,8101,8172,8154,8158,8155,8160,8137,8166,8143,8144,8266,0.7448086738586426,False
50,8131,8165,8134,8116,8157,8159,8139,8157,8179,8136,8174,8145,8154,8262,0.7528190612792969,False
51,8172,8172,8179,8123,8206,8161,8196,8189,8186,8163,8195,8169,8179,8286,0.7596917152404785,False
52,8190,8187,8191,8148,8174,8155,8133,8178,8197,8190,8203,8192,8207,8319,0.7677059173583984,False
53,8175,8215,8167,8188,8175,8160,8118,8159,8204,8191,8190,8198,8219,8331,0.7757384777069092,False
54,8214,8231,8228,8194,8254,8172,8254,8188,8193,8195,8191,8204,8220,8325,0.7836763858795166,False
55,8201,8208,8201,8174,8183,8166,8162,8175,8198,8222,8196,8202,8239,8320,0.7917118072509766,False
56,8169,8199,8164,8171,8180,8169,8148,8173,8201,8221,8182,8187,8231,8301,0.7996029853820801,False
57,8183,8202,8192,8175,8200,8167,8197,8181,8196,8209,8167,8180,8204,8287,0.8076975345611572,False
58,8174,8187,8161,8164,8161,8153,8143,8174,8205,8196,8160,8175,8197,8300,0.8168294429779053,False
59,8176,8179,8163,8146,8193,8151,8186,8191,8196,8165,8158,8168,8178,8296,0.8237342834472656,False
60,8158,8173,8151,8144,8170,8144,8138,8161,8184,8166,8162,8152,8167,8279,0.8316669464111328,False
61,8159,8174,8146,8154,8185,8149,8148,8146,8182,8176,8159,8143,8167,8270,0.8387179374694824,False
62,8183,8184,8171,8164,8198,8162,8180,8164,8187,8164,8161,8145,8165,8274,0.8466758728027344,True
63,8162,8191,8152,8169,8164,8162,8131,8156,8197,8157,8174,8144,8168,8287,0.8547637462615967,True
64,8164,8191,8164,8166,8188,8156,8181,8153,8187,8158,8173,8146,8166,8282,0.8628063201904297,True
65,8165,8182,8155,8162,8159,8147,8142,8145,8178,8155,8170,8142,8171,8271,0.8709015846252441,True
66,8164,8193,8156,8173,8171,8151,8144,8161,8185,8140,8178,8138,8173,8267,0.8787937164306641,True
67,8178,8207,8185,8194,8186,8161,8183,8173,8183,8140,8179,8146,8176,8274,0.8867886066436768,True
68,8172,8201,8152,8191,8153,8146,8131,8157,8176,8161,8177,8155,8190,8288,0.8936905860900879,True
69,8191,8198,8165,8172,8209,8138,8182,8178,8175,8163,8187,8167,8188,8300,0.9017443656921388,True
70,8192,8188,8167,8162,8202,8147,8167,8189,8194,8166,8200,8178,8195,8323,0.9095630645751952,True
71,8172,8178,8142,8154,8182,8159,8162,8201,8211,8187,8187,8166,8197,8327,0.9177844524383544,True
72,8177,8182,8161,8153,8192,8165,8198,8215,8206,8184,8167,8155,8178,8301,0.926276445388794,True
73,8170,8177,8153,8158,8158,8157,8140,8191,8203,8170,8171,8159,8181,8293,0.9337165355682372,True
74,8182,8175,8174,8156,8188,8157,8177,8181,8198,8173,8183,8167,8193,8302,0.9416882991790771,True
75,8172,8176,8171,8163,8165,8152,8148,8157,8187,8176,8172,8156,8186,8294,0.9495844841003418,True
76,8138,8169,8143,8158,8147,8131,8129,8138,8157,8146,8150,8131,8158,8263,0.9576971530914308,True
77,8147,8161,8167,8136,8187,8119,8176,8143,8137,8125,8158,8136,8150,8254,0.9646763801574708,True
78,8142,8165,8153,8143,8174,8124,8120,8135,8158,8149,8173,8159,8173,8276,0.9727189540863036,True
79,8144,8179,8162,8165,8192,8136,8164,8156,8166,8160,8166,8163,8178,8275,0.9806551933288574,True
80,8157,8169,8173,8166,8158,8132,8162,8164,8155,8157,8168,8163,8183,8271,0.9896230697631836,True
81,8170,8172,8168,8176,8146,8131,8136,8164,8160,8160,8183,8175,8206,8295,0.9966347217559814,True
82,8210,8200,8206,8199,8201,8145,8188,8175,8170,8159,8186,8193,8215,8318,1.0046610832214355,True
83,8200,8196,8183,8197,8175,8141,8142,8148,8172,8166,8172,8186,8213,8318,1.0127959251403809,True
84,8183,8176,8161,8168,8177,8127,8174,8147,8151,8152,8154,8160,8192,8294,1.019725322723389,True
85,8168,8155,8150,8141,8158,8136,8175,8162,8147,8138,8146,8139,8166,8267,1.0277695655822754,True
86,8135,8148,8117,8134,8156,8164,8149,8178,8182,8146,8146,8125,8154,8249,1.036656618118286,True
87,8137,8158,8139,8137,8189,8175,8208,8196,8197,8143,8150,8132,8152,8242,1.0437536239624023,True
88,8129,8146,8132,8125,8141,8159,8152,8175,8192,8151,8147,8137,8157,8251,1.0517196655273438,True
89,8140,8139,8143,8113,8163,8153,8169,8186,8196,8158,8150,8132,8154,8256,1.0597107410430908,True
90,8158,8157,8169,8143,8165,8147,8178,8199,8217,8160,8178,8160,8175,8271,1.067798137664795,True
91,8156,8175,8154,8183,8136,8141,8136,8176,8224,8179,8191,8194,8213,8302,1.0757160186767578,True
92,8187,8180,8183,8182,8176,8142,8183,8173,8200,8182,8172,8189,8207,8315,1.0837435722351074,True
93,8195,8180,8182,8175,8150,8134,8130,8161,8190,8175,8166,8176,8205,8325,1.090679407119751,True
94,8204,8202,8189,8189,8164,8140,8147,8155,8193,8182,8182,8202,8232,8342,1.0986196994781494,True
95,8226,8213,8206,8201,8174,8148,8171,8139,8189,8195,8192,8222,8245,8350,1.106717586517334,True
96,8215,8209,8172,8208,8146,8138,8124,8123,8189,8198,8182,8203,8239,8349,1.114737033843994,False
97,8236,8222,8195,8220,8183,8139,8182,8151,8189,8205,8174,8205,8246,8363,1.1227383613586426,False
98,8241,8223,8192,8225,8161,8150,8150,8152,8198,8217,8180,8216,8270,8378,1.1318402290344238,False
99,8207,8207,8163,8202,8167,8148,8151,8154,8207,8199,8174,8188,8255,8345,1.139587640762329,False
100,8167,8179,8149,8161,8171,8135,8179,8167,8207,8188,8149,8150,8211,8296,1.1468656063079834,False
101,8117,8148,8105,8131,8131,8141,8141,8164,8206,8190,8128,8126,8182,8267,1.153747320175171,False
102,8110,8132,8116,8113,8155,8161,8194,8181,8193,8160,8129,8113,8149,8242,1.161820411682129,False
