COUNTER,F3, FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,yes_event
125,8126,8157,8098,8112,8095,8156,8193,8130,8201,8163,8152,8140,8162,8259,0.0036730766296386,False
126,8133,8188,8178,8118,8177,8144,8180,8155,8187,8159,8145,8155,8144,8231,0.0116703510284423,False
127,8152,8195,8207,8143,8160,8152,8197,8173,8196,8159,8147,8167,8142,8233,0.0196959972381591,False
237,8123,8156,8078,8136,8075,8146,8219,8154,8218,8169,8156,8140,8164,8251,0.0265953540802001,False
0,8117,8169,8079,8133,8101,8147,8217,8160,8220,8173,8160,8138,8162,8252,0.0348010063171386,False
1,8153,8217,8173,8158,8183,8165,8226,8175,8221,8169,8165,8165,8165,8261,0.042722463607788,False
2,8205,8266,8341,8171,8294,8171,8217,8207,8210,8162,8159,8219,8160,8261,0.0509052276611328,False
3,8176,8222,8231,8155,8176,8166,8221,8178,8219,8175,8176,8184,8166,8253,0.0587399005889892,False
4,8133,8188,8060,8158,8084,8174,8242,8140,8239,8182,8198,8136,8183,8262,0.0667285919189453,False
5,8165,8222,8120,8175,8149,8185,8236,8158,8236,8172,8188,8167,8185,8279,0.0745630264282226,False
6,8194,8234,8182,8166,8200,8173,8214,8167,8226,8171,8166,8172,8174,8268,0.0827875137329101,False
7,8206,8248,8292,8148,8286,8169,8200,8195,8217,8165,8143,8185,8144,8249,0.0906462669372558,False
8,8168,8198,8206,8131,8178,8167,8212,8178,8218,8151,8130,8168,8133,8250,0.0987417697906494,False
9,8098,8127,8011,8110,8052,8146,8213,8121,8220,8141,8114,8107,8131,8226,0.1057076454162597,False
10,8092,8142,8067,8098,8118,8131,8188,8134,8214,8136,8098,8106,8106,8190,0.1138837337493896,False
11,8107,8165,8148,8094,8145,8124,8169,8154,8207,8136,8101,8133,8094,8200,0.1217520236968994,False
12,8126,8188,8218,8105,8181,8120,8158,8168,8193,8131,8107,8165,8104,8229,0.1296682357788086,False
13,8145,8205,8239,8133,8195,8125,8168,8183,8199,8139,8130,8177,8132,8246,0.1378779411315918,False
14,8130,8182,8137,8141,8139,8131,8184,8157,8224,8155,8144,8148,8150,8250,0.1459550857543945,False
