COUNTER,F3, FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,yes_event
73,8144,8171,8243,8125,8211,8195,8183,8208,8182,8172,8165,8170,8160,8222,0.0058183670043945,False
74,8141,8170,8202,8131,8151,8140,8159,8184,8172,8166,8170,8179,8162,8232,0.0136749744415283,False
75,8120,8154,8143,8125,8118,8142,8171,8155,8160,8157,8155,8162,8162,8234,0.0216577053070068,False
76,8122,8158,8160,8139,8140,8194,8195,8171,8170,8160,8160,8166,8173,8247,0.0297853946685791,False
77,8139,8155,8162,8152,8136,8180,8182,8165,8174,8172,8169,8174,8186,8259,0.0377857685089111,False
78,8164,8168,8211,8146,8171,8161,8167,8170,8164,8181,8169,8186,8190,8264,0.0454902648925781,False
79,8163,8165,8197,8141,8149,8186,8196,8191,8174,8178,8177,8191,8194,8283,0.0527923107147216,False
80,8137,8133,8125,8126,8106,8181,8220,8188,8191,8163,8165,8163,8179,8286,0.0608656406402587,False
81,8128,8128,8142,8104,8133,8161,8219,8187,8192,8162,8144,8151,8161,8272,0.0688762664794921,False
82,8122,8140,8148,8088,8147,8168,8214,8191,8192,8164,8144,8148,8163,8260,0.0768184661865234,False
83,8109,8140,8185,8072,8179,8157,8190,8200,8183,8153,8138,8141,8149,8239,0.0846695899963378,False
84,8105,8109,8156,8076,8122,8133,8171,8179,8187,8159,8141,8151,8146,8246,0.0929057598114013,False
85,8119,8113,8140,8094,8131,8149,8164,8170,8192,8173,8150,8158,8155,8260,0.1017954349517822,False
86,8147,8155,8253,8098,8217,8169,8153,8196,8163,8162,8150,8171,8154,8252,0.1086847782135009,False
87,8150,8144,8181,8104,8114,8146,8156,8164,8146,8153,8167,8175,8172,8270,0.1168901920318603,False
88,8141,8136,8049,8138,8050,8128,8161,8124,8155,8157,8179,8158,8183,8289,0.1237223148345947,False
89,8154,8159,8126,8151,8141,8135,8158,8149,8153,8159,8164,8153,8160,8252,0.1317002773284912,False
90,8169,8168,8246,8139,8202,8148,8164,8189,8148,8157,8166,8170,8157,8230,0.1397020816802978,False
91,8170,8153,8199,8136,8141,8150,8178,8192,8162,8159,8200,8184,8190,8272,0.1486103534698486,False
92,8148,8129,8089,8112,8097,8133,8184,8167,8185,8165,8210,8163,8197,8293,0.1559119224548339,False
93,8137,8146,8238,8091,8244,8144,8165,8206,8175,8167,8179,8163,8160,8255,0.163968801498413,False
94,8133,8138,8291,8102,8217,8172,8172,8231,8173,8172,8182,8192,8166,8250,0.1717677116394043,False
95,8112,8096,8070,8107,8043,8178,8217,8178,8212,8181,8205,8168,8208,8279,0.1798672676086425,False
96,8112,8116,8060,8094,8111,8168,8220,8175,8232,8169,8173,8140,8192,8273,0.1869175434112548,False
97,8120,8136,8174,8091,8196,8152,8188,8200,8209,8161,8140,8150,8153,8252,0.1948561668395996,False
98,8113,8117,8151,8098,8142,8159,8180,8180,8192,8170,8159,8158,8153,8251,0.2027807235717773,False
99,8115,8124,8140,8115,8122,8179,8192,8174,8199,8167,8189,8167,8175,8262,0.2118666172027588,False
100,8129,8160,8190,8143,8169,8162,8189,8182,8194,8170,8197,8172,8187,8268,0.2189290523529052,False
101,8151,8175,8205,8160,8176,8144,8181,8166,8174,8182,8205,8176,8191,8267,0.2268617153167724,False
102,8160,8156,8153,8181,8125,8171,8194,8147,8182,8179,8225,8184,8205,8286,0.2349014282226562,False
103,8167,8179,8203,8211,8170,8166,8180,8172,8184,8169,8236,8199,8213,8303,0.2428426742553711,False
104,8180,8198,8217,8231,8153,8119,8160,8178,8165,8170,8252,8214,8224,8313,0.2507054805755615,False
105,8192,8179,8161,8236,8110,8115,8164,8152,8157,8170,8268,8213,8243,8332,0.257676362991333,False
106,8222,8210,8288,8240,8224,8141,8156,8189,8147,8157,8255,8233,8240,8343,0.265533447265625,False
