COUNTER,F3, FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word_label,goodbye_event
125,8223,8203,8158,8221,8195,8186,8150,8148,8191,8152,8150,8119,8167,8288,0.0068521499633789,sil,False
126,8227,8195,8180,8212,8218,8181,8208,8185,8189,8152,8149,8128,8152,8293,0.0149002075195312,sil,False
127,8225,8188,8164,8197,8175,8172,8143,8189,8204,8167,8164,8135,8182,8316,0.0228257179260253,sil,False
238,8216,8175,8162,8190,8192,8169,8172,8196,8203,8155,8181,8137,8196,8324,0.0310039520263671,sil,False
0,8200,8175,8165,8193,8205,8175,8185,8205,8208,8157,8174,8138,8185,8320,0.0378985404968261,sil,False
1,8187,8185,8155,8197,8190,8175,8166,8206,8215,8178,8158,8134,8189,8318,0.045790672302246,sil,False
2,8194,8173,8181,8192,8203,8167,8191,8202,8195,8162,8154,8135,8184,8313,0.0539031028747558,sil,False
3,8174,8160,8152,8185,8177,8161,8128,8177,8179,8145,8148,8119,8163,8304,0.0618078708648681,sil,False
4,8168,8179,8150,8196,8196,8169,8183,8185,8179,8155,8146,8114,8161,8292,0.0698421001434326,sil,False
5,8192,8188,8173,8220,8180,8172,8176,8185,8179,8159,8154,8135,8192,8297,0.0779037475585937,sil,False
6,8196,8187,8157,8225,8165,8165,8129,8162,8179,8160,8157,8141,8213,8301,0.0848333835601806,sil,False
7,8194,8198,8182,8209,8218,8172,8211,8175,8182,8178,8168,8128,8203,8278,0.0937070846557617,sil,False
8,8182,8201,8167,8216,8174,8178,8128,8170,8198,8195,8176,8121,8211,8268,0.1019098758697509,sil,False
9,8213,8214,8184,8249,8190,8182,8167,8173,8205,8199,8182,8153,8226,8297,0.1088879108428955,sil,False
10,8275,8233,8252,8264,8251,8193,8277,8193,8207,8203,8189,8188,8228,8326,0.1169362068176269,sil,False
11,8263,8226,8217,8261,8199,8198,8167,8184,8229,8213,8184,8175,8241,8340,0.1248342990875244,sil,False
12,8224,8210,8165,8253,8156,8191,8101,8173,8239,8222,8169,8157,8251,8344,0.1328787803649902,sil,False
13,8211,8200,8136,8229,8146,8174,8107,8166,8224,8228,8156,8145,8244,8336,0.1409120559692382,sil,False
14,8217,8189,8159,8204,8192,8167,8208,8177,8199,8208,8153,8133,8218,8307,0.1489229202270507,sil,False
15,8209,8176,8182,8209,8183,8170,8196,8181,8183,8182,8158,8127,8201,8286,0.1569466590881347,sil,False
16,8177,8171,8146,8227,8141,8166,8109,8168,8183,8187,8161,8119,8206,8288,0.1649684906005859,sil,False
17,8189,8184,8165,8223,8183,8168,8173,8179,8182,8194,8157,8129,8200,8293,0.1717340946197509,sil,False
18,8213,8194,8169,8221,8165,8164,8133,8175,8184,8186,8152,8139,8196,8308,0.1799430847167968,sil,False
19,8219,8193,8170,8240,8166,8157,8151,8186,8187,8177,8153,8143,8207,8319,0.1879520416259765,sil,False
20,8203,8185,8177,8244,8173,8160,8181,8196,8185,8177,8152,8142,8207,8299,0.1957144737243652,sil,False
21,8168,8184,8140,8225,8151,8166,8132,8170,8180,8174,8147,8125,8189,8267,0.2039568424224853,sil,False
22,8196,8200,8196,8233,8216,8181,8231,8182,8167,8160,8155,8141,8169,8258,0.2119331359863281,sil,False
23,8212,8203,8209,8257,8185,8184,8166,8179,8165,8169,8163,8152,8178,8273,0.2197153568267822,sil,False
24,8188,8201,8154,8255,8144,8178,8103,8161,8178,8189,8167,8133,8204,8290,0.2279620170593261,sil,False
25,8205,8219,8182,8249,8194,8194,8199,8179,8194,8203,8178,8147,8225,8305,0.2349660396575927,sil,False
26,8209,8221,8179,8262,8178,8212,8160,8190,8212,8222,8182,8157,8237,8310,0.2429678440093994,sil,False
27,8183,8200,8158,8255,8175,8218,8151,8210,8230,8222,8173,8144,8231,8303,0.2508978843688965,sil,False
28,8158,8180,8151,8230,8176,8218,8161,8223,8244,8221,8160,8133,8226,8296,0.2589607238769531,sil,False
29,8136,8170,8141,8219,8180,8221,8177,8216,8239,8231,8151,8129,8215,8271,0.2669541835784912,sil,False
30,8129,8160,8144,8214,8186,8216,8176,8202,8220,8215,8150,8128,8201,8250,0.2748081684112549,sil,False
31,8121,8158,8124,8212,8160,8192,8116,8178,8209,8198,8150,8126,8207,8270,0.2827861309051513,sil,False
32,8144,8170,8164,8209,8202,8184,8217,8186,8198,8205,8148,8137,8202,8280,0.2909660339355469,sil,False
33,8165,8171,8174,8210,8186,8190,8189,8179,8188,8204,8144,8139,8188,8267,0.2977423667907715,sil,False
34,8158,8179,8140,8224,8168,8194,8136,8171,8191,8175,8150,8135,8186,8269,0.3057339191436767,sil,False
35,8162,8190,8187,8226,8216,8200,8239,8191,8189,8158,8154,8140,8179,8266,0.3136897087097168,sil,False
36,8159,8173,8179,8212,8180,8215,8169,8181,8196,8186,8151,8131,8184,8261,0.3217720985412597,sil,False
37,8182,8178,8168,8220,8190,8235,8153,8189,8216,8206,8162,8146,8211,8287,0.3297810554504394,sil,False
38,8218,8203,8199,8250,8199,8233,8164,8199,8226,8217,8180,8177,8236,8330,0.3377988338470459,sil,False
39,8210,8203,8181,8253,8168,8221,8132,8173,8217,8229,8182,8169,8241,8337,0.3457591533660888,sil,False
40,8201,8188,8182,8227,8195,8218,8195,8155,8195,8205,8167,8158,8219,8310,0.3537881374359131,sil,False
41,8184,8184,8172,8224,8185,8203,8152,8142,8185,8183,8151,8155,8197,8294,0.3617784976959228,sil,False
42,8172,8185,8171,8241,8196,8197,8148,8151,8182,8190,8157,8148,8195,8293,0.3688044548034668,sil,False
43,8170,8178,8155,8234,8180,8203,8120,8159,8175,8195,8166,8136,8204,8285,0.3768515586853027,sil,False
44,8159,8169,8132,8210,8171,8193,8117,8168,8176,8196,8164,8134,8199,8280,0.3848016262054443,sil,False
45,8181,8173,8207,8207,8247,8189,8253,8216,8190,8203,8169,8162,8192,8292,0.3927743434906006,sil,False
46,8181,8162,8187,8202,8175,8190,8155,8214,8200,8198,8170,8157,8192,8303,0.4009099006652832,goodbye,True
47,8168,8143,8135,8179,8095,8182,8128,8186,8174,8170,8161,8135,8173,8291,0.4087882041931152,goodbye,True
48,8208,8156,8208,8192,8115,8175,8239,8200,8152,8170,8163,8158,8166,8299,0.4170365333557129,goodbye,True
49,8231,8182,8220,8232,8121,8170,8166,8210,8170,8206,8167,8170,8196,8337,0.4249522686004638,goodbye,True
50,8227,8187,8187,8235,8175,8170,8142,8206,8177,8219,8157,8164,8206,8346,0.4320306777954101,goodbye,True
51,8218,8172,8169,8213,8191,8187,8141,8190,8175,8208,8150,8159,8200,8332,0.4399139881134033,goodbye,True
52,8230,8177,8188,8215,8190,8197,8183,8194,8177,8206,8163,8157,8201,8328,0.4477624893188476,goodbye,True
53,8241,8196,8198,8234,8171,8175,8159,8178,8165,8208,8168,8157,8203,8333,0.4556529521942138,goodbye,True
54,8205,8192,8155,8229,8166,8168,8110,8141,8150,8199,8156,8152,8209,8323,0.4639034271240234,goodbye,True
55,8209,8186,8200,8216,8233,8184,8238,8172,8142,8187,8151,8156,8192,8298,0.4727351665496826,goodbye,True
56,8225,8196,8197,8239,8166,8170,8138,8174,8147,8202,8156,8154,8184,8304,0.4798688888549804,goodbye,True
57,8215,8202,8149,8259,8145,8165,8094,8146,8148,8205,8151,8151,8187,8319,0.4879157543182373,goodbye,True
58,8201,8188,8178,8227,8206,8181,8231,8159,8134,8177,8144,8154,8167,8303,0.4960002899169922,goodbye,True
59,8163,8168,8153,8203,8149,8171,8150,8156,8129,8172,8152,8141,8170,8292,0.5026819705963135,goodbye,True
60,8156,8159,8152,8205,8158,8173,8156,8157,8131,8193,8170,8144,8189,8293,0.510875940322876,goodbye,True
61,8176,8155,8183,8199,8203,8192,8214,8176,8144,8214,8183,8159,8198,8294,0.5187745094299316,goodbye,True
62,8169,8172,8158,8205,8177,8179,8166,8189,8169,8211,8185,8159,8202,8298,0.5268540382385254,goodbye,True
63,8155,8184,8139,8224,8155,8159,8118,8195,8176,8196,8184,8146,8202,8289,0.5348155498504639,goodbye,True
64,8160,8170,8145,8220,8169,8162,8118,8197,8175,8205,8175,8131,8199,8279,0.5428075790405273,goodbye,True
65,8196,8178,8193,8213,8213,8177,8208,8219,8183,8210,8173,8152,8202,8297,0.5508735179901123,goodbye,True
66,8205,8196,8195,8222,8180,8188,8164,8201,8182,8202,8181,8170,8215,8316,0.5587835311889648,goodbye,True
67,8180,8182,8175,8228,8175,8190,8153,8167,8161,8189,8173,8149,8207,8289,0.5656955242156982,goodbye,True
68,8181,8175,8210,8226,8196,8181,8210,8165,8127,8170,8167,8145,8183,8258,0.5737249851226807,goodbye,True
69,8175,8187,8170,8225,8115,8164,8094,8145,8109,8168,8168,8154,8191,8275,0.5818092823028564,goodbye,True
70,8195,8203,8178,8241,8170,8176,8193,8166,8112,8173,8168,8167,8209,8305,0.589707612991333,goodbye,True
71,8217,8201,8226,8248,8226,8200,8267,8199,8129,8180,8169,8171,8215,8307,0.5977771282196045,goodbye,True
72,8172,8178,8161,8232,8141,8198,8105,8176,8145,8201,8176,8149,8215,8291,0.6057031154632568,goodbye,True
73,8155,8163,8138,8213,8142,8186,8122,8164,8140,8210,8171,8142,8208,8274,0.6138162612915039,goodbye,True
74,8159,8150,8154,8197,8176,8176,8177,8163,8128,8194,8156,8140,8194,8262,0.621957540512085,goodbye,True
75,8151,8148,8160,8185,8191,8176,8181,8165,8119,8182,8162,8138,8183,8270,0.6297292709350586,goodbye,True
76,8168,8160,8169,8189,8188,8182,8157,8161,8121,8196,8164,8156,8194,8308,0.6367690563201904,goodbye,True
77,8187,8165,8162,8200,8187,8187,8158,8157,8138,8213,8154,8166,8212,8329,0.6447579860687256,goodbye,True
78,8185,8159,8169,8196,8188,8189,8175,8173,8141,8216,8160,8161,8214,8306,0.6528325080871582,goodbye,True
79,8168,8158,8154,8203,8154,8168,8104,8170,8136,8209,8166,8151,8216,8304,0.6608226299285889,goodbye,True
80,8192,8178,8197,8230,8215,8160,8213,8185,8144,8199,8167,8168,8214,8330,0.6688241958618164,goodbye,True
81,8217,8196,8231,8249,8205,8166,8205,8186,8158,8211,8177,8188,8227,8332,0.6767444610595703,goodbye,True
82,8201,8210,8174,8265,8139,8160,8065,8159,8163,8235,8182,8184,8258,8331,0.6847717761993408,goodbye,True
83,8224,8226,8219,8271,8233,8172,8230,8177,8147,8226,8172,8197,8255,8341,0.6925780773162842,goodbye,True
84,8222,8219,8227,8266,8221,8189,8217,8171,8139,8214,8159,8195,8240,8338,0.699683427810669,goodbye,True
85,8180,8212,8152,8266,8161,8185,8095,8147,8144,8223,8147,8171,8246,8320,0.7077295780181885,goodbye,True
86,8186,8211,8168,8266,8203,8180,8156,8157,8139,8229,8147,8174,8246,8322,0.7157914638519287,goodbye,True
87,8192,8197,8178,8255,8195,8171,8150,8152,8131,8220,8145,8172,8242,8335,0.7236874103546143,goodbye,True
88,8184,8198,8174,8246,8201,8165,8173,8158,8125,8206,8139,8157,8229,8314,0.73183274269104,goodbye,True
89,8177,8198,8166,8241,8201,8177,8173,8168,8133,8213,8137,8143,8214,8278,0.7396492958068848,goodbye,True
90,8159,8168,8157,8220,8188,8194,8166,8171,8139,8218,8136,8130,8209,8269,0.7477924823760986,goodbye,True
