COUNTER,F3, FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word_label,hello_event
121,8193,8164,8171,8160,8168,8208,8139,8179,8180,8162,8150,8188,8203,8316,0.0047042369842529,hello,True
122,8196,8164,8181,8161,8183,8198,8172,8182,8172,8160,8139,8183,8178,8294,0.0117075443267822,hello,True
123,8180,8171,8161,8188,8153,8189,8133,8166,8169,8171,8144,8170,8176,8269,0.0198171138763427,hello,True
124,8175,8181,8165,8205,8186,8178,8180,8161,8154,8156,8142,8154,8163,8258,0.0276029109954834,hello,True
125,8185,8172,8172,8188,8177,8165,8171,8160,8139,8140,8141,8147,8153,8266,0.0357165336608886,hello,True
126,8169,8155,8144,8160,8132,8154,8157,8156,8138,8146,8142,8145,8156,8265,0.0436465740203857,hello,True
127,8163,8159,8163,8158,8138,8152,8183,8169,8144,8148,8146,8156,8154,8265,0.0517084598541259,hello,True
238,8164,8169,8137,8176,8122,8161,8089,8163,8157,8149,8145,8161,8171,8290,0.0596733093261718,hello,True
0,8199,8170,8200,8171,8240,8182,8289,8192,8142,8143,8140,8166,8172,8286,0.0678553581237793,hello,True
1,8198,8146,8242,8139,8215,8168,8290,8192,8129,8144,8142,8161,8154,8263,0.0747511386871337,hello,True
2,8146,8142,8145,8147,8076,8147,8035,8150,8153,8159,8141,8147,8162,8271,0.0829799175262451,hello,True
3,8171,8170,8154,8179,8138,8170,8126,8161,8158,8156,8136,8157,8164,8282,0.0907752513885498,hello,True
4,8190,8171,8160,8174,8154,8177,8161,8164,8143,8146,8138,8161,8158,8270,0.0986456871032714,hello,True
5,8168,8168,8148,8168,8156,8171,8177,8173,8138,8135,8145,8152,8160,8254,0.1067042350769043,hello,True
6,8167,8176,8179,8189,8163,8179,8197,8193,8141,8147,8144,8151,8155,8252,0.1147139072418212,hello,True
7,8161,8169,8141,8202,8123,8182,8090,8170,8146,8164,8140,8143,8141,8251,0.1226568222045898,hello,True
8,8167,8164,8146,8190,8175,8181,8166,8169,8133,8131,8139,8142,8131,8235,0.1306602954864502,hello,True
9,8168,8157,8188,8169,8183,8168,8224,8165,8108,8104,8129,8148,8130,8235,0.138789415359497,hello,True
10,8148,8147,8164,8154,8120,8151,8144,8132,8095,8120,8131,8144,8134,8251,0.1457123756408691,hello,True
11,8135,8147,8109,8157,8066,8145,8050,8111,8098,8133,8137,8145,8142,8250,0.1536061763763427,hello,True
12,8148,8156,8138,8173,8120,8150,8163,8128,8088,8123,8128,8151,8142,8237,0.1616756916046142,hello,True
13,8195,8169,8267,8183,8222,8166,8362,8165,8068,8118,8137,8167,8134,8238,0.1696279048919677,hello,True
14,8195,8175,8223,8193,8114,8161,8137,8143,8089,8142,8161,8180,8167,8273,0.1778929233551025,hello,True
15,8183,8181,8158,8196,8101,8154,8090,8145,8118,8154,8162,8185,8199,8300,0.1858217716217041,hello,True
16,8205,8173,8219,8188,8183,8164,8249,8180,8119,8146,8153,8184,8176,8293,0.1939911842346191,hello,True
17,8186,8157,8166,8190,8107,8159,8117,8163,8128,8138,8152,8161,8154,8284,0.2019493579864502,hello,True
18,8184,8167,8162,8192,8145,8151,8173,8181,8141,8127,8142,8156,8143,8278,0.2089128494262695,hello,True
19,8186,8160,8183,8176,8168,8153,8186,8192,8150,8141,8133,8152,8143,8267,0.2166883945465088,hello,True
20,8142,8130,8094,8154,8096,8150,8053,8153,8148,8161,8145,8131,8148,8257,0.2249329090118408,hello,True
21,8142,8123,8088,8145,8107,8154,8113,8151,8133,8147,8159,8137,8146,8260,0.2326781749725341,hello,True
22,8170,8128,8142,8152,8138,8164,8186,8166,8127,8127,8157,8146,8139,8259,0.2407293319702148,hello,True
23,8164,8126,8156,8148,8153,8164,8185,8165,8117,8132,8157,8143,8122,8242,0.2487769126892089,hello,True
24,8149,8126,8140,8143,8132,8155,8126,8152,8108,8136,8171,8148,8127,8245,0.2569122314453125,hello,True
25,8166,8144,8161,8162,8149,8160,8163,8164,8116,8125,8182,8159,8148,8267,0.2646753787994385,hello,True
26,8196,8168,8192,8190,8171,8173,8188,8173,8124,8138,8186,8167,8158,8280,0.2727377414703369,hello,True
27,8206,8179,8173,8202,8168,8170,8130,8142,8116,8168,8187,8176,8166,8290,0.2797017097473144,hello,True
28,8217,8182,8200,8204,8232,8164,8219,8135,8097,8158,8192,8192,8164,8292,0.287663459777832,hello,True
29,8214,8182,8192,8213,8187,8159,8168,8134,8093,8147,8201,8198,8176,8301,0.2957122325897217,hello,True
30,8201,8191,8148,8226,8136,8166,8112,8145,8108,8177,8199,8187,8199,8311,0.3038632869720459,hello,True
31,8205,8189,8195,8219,8218,8182,8259,8186,8111,8167,8178,8178,8178,8284,0.311652660369873,hello,True
32,8161,8154,8158,8180,8171,8166,8171,8182,8115,8134,8151,8153,8140,8244,0.3199119567871094,hello,True
33,8142,8132,8119,8149,8129,8149,8138,8187,8127,8133,8151,8138,8132,8242,0.3279318809509277,hello,True
34,8184,8143,8180,8171,8154,8162,8227,8214,8146,8157,8179,8162,8162,8266,0.3359189033508301,hello,True
35,8191,8158,8193,8203,8150,8174,8200,8212,8167,8183,8187,8184,8193,8281,0.3426415920257568,hello,True
36,8178,8160,8179,8194,8142,8170,8165,8200,8159,8178,8179,8187,8182,8280,0.3507282733917236,hello,True
37,8162,8147,8137,8168,8096,8161,8106,8174,8136,8161,8175,8177,8170,8279,0.3588235378265381,hello,True
38,8161,8142,8161,8159,8153,8160,8225,8175,8115,8147,8169,8174,8159,8263,0.3667056560516357,hello,True
39,8157,8136,8186,8155,8149,8156,8210,8159,8100,8141,8172,8165,8131,8232,0.3746774196624756,hello,True
40,8132,8132,8130,8160,8056,8147,8065,8127,8098,8130,8180,8154,8122,8224,0.382897138595581,hello,True
41,8171,8162,8172,8194,8117,8160,8162,8153,8099,8124,8180,8187,8153,8260,0.390817642211914,hello,True
42,8229,8194,8199,8234,8167,8185,8144,8163,8119,8156,8175,8222,8198,8316,0.3987452983856201,hello,True
43,8249,8205,8200,8241,8203,8201,8190,8159,8128,8172,8176,8222,8204,8329,0.4056181907653808,hello,True
44,8250,8200,8228,8228,8167,8194,8243,8164,8112,8168,8171,8211,8194,8320,0.413736343383789,hello,True
45,8219,8186,8164,8225,8070,8177,8098,8140,8113,8169,8164,8191,8199,8329,0.4218549728393554,hello,True
46,8216,8183,8153,8216,8116,8188,8138,8138,8118,8157,8169,8183,8194,8328,0.4296669960021972,hello,True
47,8222,8181,8177,8204,8142,8189,8179,8144,8116,8170,8164,8193,8200,8325,0.4376440048217773,hello,True
48,8215,8169,8185,8192,8187,8185,8220,8168,8116,8179,8162,8198,8206,8336,0.445634126663208,hello,True
49,8205,8142,8176,8168,8187,8190,8184,8191,8123,8160,8161,8184,8193,8328,0.4536097049713135,hello,True
50,8183,8130,8125,8164,8115,8199,8078,8186,8137,8168,8151,8167,8189,8311,0.4616672992706299,hello,True
51,8200,8156,8168,8180,8179,8213,8201,8207,8137,8177,8158,8189,8180,8309,0.4698078632354736,hello,True
52,8194,8159,8167,8180,8170,8203,8160,8197,8134,8162,8163,8197,8169,8313,0.4766709804534912,hello,True
53,8168,8144,8136,8175,8144,8190,8128,8185,8133,8159,8151,8169,8171,8307,0.4847447872161865,hello,True
54,8183,8156,8179,8189,8174,8199,8213,8204,8140,8172,8151,8173,8186,8304,0.4926531314849853,hello,True
55,8174,8172,8150,8197,8142,8199,8135,8203,8164,8180,8163,8186,8207,8320,0.5008347034454346,hello,True
56,8182,8181,8170,8200,8189,8208,8209,8219,8176,8182,8165,8189,8207,8324,0.5087234973907471,hello,True
57,8197,8176,8199,8204,8186,8223,8212,8208,8174,8187,8160,8195,8205,8313,0.5167286396026611,hello,True
58,8188,8173,8192,8193,8197,8211,8209,8190,8166,8184,8158,8198,8212,8315,0.5247089862823486,hello,True
59,8199,8177,8225,8188,8226,8199,8252,8206,8161,8197,8161,8203,8221,8339,0.5327818393707275,hello,True
60,8176,8161,8161,8191,8121,8203,8095,8188,8179,8234,8164,8191,8240,8346,0.539679765701294,hello,True
61,8155,8152,8139,8176,8128,8209,8157,8182,8175,8226,8156,8176,8232,8302,0.5478177070617676,hello,True
62,8164,8160,8188,8161,8162,8197,8229,8193,8149,8190,8150,8174,8209,8283,0.5555930137634277,hello,True
