COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word_label,yes_event
73,8153,8180,8188,8171,8206,8281,8179,8186,8226,8155,7923,8185,8168,8104,0.0059995651245117,sil,False
74,8130,8160,8177,8153,8224,8293,8191,8184,8140,8165,7948,8147,8164,8099,0.0137825012207031,sil,False
75,8157,8192,8207,8170,8220,8284,8178,8202,8248,8166,7942,8193,8173,8113,0.0247848033905029,sil,False
76,8158,8163,8192,8163,8215,8263,8183,8189,8180,8174,7928,8165,8161,8110,0.0299441814422607,sil,False
77,8153,8164,8188,8160,8199,8263,8180,8186,8176,8160,7929,8174,8165,8119,0.0379559993743896,sil,False
78,8142,8177,8205,8161,8188,8254,8167,8201,8252,8163,7943,8197,8172,8111,0.0460035800933837,sil,False
79,8157,8155,8193,8160,8210,8250,8179,8194,8158,8196,7951,8155,8159,8098,0.0540030002593994,sil,False
80,8175,8176,8190,8163,8197,8259,8173,8185,8214,8159,7927,8185,8159,8100,0.0620026588439941,sil,False
81,8134,8151,8171,8146,8190,8249,8170,8174,8135,8138,7927,8155,8151,8087,0.0700018405914306,sil,False
82,8139,8157,8176,8152,8185,8239,8159,8178,8115,8143,7926,8157,8154,8087,0.0770022869110107,sil,False
83,8154,8176,8179,8161,8180,8237,8157,8189,8205,8151,7916,8180,8164,8081,0.0850028991699218,sil,False
84,8159,8158,8166,8162,8209,8250,8193,8190,8141,8192,7939,8140,8159,8086,0.0924892425537109,sil,False
85,8175,8181,8188,8172,8197,8267,8190,8195,8238,8183,7940,8182,8168,8100,0.1005070209503173,sil,False
86,8137,8153,8174,8149,8182,8256,8179,8190,8187,8176,7948,8160,8165,8076,0.1085038185119628,sil,False
87,8135,8153,8171,8158,8188,8248,8176,8190,8148,8181,7960,8152,8163,8077,0.1169548034667968,sil,False
88,8149,8179,8191,8177,8172,8246,8169,8198,8242,8172,7953,8185,8167,8079,0.1243031024932861,sil,False
88,8149,8179,8191,8177,8172,8246,8169,8198,8242,8172,7953,8185,8167,8079,0.125370979309082,sil,False
89,8158,8159,8184,8170,8176,8246,8189,8202,8162,8199,7967,8148,8164,8078,0.1330077648162841,sil,False
90,8198,8187,8204,8184,8180,8255,8191,8213,8257,8201,7973,8188,8173,8105,0.1409916877746582,sil,False
91,8174,8168,8188,8166,8183,8243,8186,8188,8209,8181,7961,8165,8157,8088,0.1482017040252685,sil,False
92,8151,8150,8166,8147,8170,8237,8175,8164,8101,8159,7939,8137,8152,8060,0.1562013626098632,sil,False
93,8141,8165,8177,8152,8146,8236,8161,8178,8190,8142,7933,8182,8170,8050,0.163886547088623,sil,False
94,8129,8146,8181,8158,8165,8233,8170,8181,8119,8167,7962,8155,8163,8055,0.1721458435058593,sil,False
95,8168,8178,8211,8174,8169,8235,8155,8184,8190,8166,7958,8179,8165,8078,0.1801457405090332,sil,False
96,8171,8173,8205,8157,8170,8230,8157,8181,8201,8174,7954,8173,8170,8078,0.1879875659942627,sil,False
97,8161,8157,8190,8156,8181,8239,8175,8182,8151,8189,7968,8161,8164,8087,0.1961722373962402,sil,False
98,8145,8174,8194,8171,8160,8245,8165,8197,8241,8162,7949,8186,8164,8076,0.2029879093170166,sil,False
99,8146,8150,8183,8160,8170,8240,8185,8199,8159,8182,7947,8141,8161,8062,0.2110283374786377,sil,False
100,8193,8176,8208,8169,8180,8247,8193,8201,8239,8188,7961,8180,8175,8093,0.2189893722534179,sil,False
101,8155,8169,8206,8161,8169,8242,8183,8196,8256,8170,7973,8180,8167,8080,0.2271299362182617,sil,False
102,8144,8154,8192,8160,8166,8236,8192,8192,8169,8184,7971,8146,8154,8063,0.2351865768432617,sil,False
103,8171,8175,8199,8164,8153,8231,8183,8189,8258,8171,7947,8191,8165,8068,0.2429914474487304,sil,False
104,8127,8140,8171,8139,8162,8229,8172,8173,8143,8158,7952,8149,8157,8052,0.2509913444519043,sil,False
105,8136,8160,8181,8154,8157,8245,8157,8180,8159,8144,7952,8160,8159,8056,0.2593090534210205,sil,False
106,8159,8172,8197,8159,8151,8241,8155,8178,8196,8143,7953,8179,8165,8065,0.2663319110870361,sil,False
106,8159,8172,8197,8159,8151,8241,8155,8178,8196,8143,7953,8179,8165,8065,0.2673399448394775,sil,False
107,8160,8155,8191,8154,8164,8242,8167,8170,8110,8153,7964,8150,8163,8074,0.2742969989776611,sil,False
108,8165,8185,8193,8163,8151,8255,8161,8187,8215,8141,7947,8177,8165,8070,0.2814974784851074,sil,False
109,8148,8161,8169,8147,8168,8257,8178,8188,8152,8165,7952,8141,8155,8056,0.2904071807861328,sil,False
110,8150,8158,8172,8155,8171,8268,8170,8189,8161,8164,7954,8158,8167,8068,0.2979874610900879,sil,False
111,8137,8162,8180,8157,8146,8265,8150,8185,8185,8146,7938,8172,8169,8049,0.3060157299041748,sil,False
112,8139,8149,8173,8147,8157,8261,8152,8166,8078,8158,7949,8137,8158,8042,0.3140349388122558,sil,False
113,8150,8179,8187,8158,8166,8274,8141,8174,8188,8145,7958,8182,8171,8066,0.3220734596252441,sil,False
114,8135,8159,8170,8158,8185,8282,8164,8185,8147,8163,7962,8149,8165,8060,0.3299903869628906,sil,False
115,8157,8166,8176,8160,8186,8275,8169,8182,8139,8163,7951,8149,8161,8068,0.3369526863098144,sil,False
116,8144,8174,8188,8152,8162,8262,8148,8177,8195,8140,7951,8172,8165,8071,0.34499192237854,sil,False
117,8143,8158,8178,8163,8173,8277,8173,8184,8129,8170,7966,8138,8163,8079,0.3529901504516601,sil,False
118,8177,8191,8202,8187,8185,8290,8183,8196,8256,8174,7955,8184,8175,8104,0.3612205982208252,sil,False
119,8156,8167,8197,8164,8197,8273,8176,8188,8220,8183,7974,8162,8171,8103,0.3692216873168945,sil,False
120,8167,8176,8196,8164,8189,8275,8174,8191,8199,8197,7988,8162,8169,8113,0.3772358894348144,sil,False
121,8157,8187,8198,8167,8170,8275,8172,8191,8262,8180,7974,8187,8173,8103,0.3843288421630859,sil,False
121,8157,8187,8198,8167,8170,8275,8172,8191,8262,8180,7974,8187,8173,8103,0.3853342533111572,sil,False
122,8131,8149,8181,8158,8192,8265,8181,8184,8156,8185,7984,8136,8165,8086,0.3929860591888428,sil,False
123,8170,8182,8206,8174,8189,8269,8164,8191,8242,8172,7982,8172,8174,8100,0.3996062278747558,sil,False
124,8164,8168,8204,8159,8176,8267,8160,8185,8207,8175,7988,8163,8171,8091,0.4075319766998291,sil,False
125,8161,8161,8196,8163,8168,8262,8167,8184,8170,8192,7996,8160,8166,8091,0.4159872531890869,sil,False
126,8163,8179,8192,8167,8156,8250,8165,8189,8248,8179,7988,8182,8173,8087,0.423985481262207,sil,False
127,8144,8152,8175,8146,8174,8241,8176,8179,8139,8175,8001,8136,8165,8082,0.4319849014282226,sil,False
240,8162,8181,8204,8164,8166,8240,8164,8192,8225,8164,7998,8179,8166,8097,0.4399647712707519,sil,False
0,8160,8174,8201,8167,8169,8228,8168,8192,8215,8180,7994,8170,8158,8084,0.4479761123657226,sil,False
1,8161,8166,8194,8164,8185,8233,8177,8180,8147,8184,7998,8156,8161,8089,0.455979585647583,sil,False
2,8167,8194,8215,8171,8175,8238,8171,8194,8258,8159,7996,8200,8175,8103,0.4640159606933594,sil,False
3,8174,8172,8203,8169,8187,8235,8200,8203,8196,8185,8009,8160,8168,8106,0.4704184532165527,sil,False
3,8174,8172,8203,8169,8187,8235,8200,8203,8196,8185,8009,8160,8168,8106,0.4713637828826904,sil,False
4,8184,8182,8207,8175,8185,8245,8191,8202,8245,8174,8003,8183,8176,8112,0.4783720970153808,sil,False
4,8184,8182,8207,8175,8185,8245,8191,8202,8245,8174,8003,8183,8176,8112,0.4793639183044433,sil,False
5,8152,8174,8194,8163,8179,8246,8178,8199,8234,8161,7997,8177,8172,8099,0.4869494438171386,sil,False
6,8175,8173,8186,8175,8191,8244,8194,8201,8194,8185,8003,8156,8162,8114,0.4950559139251709,sil,False
7,8190,8189,8200,8181,8176,8234,8173,8195,8291,8174,7998,8191,8171,8117,0.5029857158660889,sil,False
8,8151,8161,8183,8158,8180,8223,8167,8182,8177,8180,8011,8156,8165,8099,0.5111074447631836,sil,False
9,8187,8194,8199,8181,8191,8226,8174,8192,8230,8180,8009,8188,8171,8126,0.5185840129852295,sil,False
10,8197,8189,8209,8186,8198,8222,8178,8189,8263,8178,8011,8190,8171,8136,0.5265724658966064,sil,False
11,8180,8168,8211,8180,8200,8226,8178,8184,8176,8185,8027,8161,8166,8134,0.5342211723327637,sil,False
12,8193,8203,8226,8191,8181,8228,8168,8203,8271,8166,8011,8197,8176,8135,0.5422093868255615,sil,False
13,8197,8177,8200,8176,8199,8218,8182,8195,8186,8176,8008,8157,8162,8125,0.5502078533172607,sil,False
14,8205,8182,8205,8179,8205,8224,8176,8186,8203,8167,8014,8183,8165,8140,0.558215856552124,sil,False
15,8177,8184,8212,8180,8197,8227,8172,8199,8245,8159,8016,8196,8170,8137,0.5659868717193604,sil,False
16,8190,8175,8204,8184,8213,8228,8196,8209,8185,8189,8018,8161,8162,8137,0.5741517543792725,sil,False
17,8224,8206,8214,8198,8204,8229,8191,8208,8299,8182,8002,8210,8167,8153,0.5819873809814453,sil,False
18,8185,8177,8200,8181,8206,8224,8186,8191,8212,8178,8014,8179,8162,8149,0.589611291885376,sil,False
19,8183,8184,8216,8187,8198,8223,8172,8198,8211,8166,8018,8179,8165,8152,0.5976095199584961,sil,False
20,8189,8191,8222,8195,8181,8210,8169,8199,8260,8155,8004,8193,8167,8140,0.6046116352081299,sil,False
21,8200,8172,8203,8196,8195,8210,8193,8189,8161,8176,8015,8167,8165,8145,0.612985372543335,sil,False
22,8210,8199,8223,8202,8193,8221,8179,8195,8259,8162,8018,8207,8175,8156,0.6208240985870361,sil,False
23,8162,8174,8214,8180,8204,8219,8178,8188,8211,8167,8025,8164,8163,8128,0.6283571720123291,sil,False
23,8162,8174,8214,8180,8204,8219,8178,8188,8211,8167,8025,8164,8163,8128,0.6293671131134033,sil,False
