COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word_label,account_event
45,8166,8181,8161,8155,8168,8171,8165,8186,8154,8125,8177,8186,8174,8078,0.0039994716644287,sil,False
46,8175,8199,8171,8174,8173,8160,8190,8156,8180,8156,8157,8162,8151,8086,0.0120010375976562,sil,False
47,8192,8209,8170,8188,8173,8171,8200,8177,8194,8178,8183,8195,8173,8125,0.019998550415039,sil,False
48,8184,8200,8169,8186,8173,8166,8185,8173,8179,8170,8183,8192,8181,8134,0.028001070022583,sil,False
49,8177,8191,8169,8180,8167,8163,8175,8166,8170,8162,8166,8176,8170,8112,0.0353565216064453,sil,False
49,8177,8191,8169,8180,8167,8163,8175,8166,8170,8162,8166,8176,8170,8112,0.0363545417785644,sil,False
50,8190,8190,8169,8173,8156,8170,8186,8189,8183,8174,8178,8202,8178,8112,0.04351806640625,sil,False
51,8195,8208,8195,8192,8172,8158,8211,8159,8211,8215,8173,8187,8164,8143,0.0515172481536865,sil,False
52,8198,8209,8199,8200,8172,8173,8200,8177,8193,8215,8187,8206,8181,8163,0.0585205554962158,sil,False
53,8177,8184,8166,8176,8147,8170,8167,8173,8154,8167,8171,8186,8170,8127,0.0669455528259277,sil,False
53,8177,8184,8166,8176,8147,8170,8167,8173,8154,8167,8171,8186,8170,8127,0.0673186779022216,sil,False
54,8158,8174,8152,8155,8132,8165,8147,8157,8140,8133,8154,8154,8147,8094,0.0748572349548339,sil,False
55,8163,8181,8157,8144,8117,8173,8128,8185,8118,8119,8166,8179,8164,8081,0.0828528404235839,sil,False
56,8163,8183,8156,8148,8121,8156,8139,8155,8117,8130,8155,8153,8145,8065,0.0909991264343261,sil,False
57,8171,8187,8150,8155,8141,8164,8158,8168,8138,8134,8173,8172,8155,8083,0.0990164279937744,sil,False
58,8165,8189,8149,8155,8145,8167,8155,8173,8146,8134,8170,8182,8161,8088,0.1070172786712646,sil,False
59,8154,8174,8150,8148,8130,8162,8139,8146,8136,8143,8154,8151,8147,8071,0.1148989200592041,sil,False
60,8167,8171,8156,8136,8128,8170,8142,8176,8146,8154,8178,8180,8179,8089,0.1218993663787841,sil,False
61,8174,8194,8180,8158,8159,8155,8179,8166,8189,8188,8178,8176,8174,8113,0.129901647567749,sil,False
62,8180,8198,8187,8173,8160,8163,8175,8179,8185,8185,8182,8182,8173,8115,0.1379001140594482,sil,False
63,8169,8175,8176,8163,8139,8168,8146,8181,8154,8153,8171,8177,8170,8091,0.1459028720855713,sil,False
64,8157,8167,8170,8166,8147,8160,8151,8147,8166,8160,8163,8158,8153,8084,0.1538999080657959,sil,False
65,8168,8180,8174,8168,8154,8171,8160,8170,8175,8169,8193,8195,8176,8108,0.1619021892547607,sil,False
66,8163,8192,8186,8168,8158,8154,8168,8155,8165,8158,8180,8180,8163,8105,0.1699023246765136,sil,False
67,8160,8203,8174,8169,8166,8157,8165,8166,8153,8145,8173,8187,8165,8094,0.1774168014526367,sil,False
68,8170,8209,8156,8177,8181,8159,8165,8186,8153,8156,8175,8203,8179,8099,0.1854157447814941,sil,False
69,8176,8215,8173,8193,8188,8151,8179,8166,8174,8180,8167,8181,8165,8109,0.1924154758453369,sil,False
70,8185,8220,8180,8187,8173,8173,8179,8192,8181,8175,8179,8213,8177,8111,0.2010068893432617,sil,False
71,8174,8213,8167,8186,8170,8167,8179,8172,8180,8173,8165,8203,8164,8096,0.2090425491333007,sil,False
72,8169,8205,8164,8184,8161,8171,8167,8167,8171,8164,8172,8195,8172,8100,0.2169711589813232,sil,False
73,8178,8199,8173,8169,8144,8176,8148,8170,8166,8148,8178,8204,8177,8110,0.2250087261199951,sil,False
74,8181,8199,8193,8173,8161,8163,8163,8139,8192,8169,8168,8187,8158,8116,0.2329809665679931,sil,False
75,8181,8205,8195,8185,8179,8178,8181,8185,8203,8183,8196,8213,8190,8129,0.2410128116607666,sil,False
76,8170,8215,8183,8190,8183,8166,8186,8185,8200,8176,8188,8188,8185,8124,0.2490077018737793,sil,False
77,8182,8218,8188,8193,8188,8160,8196,8176,8201,8175,8189,8187,8178,8129,0.2570188045501709,sil,False
78,8195,8219,8195,8197,8188,8171,8208,8197,8196,8182,8192,8210,8190,8130,0.2640109062194824,sil,False
79,8181,8228,8191,8203,8188,8166,8217,8166,8195,8198,8166,8166,8159,8118,0.2720999717712402,sil,False
80,8187,8221,8193,8194,8186,8179,8210,8179,8188,8195,8190,8190,8173,8138,0.2801132202148437,sil,False
81,8182,8202,8205,8185,8187,8171,8198,8174,8183,8179,8182,8192,8172,8141,0.2879791259765625,sil,False
82,8183,8208,8212,8192,8188,8166,8195,8161,8189,8182,8164,8172,8157,8126,0.2960057258605957,sil,False
