COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word_label,goodbye_event
86,8113,8138,8144,8178,8159,8155,8140,8155,8123,8118,8154,8125,8150,8077,0.0059993267059326,sil,False
87,8118,8150,8143,8184,8146,8164,8149,8155,8142,8125,8153,8119,8146,8087,0.0130031108856201,sil,False
87,8118,8150,8143,8184,8146,8164,8149,8155,8142,8125,8153,8119,8146,8087,0.0140106678009033,sil,False
88,8125,8127,8118,8165,8145,8173,8143,8166,8133,8126,8152,8128,8158,8086,0.0220074653625488,sil,False
89,8100,8112,8106,8144,8154,8148,8140,8141,8129,8133,8141,8110,8145,8069,0.0295174121856689,sil,False
90,8125,8114,8117,8131,8134,8164,8137,8172,8129,8124,8152,8130,8169,8077,0.0375192165374755,sil,False
91,8121,8113,8123,8143,8134,8164,8156,8181,8152,8140,8159,8131,8167,8086,0.0452046394348144,sil,False
92,8115,8117,8128,8161,8146,8167,8171,8162,8180,8174,8158,8131,8156,8087,0.0532066822052001,sil,False
92,8115,8117,8128,8161,8146,8167,8171,8162,8180,8174,8158,8131,8156,8087,0.0542027950286865,sil,False
93,8130,8123,8134,8157,8146,8175,8164,8172,8176,8172,8157,8145,8166,8088,0.0602071285247802,sil,False
93,8130,8123,8134,8157,8146,8175,8164,8172,8176,8172,8157,8145,8166,8088,0.0612046718597412,sil,False
94,8116,8127,8136,8160,8165,8161,8174,8157,8172,8165,8156,8127,8156,8100,0.068683385848999,sil,False
95,8137,8122,8128,8151,8156,8177,8163,8168,8151,8144,8159,8140,8171,8105,0.0766816139221191,sil,False
96,8126,8126,8120,8144,8133,8165,8141,8159,8144,8129,8150,8129,8160,8077,0.0846831798553466,sil,False
97,8127,8147,8138,8163,8150,8156,8144,8153,8159,8146,8155,8133,8153,8081,0.0922672748565673,sil,False
98,8155,8147,8148,8162,8167,8165,8152,8178,8143,8143,8169,8157,8171,8096,0.1002676486968994,sil,False
99,8133,8140,8139,8151,8161,8154,8161,8158,8131,8140,8158,8128,8149,8081,0.1087088584899902,sil,False
100,8147,8151,8141,8150,8146,8169,8153,8169,8136,8148,8157,8142,8158,8087,0.116715669631958,sil,False
101,8146,8156,8146,8157,8156,8165,8152,8176,8150,8166,8156,8150,8159,8099,0.1237175464630127,sil,False
102,8136,8154,8143,8169,8157,8162,8165,8162,8167,8188,8163,8140,8151,8103,0.1313319206237793,sil,False
103,8159,8156,8143,8171,8139,8170,8170,8183,8175,8193,8176,8159,8173,8109,0.1393303871154785,sil,False
104,8141,8161,8148,8169,8168,8151,8177,8163,8190,8206,8174,8143,8157,8114,0.1476879119873047,sil,False
105,8145,8149,8141,8155,8182,8162,8162,8164,8177,8192,8178,8155,8161,8127,0.1557183265686035,sil,False
106,8140,8139,8119,8146,8156,8155,8150,8165,8154,8165,8164,8152,8168,8111,0.1637187004089355,sil,False
107,8118,8149,8115,8151,8153,8146,8154,8142,8145,8147,8147,8128,8157,8089,0.171710729598999,sil,False
108,8132,8149,8133,8150,8162,8163,8146,8165,8134,8142,8156,8150,8173,8096,0.1796960830688476,sil,False
109,8114,8149,8135,8152,8174,8146,8153,8158,8147,8174,8159,8135,8158,8099,0.1876780986785888,sil,False
110,8127,8167,8123,8148,8158,8157,8144,8157,8144,8166,8161,8142,8165,8102,0.1946995258331298,sil,False
111,8131,8172,8118,8146,8135,8163,8131,8162,8136,8138,8155,8150,8172,8096,0.202711820602417,sil,False
112,8107,8168,8127,8161,8163,8146,8148,8147,8152,8161,8147,8124,8151,8091,0.2106871604919433,sil,False
113,8133,8165,8133,8152,8185,8159,8143,8172,8145,8172,8158,8148,8168,8103,0.2187459468841552,sil,False
114,8115,8157,8121,8140,8164,8151,8125,8155,8136,8148,8155,8138,8162,8094,0.2267460823059082,sil,False
115,8107,8149,8112,8149,8133,8156,8110,8145,8125,8118,8151,8128,8162,8082,0.2350313663482666,sil,False
116,8115,8156,8119,8157,8141,8160,8110,8167,8117,8127,8155,8143,8164,8079,0.2430307865142822,sil,False
117,8101,8166,8123,8162,8169,8147,8130,8156,8138,8167,8158,8133,8147,8084,0.2506873607635498,sil,False
118,8120,8155,8115,8153,8163,8163,8132,8162,8138,8158,8164,8148,8166,8088,0.2587184906005859,sil,False
119,8107,8167,8117,8153,8158,8149,8146,8149,8135,8148,8155,8140,8151,8075,0.265718936920166,sil,False
120,8118,8194,8141,8169,8166,8151,8167,8154,8154,8178,8163,8151,8147,8098,0.2737207412719726,sil,False
121,8134,8188,8150,8173,8170,8159,8172,8173,8167,8189,8172,8174,8160,8126,0.2817177772521972,sil,False
122,8108,8169,8136,8166,8163,8144,8175,8142,8162,8169,8166,8147,8135,8117,0.2899634838104248,sil,False
123,8120,8161,8125,8144,8134,8153,8156,8150,8133,8133,8169,8154,8149,8107,0.2976851463317871,sil,False
124,8110,8165,8127,8143,8139,8144,8151,8154,8134,8150,8163,8150,8155,8106,0.3052270412445068,sil,False
125,8121,8170,8144,8166,8173,8152,8171,8158,8161,8196,8173,8158,8165,8132,0.3132524490356445,sil,False
126,8135,8160,8145,8169,8178,8162,8172,8171,8153,8185,8176,8170,8177,8138,0.3202600479125976,sil,False
127,8100,8150,8127,8153,8169,8147,8159,8145,8139,8155,8158,8140,8153,8106,0.3286769390106201,sil,False
241,8118,8145,8120,8133,8156,8167,8142,8163,8135,8145,8164,8157,8161,8096,0.3367164134979248,sil,False
0,8117,8144,8117,8141,8156,8162,8148,8158,8143,8143,8165,8157,8158,8091,0.3447163105010986,sil,False
1,8119,8158,8126,8168,8159,8162,8160,8148,8156,8142,8166,8157,8160,8092,0.3526668548583984,sil,False
2,8145,8180,8140,8162,8148,8169,8160,8175,8163,8150,8173,8181,8170,8105,0.3609027862548828,sil,False
3,8123,8177,8135,8137,8154,8153,8161,8155,8168,8155,8163,8157,8144,8109,0.3689026832580566,sil,False
