COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word_label,hello_event
95,8086,8140,8126,8155,8220,8173,8231,8171,8155,8146,8148,8145,8157,8085,0.0090136528015136,sil,False
96,8088,8141,8124,8156,8213,8173,8224,8177,8147,8143,8153,8156,8167,8086,0.0170009136199951,sil,False
97,8067,8135,8124,8144,8212,8171,8207,8155,8145,8148,8146,8138,8155,8075,0.0247704982757568,sil,False
98,8077,8141,8118,8143,8213,8178,8196,8167,8143,8146,8147,8147,8163,8079,0.0331926345825195,sil,False
99,8063,8150,8116,8158,8209,8172,8202,8159,8139,8140,8143,8143,8153,8073,0.0411839485168457,sil,False
100,8071,8151,8125,8164,8202,8178,8198,8152,8138,8134,8147,8147,8154,8080,0.0493900775909423,sil,False
101,8087,8155,8130,8154,8187,8177,8191,8167,8147,8145,8156,8156,8165,8090,0.0573904514312744,sil,False
102,8066,8146,8129,8140,8184,8154,8199,8159,8158,8168,8148,8144,8154,8084,0.0651495456695556,sil,False
103,8069,8136,8128,8131,8199,8159,8183,8168,8144,8149,8151,8157,8165,8086,0.0721716880798339,sil,False
104,8061,8162,8139,8150,8213,8170,8178,8164,8149,8138,8160,8153,8156,8089,0.0802931785583496,sil,False
105,8068,8178,8146,8159,8197,8172,8188,8165,8157,8162,8156,8154,8155,8091,0.0881645679473877,sil,False
106,8070,8151,8129,8129,8175,8166,8186,8176,8142,8157,8146,8155,8161,8077,0.0961854457855224,sil,False
107,8043,8139,8117,8116,8183,8152,8190,8147,8140,8136,8142,8133,8143,8060,0.104184865951538,sil,False
108,8067,8147,8127,8123,8187,8156,8182,8159,8138,8130,8145,8153,8158,8071,0.1121792793273925,sil,False
109,8068,8151,8142,8128,8191,8157,8179,8177,8139,8143,8144,8152,8162,8081,0.1201789379119873,sil,False
110,8063,8158,8143,8129,8193,8158,8178,8167,8126,8150,8149,8143,8162,8083,0.1281640529632568,sil,False
111,8083,8159,8140,8133,8195,8165,8175,8173,8105,8146,8154,8158,8175,8082,0.1351866722106933,sil,False
112,8063,8161,8145,8142,8211,8163,8189,8167,8128,8156,8154,8148,8164,8083,0.1431782245635986,sil,False
113,8059,8163,8136,8127,8210,8161,8185,8170,8138,8144,8147,8150,8171,8082,0.1511633396148681,sil,False
