COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word_label,no_event
113,8132,8152,8124,8105,8141,8156,8181,8149,8166,8180,8141,8103,8146,8068,0.0069987773895263,sil,False
114,8157,8135,8113,8096,8151,8184,8211,8181,8181,8176,8167,8141,8175,8079,0.0150015354156494,sil,False
115,8150,8140,8115,8089,8163,8163,8230,8175,8189,8163,8167,8126,8171,8084,0.0230011940002441,sil,False
116,8145,8153,8127,8097,8156,8163,8228,8174,8195,8147,8165,8113,8162,8087,0.0300002098083496,sil,False
117,8164,8151,8132,8103,8149,8178,8217,8203,8191,8153,8171,8150,8181,8084,0.0380706787109375,sil,False
118,8155,8164,8144,8112,8171,8160,8239,8161,8203,8187,8156,8128,8150,8082,0.0456495285034179,sil,False
118,8155,8164,8144,8112,8171,8160,8239,8161,8203,8187,8156,8128,8150,8082,0.0466513633728027,sil,False
119,8177,8179,8158,8120,8182,8181,8248,8175,8191,8178,8182,8165,8170,8120,0.0546514987945556,sil,False
120,8169,8181,8157,8135,8187,8172,8245,8174,8174,8165,8180,8152,8176,8137,0.0620627403259277,sil,False
121,8167,8177,8155,8136,8189,8166,8244,8169,8178,8172,8171,8130,8171,8132,0.0700464248657226,sil,False
122,8178,8163,8141,8114,8166,8170,8223,8194,8170,8156,8171,8154,8186,8118,0.0780427455902099,sil,False
123,8137,8140,8117,8103,8150,8148,8216,8158,8174,8149,8137,8096,8146,8086,0.0849924087524414,sil,False
124,8149,8136,8110,8089,8137,8178,8216,8189,8169,8143,8156,8127,8172,8086,0.0929956436157226,sil,False
125,8156,8150,8119,8088,8147,8179,8226,8193,8163,8153,8163,8150,8182,8089,0.1009957790374755,sil,False
126,8146,8157,8131,8108,8167,8160,8235,8156,8177,8172,8151,8116,8146,8093,0.1089980602264404,sil,False
127,8171,8165,8139,8114,8152,8173,8219,8176,8182,8160,8167,8146,8164,8105,0.1169977188110351,sil,False
241,8163,8175,8140,8117,8150,8167,8222,8146,8191,8162,8151,8128,8147,8101,0.1249957084655761,sil,False
0,8177,8167,8144,8117,8153,8182,8221,8158,8183,8171,8167,8150,8161,8113,0.1329958438873291,sil,False
1,8183,8165,8160,8125,8159,8166,8223,8167,8185,8183,8178,8164,8175,8129,0.1409957408905029,sil,False
2,8177,8172,8162,8133,8164,8152,8229,8151,8204,8186,8168,8140,8165,8134,0.1479957103729248,sil,False
3,8183,8155,8140,8112,8145,8174,8205,8183,8182,8152,8179,8168,8187,8122,0.1554939746856689,sil,False
3,8183,8155,8140,8112,8145,8174,8205,8183,8182,8152,8179,8168,8187,8122,0.1564936637878418,sil,False
4,8153,8148,8136,8109,8156,8152,8198,8152,8172,8157,8158,8135,8160,8100,0.1635012626647949,sil,False
5,8165,8157,8142,8115,8167,8165,8201,8166,8182,8176,8162,8153,8174,8114,0.1714978218078613,sil,False
6,8155,8139,8118,8090,8159,8171,8201,8180,8180,8165,8159,8160,8179,8100,0.1804113388061523,sil,False
7,8122,8122,8099,8072,8147,8157,8197,8145,8165,8150,8149,8119,8152,8068,0.1880154609680175,sil,False
8,8152,8139,8113,8075,8131,8170,8182,8180,8155,8138,8180,8162,8187,8088,0.1960155963897705,sil,False
9,8150,8155,8129,8096,8143,8149,8189,8167,8177,8149,8168,8137,8173,8105,0.2040154933929443,sil,False
10,8155,8149,8131,8103,8141,8165,8175,8172,8165,8147,8165,8140,8171,8104,0.2120172977447509,sil,False
11,8156,8146,8129,8093,8129,8169,8151,8186,8138,8138,8163,8153,8180,8096,0.2196297645568847,sil,False
11,8156,8146,8129,8093,8129,8169,8151,8186,8138,8138,8163,8153,8180,8096,0.2206296920776367,sil,False
12,8154,8159,8136,8101,8130,8150,8165,8159,8159,8153,8151,8115,8152,8096,0.2266294956207275,sil,False
13,8192,8171,8150,8121,8126,8180,8173,8187,8174,8159,8179,8165,8183,8113,0.2348909378051757,sil,False
14,8170,8167,8156,8133,8137,8165,8183,8148,8170,8167,8166,8147,8164,8112,0.2429945468902588,sil,False
15,8161,8150,8149,8118,8137,8164,8179,8135,8145,8144,8165,8135,8152,8109,0.2509927749633789,sil,False
16,8172,8141,8141,8104,8119,8175,8167,8178,8140,8127,8182,8171,8182,8111,0.2590694427490234,sil,False
17,8145,8154,8143,8124,8135,8152,8186,8154,8192,8177,8165,8135,8163,8117,0.2670168876647949,sil,False
18,8155,8158,8143,8126,8152,8160,8182,8178,8199,8191,8175,8154,8181,8126,0.2752408981323242,sil,False
19,8147,8159,8140,8127,8155,8154,8175,8170,8188,8187,8163,8138,8165,8102,0.2828376293182373,sil,False
20,8150,8178,8145,8143,8158,8167,8184,8158,8213,8209,8162,8130,8149,8102,0.2894179821014404,sil,False
20,8150,8178,8145,8143,8158,8167,8184,8158,8213,8209,8162,8130,8149,8102,0.2904171943664551,sil,False
21,8168,8180,8136,8133,8155,8175,8190,8180,8218,8202,8178,8167,8175,8118,0.2974169254302978,sil,False
21,8168,8180,8136,8133,8155,8175,8190,8180,8218,8202,8178,8167,8175,8118,0.2984178066253662,sil,False
22,8149,8175,8134,8132,8170,8145,8202,8145,8214,8195,8162,8134,8153,8110,0.3060622215270996,sil,False
