COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word_label,yes_event
52,8113,8112,8107,8087,8100,8151,8113,8132,8118,8082,8132,8108,8131,8033,0.00700044631958,sil,False
53,8140,8109,8112,8074,8095,8180,8098,8163,8101,8075,8153,8143,8163,8039,0.0150003433227539,sil,False
54,8119,8120,8118,8092,8109,8161,8125,8147,8127,8105,8142,8120,8148,8038,0.0219998359680175,sil,False
55,8115,8118,8108,8093,8105,8168,8128,8146,8131,8102,8145,8124,8150,8038,0.0300004482269287,sil,False
56,8118,8109,8094,8074,8096,8167,8118,8153,8098,8078,8149,8132,8161,8027,0.0378830432891845,sil,False
57,8103,8119,8104,8082,8114,8150,8130,8125,8096,8098,8145,8100,8143,8027,0.0458984375,sil,False
58,8133,8129,8120,8086,8112,8171,8113,8172,8094,8091,8170,8147,8178,8053,0.0540142059326171,sil,False
59,8123,8133,8117,8087,8111,8152,8112,8162,8099,8080,8151,8122,8160,8043,0.0623371601104736,sil,False
60,8132,8138,8119,8097,8114,8161,8122,8150,8105,8088,8147,8112,8148,8035,0.0703375339508056,sil,False
61,8146,8145,8131,8109,8116,8172,8124,8166,8113,8101,8162,8148,8168,8050,0.0780146121978759,sil,False
62,8140,8164,8145,8128,8133,8162,8147,8143,8150,8133,8162,8130,8150,8069,0.0848152637481689,sil,False
63,8174,8178,8144,8125,8138,8180,8156,8176,8157,8145,8179,8158,8171,8093,0.0928080081939697,sil,False
64,8149,8165,8134,8123,8149,8155,8156,8157,8149,8146,8161,8133,8157,8091,0.1003787517547607,sil,False
64,8149,8165,8134,8123,8149,8155,8156,8157,8149,8146,8161,8133,8157,8091,0.1013786792755127,sil,False
65,8147,8154,8145,8129,8151,8168,8153,8145,8144,8136,8162,8132,8160,8099,0.1090142726898193,sil,False
66,8165,8150,8138,8112,8136,8183,8136,8173,8123,8123,8171,8159,8178,8096,0.117044448852539,sil,False
67,8123,8131,8101,8090,8134,8149,8121,8145,8100,8121,8142,8103,8143,8057,0.125044584274292,sil,False
68,8138,8120,8091,8081,8122,8167,8117,8175,8085,8103,8152,8122,8171,8045,0.1329720020294189,sil,False
69,8153,8147,8115,8104,8130,8159,8141,8170,8118,8129,8154,8131,8164,8050,0.1409907341003418,sil,False
70,8163,8170,8132,8121,8155,8164,8153,8157,8157,8172,8156,8138,8148,8068,0.1489796638488769,sil,False
71,8173,8168,8126,8107,8157,8185,8159,8185,8162,8175,8176,8168,8181,8087,0.1560075283050537,sil,False
72,8155,8182,8135,8119,8176,8162,8203,8160,8186,8191,8174,8134,8162,8098,0.1639823913574218,sil,False
73,8181,8191,8153,8131,8186,8176,8203,8186,8185,8189,8186,8167,8175,8121,0.1720161437988281,sil,False
74,8172,8182,8147,8129,8188,8168,8174,8179,8168,8174,8168,8165,8173,8114,0.1800146102905273,sil,False
75,8178,8181,8146,8139,8183,8160,8160,8154,8167,8169,8162,8149,8161,8112,0.1879820823669433,sil,False
76,8219,8184,8160,8144,8167,8173,8147,8186,8154,8157,8182,8182,8177,8120,0.1960458755493164,sil,False
77,8202,8197,8169,8158,8177,8153,8155,8164,8156,8168,8165,8149,8149,8112,0.2040345668792724,sil,False
78,8210,8189,8160,8154,8168,8171,8146,8177,8148,8165,8170,8166,8160,8111,0.2118985652923584,sil,False
79,8189,8156,8140,8124,8144,8172,8131,8163,8139,8160,8158,8152,8153,8090,0.2185842990875244,sil,False
80,8166,8143,8129,8105,8146,8167,8137,8132,8145,8155,8146,8116,8140,8082,0.2265830039978027,sil,False
81,8183,8151,8122,8096,8154,8171,8132,8174,8129,8128,8159,8151,8175,8093,0.2347960472106933,sil,False
82,8168,8157,8129,8109,8165,8141,8140,8164,8132,8138,8150,8132,8159,8089,0.2432620525360107,sil,False
83,8194,8168,8147,8124,8168,8168,8151,8185,8145,8160,8169,8156,8172,8099,0.2512621879577636,sil,False
84,8195,8178,8145,8130,8171,8173,8167,8188,8160,8168,8166,8162,8166,8096,0.2590119838714599,sil,False
85,8178,8178,8145,8129,8172,8166,8183,8151,8171,8181,8151,8138,8138,8094,0.2670431137084961,sil,False
86,8212,8177,8146,8119,8158,8189,8182,8180,8158,8178,8169,8180,8171,8119,0.2743504047393799,sil,False
86,8212,8177,8146,8119,8158,8189,8182,8180,8158,8178,8169,8180,8171,8119,0.2753496170043945,sil,False
87,8203,8182,8142,8135,8172,8159,8192,8161,8164,8180,8156,8156,8159,8122,0.2813496589660644,sil,False
87,8203,8182,8142,8135,8172,8159,8192,8161,8164,8180,8156,8156,8159,8122,0.2823495864868164,sil,False
88,8203,8181,8146,8146,8187,8170,8187,8172,8161,8180,8168,8170,8168,8127,0.2900631427764892,sil,False
89,8196,8166,8142,8119,8175,8180,8176,8185,8149,8173,8167,8176,8173,8119,0.2983195781707763,sil,False
90,8179,8156,8126,8102,8152,8164,8177,8151,8148,8159,8143,8133,8142,8093,0.306011438369751,sil,False
91,8196,8149,8114,8104,8129,8180,8158,8173,8122,8124,8156,8166,8161,8083,0.3140096664428711,sil,False
92,8168,8150,8115,8113,8145,8164,8164,8144,8118,8131,8145,8144,8142,8068,0.3216347694396972,sil,False
93,8175,8147,8114,8104,8151,8167,8161,8147,8115,8139,8154,8147,8154,8071,0.3296296596527099,sil,False
94,8181,8139,8107,8095,8142,8165,8134,8179,8107,8127,8163,8169,8178,8077,0.3375172615051269,sil,False
95,8163,8152,8122,8120,8161,8155,8143,8159,8132,8145,8150,8143,8152,8075,0.3445227146148681,sil,False
96,8189,8155,8124,8116,8148,8182,8142,8181,8124,8140,8157,8167,8168,8072,0.3526182174682617,sil,False
97,8168,8144,8107,8101,8132,8166,8124,8150,8109,8127,8136,8131,8148,8052,0.3610124588012695,sil,False
98,8164,8144,8109,8101,8133,8172,8118,8144,8110,8123,8145,8134,8150,8062,0.3690099716186523,sil,False
99,8178,8150,8116,8104,8136,8173,8127,8180,8102,8108,8166,8176,8183,8078,0.376662015914917,sil,False
100,8154,8152,8114,8117,8148,8148,8132,8149,8095,8101,8142,8137,8156,8068,0.3846564292907715,sil,False
101,8175,8154,8117,8117,8149,8180,8109,8175,8085,8087,8151,8163,8173,8076,0.3926947116851806,sil,False
102,8176,8173,8134,8128,8164,8170,8126,8168,8109,8109,8154,8160,8164,8082,0.4010128974914551,sil,False
103,8179,8190,8147,8144,8175,8170,8163,8157,8147,8148,8158,8157,8154,8101,0.4090125560760498,sil,False
104,8191,8181,8138,8141,8168,8187,8170,8188,8157,8148,8165,8188,8178,8115,0.4160125255584717,sil,False
105,8168,8174,8133,8143,8185,8162,8174,8158,8155,8137,8153,8153,8159,8109,0.4240114688873291,sil,False
106,8187,8178,8139,8139,8194,8183,8163,8184,8135,8124,8173,8185,8181,8111,0.4319727420806885,sil,False
107,8180,8179,8133,8140,8189,8177,8164,8175,8145,8145,8159,8181,8164,8093,0.4396312236785888,sil,False
107,8180,8179,8133,8140,8189,8177,8164,8175,8145,8145,8159,8181,8164,8093,0.4406599998474121,sil,False
108,8183,8179,8123,8147,8169,8168,8181,8146,8167,8167,8154,8161,8145,8096,0.4480106830596924,sil,False
109,8214,8176,8126,8138,8148,8181,8172,8191,8155,8150,8187,8210,8190,8122,0.456012487411499,sil,False
110,8184,8174,8134,8140,8175,8156,8175,8171,8163,8160,8166,8168,8163,8115,0.4640250205993652,sil,False
111,8190,8170,8134,8145,8183,8175,8167,8175,8164,8156,8160,8167,8161,8106,0.4720182418823242,sil,False
112,8186,8168,8133,8144,8169,8173,8156,8165,8155,8146,8162,8173,8156,8090,0.4790167808532715,sil,False
113,8173,8172,8139,8147,8180,8163,8164,8144,8169,8166,8161,8164,8145,8096,0.4870467185974121,sil,False
114,8204,8174,8148,8150,8187,8184,8169,8189,8172,8167,8176,8205,8188,8129,0.4949808120727539,sil,False
115,8194,8184,8159,8170,8202,8166,8189,8174,8186,8177,8158,8168,8167,8137,0.5029950141906738,sil,False
116,8211,8200,8161,8182,8194,8180,8192,8181,8197,8192,8175,8185,8162,8140,0.5109508037567139,sil,False
117,8209,8203,8152,8176,8187,8172,8193,8177,8198,8202,8186,8197,8167,8139,0.5187551975250244,sil,False
118,8192,8199,8157,8180,8215,8155,8202,8156,8208,8213,8175,8170,8167,8152,0.5267627239227295,sil,False
119,8218,8200,8168,8182,8218,8178,8194,8201,8204,8202,8184,8206,8197,8166,0.5348336696624756,sil,False
120,8197,8211,8170,8195,8204,8164,8213,8171,8220,8213,8165,8168,8152,8146,0.5421719551086426,sil,False
121,8210,8216,8175,8200,8199,8183,8216,8168,8225,8223,8175,8181,8155,8155,0.5501711368560791,sil,False
122,8222,8208,8170,8193,8208,8185,8198,8179,8210,8222,8180,8215,8178,8167,0.5576822757720947,sil,False
123,8196,8206,8157,8199,8214,8157,8203,8143,8210,8228,8163,8179,8145,8155,0.5659947395324707,sil,False
124,8209,8199,8150,8186,8194,8175,8186,8175,8184,8198,8180,8201,8165,8151,0.5740072727203369,sil,False
125,8184,8183,8144,8172,8203,8158,8171,8163,8169,8175,8162,8176,8156,8131,0.5822319984436035,sil,False
126,8180,8180,8142,8169,8216,8165,8173,8171,8172,8175,8158,8176,8161,8131,0.5901803970336914,sil,False
127,8191,8188,8146,8170,8208,8174,8177,8194,8185,8183,8170,8194,8176,8132,0.5980079174041748,sil,False
241,8170,8184,8139,8169,8200,8163,8176,8150,8200,8199,8156,8155,8150,8112,0.6050014495849609,sil,False
0,8182,8162,8120,8143,8173,8188,8156,8166,8170,8171,8161,8174,8171,8104,0.6132245063781738,sil,False
1,8166,8160,8114,8136,8174,8164,8169,8150,8168,8161,8149,8149,8154,8103,0.6212193965911865,sil,False
2,8189,8179,8133,8151,8193,8166,8184,8161,8198,8185,8169,8162,8167,8134,0.6290073394775391,sil,False
3,8217,8179,8142,8152,8186,8184,8161,8199,8195,8182,8186,8197,8196,8135,0.6370077133178711,sil,False
4,8166,8174,8130,8152,8200,8149,8173,8138,8206,8186,8144,8124,8134,8103,0.6450231075286865,sil,False
5,8194,8169,8136,8146,8199,8178,8178,8161,8194,8184,8166,8164,8162,8124,0.6530640125274658,sil,False
6,8211,8164,8155,8139,8175,8188,8153,8196,8155,8172,8191,8215,8207,8126,0.6610620021820068,sil,False
7,8169,8171,8145,8144,8172,8163,8152,8165,8167,8168,8164,8165,8169,8095,0.6690630912780762,sil,False
8,8167,8167,8134,8138,8171,8172,8152,8158,8182,8152,8151,8155,8152,8083,0.6760661602020264,sil,False
9,8156,8153,8132,8128,8175,8158,8153,8143,8173,8156,8148,8148,8145,8091,0.6840076446533203,sil,False
10,8167,8146,8127,8123,8170,8168,8140,8176,8157,8157,8166,8174,8171,8101,0.6924631595611572,sil,False
11,8158,8147,8126,8122,8161,8160,8132,8168,8166,8163,8153,8157,8161,8078,0.6994953155517578,sil,False
12,8152,8156,8130,8129,8166,8157,8144,8146,8180,8183,8144,8134,8141,8080,0.7075097560882568,sil,False
13,8189,8168,8140,8139,8172,8183,8156,8185,8167,8173,8171,8186,8179,8113,0.7160074710845947,sil,False
14,8174,8178,8144,8151,8196,8149,8181,8156,8180,8179,8160,8158,8161,8119,0.7238099575042725,sil,False
15,8181,8173,8142,8142,8194,8158,8163,8170,8166,8174,8167,8164,8171,8127,0.7317235469818115,sil,False
16,8182,8164,8142,8138,8177,8165,8137,8182,8143,8150,8163,8168,8176,8119,0.7390079498291016,sil,False
17,8169,8169,8145,8144,8174,8160,8152,8153,8164,8153,8151,8139,8150,8101,0.7470088005065918,sil,False
18,8187,8167,8142,8132,8155,8183,8145,8169,8154,8143,8171,8180,8174,8102,0.7550077438354492,sil,False
19,8160,8160,8137,8138,8160,8154,8138,8136,8142,8144,8151,8152,8149,8108,0.7630798816680908,sil,False
20,8183,8163,8144,8142,8170,8171,8131,8169,8132,8142,8161,8167,8166,8122,0.7711055278778076,sil,False
21,8178,8158,8139,8134,8155,8171,8120,8184,8117,8135,8158,8166,8174,8091,0.7791063785552979,sil,False
22,8146,8157,8131,8136,8132,8158,8116,8132,8128,8140,8130,8118,8131,8061,0.7871129512786865,sil,False
23,8187,8164,8139,8126,8122,8190,8105,8167,8131,8130,8160,8169,8167,8088,0.7950081825256348,sil,False
24,8170,8166,8139,8126,8163,8155,8123,8152,8140,8149,8161,8147,8160,8104,0.802034854888916,sil,False
25,8172,8160,8138,8135,8175,8162,8119,8167,8130,8146,8160,8153,8172,8103,0.8100290298461914,sil,False
26,8171,8153,8138,8129,8138,8178,8095,8177,8123,8117,8154,8164,8175,8074,0.8180079460144043,sil,False
27,8146,8153,8131,8131,8119,8160,8101,8130,8139,8123,8146,8125,8137,8069,0.8260078430175781,sil,False
27,8146,8153,8131,8131,8119,8160,8101,8130,8139,8123,8146,8125,8137,8069,0.8264012336730957,sil,False
28,8177,8144,8132,8130,8116,8180,8084,8172,8105,8105,8175,8180,8185,8098,0.8344080448150635,sil,False
29,8157,8148,8143,8135,8135,8156,8083,8151,8096,8107,8153,8158,8169,8089,0.8424263000488281,sil,False
30,8173,8169,8164,8150,8128,8171,8097,8150,8126,8135,8168,8165,8160,8104,0.8500025272369385,yes,True
31,8187,8173,8173,8154,8117,8173,8103,8174,8129,8142,8188,8198,8175,8130,0.8580071926116943,yes,True
32,8154,8164,8165,8157,8160,8138,8110,8140,8102,8134,8161,8152,8146,8127,0.8660070896148682,yes,True
33,8183,8161,8163,8156,8151,8177,8089,8189,8072,8114,8183,8194,8182,8120,0.87300705909729,yes,True
34,8165,8172,8168,8171,8126,8168,8106,8161,8116,8140,8173,8167,8151,8105,0.8804750442504883,yes,True
34,8165,8172,8168,8171,8126,8168,8106,8161,8116,8140,8173,8167,8151,8105,0.8814704418182373,yes,True
35,8174,8186,8178,8182,8154,8173,8136,8139,8149,8168,8182,8173,8151,8134,0.8884754180908203,yes,True
35,8174,8186,8178,8182,8154,8173,8136,8139,8149,8168,8182,8173,8151,8134,0.889470100402832,yes,True
36,8200,8191,8181,8177,8179,8177,8133,8190,8123,8169,8205,8220,8200,8159,0.8970081806182861,yes,True
37,8168,8191,8179,8186,8180,8145,8133,8165,8141,8193,8176,8158,8157,8134,0.904949188232422,yes,True
38,8192,8178,8182,8172,8156,8189,8121,8182,8146,8185,8188,8196,8173,8129,0.91318678855896,yes,True
