COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word_label,hello_event
109,7895,7924,7906,7896,7865,7580,7828,7908,8085,7864,7824,7919,7883,7894,0.0059976577758789,sil,False
110,7864,7884,7866,7864,7867,7576,7830,7891,7962,7842,7803,7889,7872,7875,0.0140070915222167,sil,False
111,7863,7885,7854,7860,7872,7568,7828,7887,7931,7838,7798,7894,7877,7881,0.0220074653625488,sil,False
112,7856,7900,7869,7864,7856,7576,7816,7885,8008,7838,7801,7909,7879,7867,0.030013084411621,sil,False
113,7850,7876,7865,7855,7878,7602,7826,7874,7889,7863,7821,7890,7883,7861,0.0367183685302734,sil,False
114,7857,7909,7879,7879,7873,7587,7807,7882,8008,7849,7812,7919,7888,7868,0.0452265739440918,sil,False
115,7843,7885,7869,7889,7874,7577,7825,7888,7962,7871,7832,7900,7888,7867,0.052969217300415,sil,False
116,7863,7888,7883,7888,7865,7590,7838,7884,7938,7868,7823,7897,7878,7872,0.0610454082489013,sil,False
117,7853,7902,7911,7882,7842,7586,7812,7876,8000,7820,7790,7911,7873,7848,0.0690436363220214,sil,False
118,7844,7867,7907,7876,7865,7587,7821,7874,7865,7842,7807,7884,7880,7848,0.0769624710083007,sil,False
119,7866,7896,7916,7875,7855,7579,7816,7881,7966,7832,7790,7900,7878,7853,0.0850553512573242,sil,False
120,7836,7873,7902,7845,7861,7588,7830,7870,7898,7828,7790,7878,7874,7832,0.0930566787719726,sil,False
121,7839,7868,7897,7846,7874,7619,7856,7869,7859,7836,7804,7880,7873,7838,0.1000971794128418,sil,False
122,7851,7903,7919,7869,7857,7621,7844,7882,8012,7834,7809,7911,7887,7851,0.1073331832885742,sil,False
122,7851,7903,7919,7869,7857,7621,7844,7882,8012,7834,7809,7911,7887,7851,0.1083338260650634,sil,False
123,7854,7877,7927,7875,7882,7623,7828,7890,7928,7882,7847,7890,7900,7876,0.1153326034545898,sil,False
123,7854,7877,7927,7875,7882,7623,7828,7890,7928,7882,7847,7890,7900,7876,0.1163334846496582,sil,False
124,7872,7903,7942,7891,7883,7636,7803,7900,8029,7876,7842,7911,7894,7881,0.1239724159240722,sil,False
