COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word_label,no_event
23,8134,8162,8158,8174,8181,8069,8183,8163,8092,8142,8168,8143,8157,8128,0.0029950141906738,sil,False
24,8145,8187,8169,8190,8157,8080,8170,8180,8192,8143,8162,8180,8166,8131,0.0104846954345703,sil,False
25,8154,8163,8162,8177,8151,8074,8186,8177,8120,8174,8165,8145,8157,8125,0.0184857845306396,sil,False
25,8154,8163,8162,8177,8151,8074,8186,8177,8120,8174,8165,8145,8157,8125,0.0194857120513916,sil,False
26,8163,8174,8169,8175,8151,8072,8181,8171,8137,8159,8162,8167,8162,8135,0.0264878273010253,sil,False
27,8133,8178,8167,8178,8151,8069,8182,8176,8170,8152,8165,8170,8168,8124,0.0344858169555664,sil,False
28,8152,8164,8168,8182,8167,8076,8209,8174,8116,8188,8180,8140,8164,8137,0.0430614948272705,sil,False
29,8179,8184,8188,8186,8153,8079,8190,8175,8210,8173,8179,8187,8170,8151,0.0512027740478515,sil,False
30,8146,8162,8176,8175,8150,8076,8181,8171,8140,8173,8183,8154,8160,8125,0.0590045452117919,sil,False
31,8164,8182,8184,8193,8154,8087,8187,8175,8168,8182,8169,8161,8166,8133,0.0660285949707031,sil,False
32,8160,8177,8178,8180,8150,8085,8185,8172,8205,8165,8159,8174,8168,8140,0.0740227699279785,sil,False
33,8135,8145,8150,8162,8154,8093,8187,8165,8099,8161,8169,8138,8155,8127,0.0820357799530029,sil,False
34,8147,8173,8157,8176,8132,8111,8175,8174,8175,8146,8150,8167,8160,8113,0.0900084972381591,sil,False
35,8132,8147,8141,8158,8129,8107,8180,8160,8102,8149,8139,8134,8151,8099,0.0980362892150878,sil,False
36,8142,8148,8146,8154,8143,8120,8181,8154,8101,8153,8147,8154,8158,8127,0.1060342788696289,sil,False
37,8143,8165,8166,8163,8155,8141,8174,8165,8186,8164,8171,8191,8172,8140,0.1140074729919433,sil,False
38,8139,8155,8167,8168,8177,8151,8182,8167,8116,8192,8196,8151,8164,8127,0.1220145225524902,sil,False
39,8162,8182,8182,8177,8163,8134,8176,8178,8202,8172,8174,8181,8167,8125,0.1290137767791748,sil,False
40,8158,8164,8168,8178,8163,8087,8197,8178,8165,8172,8169,8160,8159,8121,0.1370289325714111,sil,False
41,8183,8169,8173,8216,8178,8087,8220,8182,8156,8179,8176,8162,8161,8140,0.1448240280151367,sil,False
42,8173,8172,8182,8220,8171,8119,8203,8175,8222,8153,8169,8187,8166,8135,0.1530027389526367,sil,False
43,8136,8141,8157,8188,8172,8142,8183,8162,8122,8158,8178,8145,8158,8115,0.1612443923950195,sil,False
44,8160,8174,8168,8205,8157,8152,8174,8178,8201,8160,8178,8178,8166,8127,0.1690032482147216,sil,False
45,8158,8161,8165,8207,8156,8144,8198,8172,8176,8160,8179,8161,8159,8124,0.1770040988922119,sil,False
46,8155,8153,8168,8206,8163,8156,8201,8166,8143,8152,8176,8155,8159,8131,0.1849913597106933,sil,False
47,8165,8184,8191,8219,8155,8170,8187,8184,8237,8150,8172,8192,8168,8137,0.1930034160614013,sil,False
48,8176,8164,8190,8220,8168,8156,8209,8178,8158,8182,8191,8156,8163,8137,0.2000019550323486,sil,False
49,8176,8174,8205,8220,8153,8143,8196,8165,8210,8158,8194,8188,8170,8148,0.2080047130584716,sil,False
50,8148,8170,8206,8211,8152,8132,8183,8168,8200,8152,8201,8180,8162,8132,0.2159664630889892,sil,False
