COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word_label,goodbye_event
122,8164,8122,8108,8178,8148,8178,8178,8170,8170,8170,8113,8147,8151,8139,0.0410676002502441,goodbye,True
123,8159,8117,8140,8141,8135,8180,8162,8174,8147,8152,8105,8146,8142,8132,0.0410676002502441,goodbye,True
124,8156,8123,8112,8137,8135,8162,8162,8173,8161,8156,8106,8146,8146,8128,0.05643892288208,goodbye,True
125,8168,8139,8130,8139,8150,8157,8174,8174,8187,8165,8100,8158,8155,8145,0.05643892288208,goodbye,True
126,8172,8143,8134,8134,8156,8171,8186,8174,8195,8169,8095,8156,8164,8151,0.0723955631256103,goodbye,True
127,8163,8122,8112,8107,8142,8158,8167,8169,8175,8166,8099,8141,8154,8136,0.0723955631256103,goodbye,True
237,8160,8124,8129,8099,8138,8154,8153,8174,8161,8156,8102,8143,8138,8131,0.0880615711212158,goodbye,True
0,8161,8138,8104,8127,8159,8173,8179,8169,8176,8160,8094,8130,8149,8135,0.0880615711212158,goodbye,True
1,8167,8138,8132,8109,8165,8182,8187,8173,8179,8173,8096,8144,8160,8150,0.1034886837005615,goodbye,True
2,8166,8138,8134,8099,8167,8178,8175,8176,8169,8183,8105,8147,8156,8147,0.1034886837005615,goodbye,True
3,8157,8146,8109,8128,8174,8159,8158,8160,8142,8145,8088,8126,8142,8119,0.1190936565399169,goodbye,True
4,8160,8169,8159,8125,8171,8159,8163,8167,8132,8120,8098,8147,8144,8123,0.1190936565399169,goodbye,True
5,8177,8189,8157,8133,8190,8180,8198,8174,8168,8177,8161,8165,8178,8154,0.1344940662384033,goodbye,True
6,8190,8203,8174,8170,8218,8198,8215,8177,8171,8207,8171,8173,8184,8171,0.1344940662384033,goodbye,True
7,8184,8195,8168,8176,8223,8215,8235,8184,8177,8212,8144,8170,8181,8169,0.1498410701751709,goodbye,True
8,8177,8162,8128,8130,8205,8208,8244,8180,8213,8227,8144,8154,8189,8166,0.1498410701751709,goodbye,True
9,8179,8158,8153,8108,8187,8193,8228,8179,8208,8202,8129,8150,8177,8162,0.1655714511871338,goodbye,True
10,8169,8159,8119,8121,8191,8180,8230,8175,8201,8188,8119,8138,8176,8145,0.1655714511871338,goodbye,True
11,8167,8146,8119,8092,8190,8163,8220,8180,8203,8193,8133,8156,8183,8139,0.1806752681732177,goodbye,True
12,8174,8168,8146,8102,8190,8165,8199,8187,8195,8177,8145,8168,8180,8137,0.1806752681732177,goodbye,True
13,8168,8192,8132,8145,8199,8175,8202,8174,8190,8168,8140,8140,8167,8123,0.1967027187347412,goodbye,True
14,8164,8194,8161,8134,8205,8182,8215,8173,8191,8169,8129,8139,8154,8122,0.1967027187347412,goodbye,True
15,8166,8186,8139,8129,8202,8184,8233,8179,8212,8167,8137,8137,8166,8132,0.2128143310546875,goodbye,True
16,8160,8176,8145,8132,8181,8181,8228,8178,8210,8127,8139,8135,8177,8137,0.2128143310546875,goodbye,True
17,8145,8170,8161,8134,8171,8187,8225,8176,8192,8117,8130,8135,8184,8128,0.2288541793823242,goodbye,True
18,8145,8159,8125,8138,8179,8184,8238,8172,8198,8198,8123,8123,8187,8124,0.2288541793823242,goodbye,True
19,8162,8158,8156,8128,8174,8178,8241,8187,8215,8275,8136,8145,8184,8142,0.2448306083679199,goodbye,True
20,8168,8161,8153,8136,8163,8172,8242,8187,8235,8273,8160,8166,8202,8147,0.2448306083679199,goodbye,True
21,8175,8167,8157,8142,8159,8160,8224,8171,8225,8215,8157,8170,8210,8144,0.260977029800415,goodbye,True
22,8181,8182,8175,8147,8172,8166,8209,8172,8217,8203,8157,8167,8203,8150,0.260977029800415,goodbye,True
23,8174,8185,8143,8160,8188,8170,8215,8174,8228,8225,8168,8151,8203,8140,0.2771353721618652,goodbye,True
24,8164,8183,8162,8149,8188,8163,8203,8177,8209,8209,8162,8160,8200,8129,0.2771353721618652,goodbye,True
25,8146,8171,8141,8142,8181,8157,8191,8170,8194,8197,8157,8152,8202,8123,0.2928071022033691,goodbye,True
26,8148,8166,8137,8138,8177,8151,8182,8165,8188,8173,8153,8143,8197,8123,0.2928071022033691,goodbye,True
27,8168,8182,8170,8136,8180,8150,8175,8170,8184,8171,8154,8157,8192,8133,0.3078846931457519,goodbye,True
28,8175,8180,8142,8148,8186,8142,8176,8158,8188,8201,8171,8153,8197,8132,0.3078846931457519,goodbye,True
29,8177,8171,8163,8128,8174,8139,8165,8155,8178,8180,8168,8165,8191,8129,0.323106050491333,goodbye,True
30,8173,8170,8146,8113,8161,8145,8165,8157,8177,8157,8165,8153,8189,8125,0.323106050491333,goodbye,True
31,8166,8165,8131,8121,8166,8136,8161,8149,8156,8159,8158,8128,8177,8115,0.3391826152801513,goodbye,True
32,8160,8162,8168,8116,8177,8141,8156,8155,8130,8156,8144,8141,8161,8114,0.3391826152801513,goodbye,True
33,8159,8157,8144,8102,8179,8152,8171,8162,8156,8168,8153,8147,8168,8118,0.3548059463500976,goodbye,True
34,8168,8161,8165,8099,8169,8151,8168,8174,8168,8164,8167,8164,8167,8123,0.3548059463500976,goodbye,True
35,8178,8186,8172,8137,8180,8157,8171,8176,8158,8156,8181,8172,8173,8130,0.369882583618164,goodbye,True
36,8188,8199,8168,8159,8199,8158,8172,8162,8155,8177,8193,8170,8182,8136,0.369882583618164,goodbye,True
37,8184,8187,8190,8147,8190,8154,8158,8159,8163,8198,8194,8173,8178,8128,0.3851346969604492,goodbye,True
38,8173,8172,8151,8151,8184,8153,8154,8155,8169,8187,8192,8157,8178,8111,0.3851346969604492,goodbye,True
39,8177,8185,8174,8147,8189,8155,8144,8154,8147,8156,8177,8160,8165,8113,0.4017603397369385,goodbye,True
40,8171,8199,8178,8154,8192,8164,8148,8157,8149,8169,8170,8148,8151,8112,0.4017603397369385,goodbye,True
41,8166,8191,8157,8168,8194,8171,8155,8159,8173,8199,8184,8138,8164,8113,0.4167933464050293,goodbye,True
42,8187,8209,8211,8178,8203,8186,8154,8165,8173,8199,8205,8175,8184,8134,0.4319713115692138,goodbye,True
43,8190,8218,8189,8192,8204,8178,8160,8154,8161,8198,8197,8164,8178,8127,0.4319713115692138,goodbye,True
44,8159,8182,8160,8166,8184,8158,8161,8148,8141,8191,8151,8126,8142,8104,0.4479908943176269,goodbye,True
45,8138,8160,8143,8144,8182,8176,8180,8162,8153,8202,8136,8115,8131,8102,0.4479908943176269,goodbye,True
46,8146,8161,8129,8145,8186,8183,8190,8169,8175,8206,8144,8115,8137,8106,0.4479908943176269,goodbye,True
47,8148,8161,8170,8138,8177,8174,8174,8171,8168,8191,8136,8124,8132,8103,0.4641084671020508,goodbye,True
48,8142,8159,8148,8147,8180,8181,8175,8161,8169,8201,8133,8113,8143,8106,0.4641084671020508,goodbye,True
49,8156,8165,8159,8156,8185,8179,8171,8157,8162,8202,8131,8120,8149,8120,0.4799096584320068,goodbye,True
50,8160,8166,8167,8150,8181,8177,8170,8166,8151,8203,8133,8131,8148,8121,0.4954173564910888,goodbye,True
51,8143,8149,8126,8130,8175,8184,8179,8163,8152,8207,8137,8121,8145,8109,0.4954173564910888,goodbye,True
52,8139,8151,8152,8125,8176,8184,8177,8170,8157,8194,8126,8126,8130,8118,0.4954173564910888,goodbye,True
53,8144,8163,8141,8153,8183,8179,8184,8173,8182,8212,8129,8119,8137,8130,0.5109398365020752,goodbye,True
54,8150,8164,8146,8151,8181,8177,8189,8165,8186,8232,8143,8126,8153,8137,0.5109398365020752,goodbye,True
55,8149,8167,8162,8133,8175,8178,8190,8171,8185,8232,8152,8138,8156,8139,0.5270977020263672,goodbye,True
56,8153,8162,8133,8140,8174,8175,8193,8179,8213,8235,8160,8128,8163,8138,0.5270977020263672,goodbye,True
57,8173,8173,8172,8153,8175,8184,8185,8186,8222,8234,8164,8142,8175,8147,0.54172682762146,goodbye,True
