COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word_label,please_event
34,8126,8225,8217,8228,8199,8190,8176,8159,8071,8335,8315,8268,8235,8052,0.0420060157775878,sil,False
35,8129,8230,8214,8226,8200,8189,8175,8165,8081,8351,8312,8264,8237,8056,0.0420060157775878,sil,False
36,8128,8200,8188,8202,8191,8197,8193,8169,8103,8374,8296,8255,8234,8056,0.057593822479248,sil,False
37,8128,8180,8188,8189,8182,8207,8202,8173,8104,8356,8291,8259,8229,8053,0.057593822479248,sil,False
38,8119,8180,8170,8185,8189,8197,8203,8173,8118,8348,8301,8253,8249,8053,0.0729100704193115,sil,False
39,8120,8176,8179,8169,8185,8173,8185,8170,8136,8363,8310,8259,8268,8060,0.0729100704193115,sil,False
40,8129,8175,8190,8173,8181,8169,8167,8168,8133,8354,8323,8263,8260,8049,0.0880486965179443,sil,False
41,8139,8187,8199,8189,8189,8161,8161,8153,8109,8327,8327,8274,8235,8024,0.0880486965179443,sil,False
42,8154,8203,8215,8199,8188,8153,8163,8149,8097,8329,8324,8288,8237,8034,0.1040520668029785,sil,False
43,8153,8203,8191,8199,8188,8166,8173,8155,8114,8336,8340,8268,8255,8052,0.1040520668029785,sil,False
44,8139,8202,8198,8195,8196,8187,8180,8156,8115,8320,8334,8258,8236,8048,0.1192314624786377,sil,False
45,8137,8214,8210,8221,8208,8208,8200,8160,8125,8341,8309,8254,8220,8048,0.1192314624786377,sil,False
46,8140,8194,8187,8216,8206,8210,8213,8167,8152,8369,8299,8251,8236,8065,0.1349658966064453,sil,False
47,8146,8171,8175,8170,8189,8187,8199,8180,8159,8365,8301,8270,8250,8072,0.1349658966064453,sil,False
48,8155,8194,8169,8173,8179,8174,8193,8178,8151,8343,8317,8283,8258,8061,0.1510050296783447,sil,False
49,8155,8216,8196,8193,8184,8175,8191,8159,8128,8294,8331,8283,8249,8055,0.1510050296783447,sil,False
50,8135,8203,8191,8191,8198,8184,8196,8157,8124,8273,8314,8252,8225,8043,0.1670379638671875,sil,False
51,8134,8195,8168,8188,8205,8195,8202,8164,8147,8297,8287,8236,8217,8042,0.1670379638671875,sil,False
52,8153,8206,8191,8192,8200,8195,8201,8178,8164,8308,8293,8270,8242,8064,0.1830997467041015,sil,False
