COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word_label,sorry_event
125,8126,8164,8182,8109,8143,8156,8126,8174,8115,8154,8169,8100,8146,8118,0.0104243755340576,sorry,True
126,8114,8156,8123,8129,8160,8161,8136,8165,8129,8165,8166,8077,8151,8110,0.0271918773651123,sorry,True
127,8119,8164,8211,8121,8157,8175,8138,8170,8114,8156,8156,8081,8138,8114,0.0271918773651123,sorry,True
236,8125,8164,8149,8130,8156,8178,8162,8170,8126,8174,8146,8083,8140,8127,0.0413095951080322,sorry,True
0,8133,8156,8158,8129,8155,8175,8171,8172,8150,8181,8147,8090,8158,8141,0.0584895610809326,sorry,True
1,8134,8154,8191,8109,8149,8184,8165,8180,8160,8169,8156,8105,8173,8149,0.0584895610809326,sorry,True
2,8125,8142,8112,8094,8142,8163,8158,8173,8156,8174,8144,8085,8163,8141,0.0584895610809326,sorry,True
3,8138,8151,8191,8084,8131,8156,8147,8176,8143,8163,8134,8094,8151,8139,0.0725224018096923,sorry,True
4,8163,8162,8159,8104,8138,8160,8150,8171,8153,8163,8165,8124,8173,8156,0.0725224018096923,sorry,True
5,8178,8169,8167,8106,8145,8149,8128,8168,8132,8146,8173,8136,8170,8162,0.0887434482574462,sorry,True
6,8161,8181,8202,8096,8139,8153,8112,8178,8108,8135,8152,8126,8137,8140,0.0887434482574462,sorry,True
7,8136,8166,8122,8105,8139,8155,8135,8172,8128,8157,8151,8092,8131,8121,0.1043713092803955,sorry,True
8,8135,8165,8203,8100,8143,8164,8146,8179,8131,8152,8149,8094,8137,8128,0.1043713092803955,sorry,True
9,8137,8167,8163,8107,8152,8176,8163,8178,8132,8153,8147,8094,8142,8128,0.1214239597320556,sorry,True
10,8139,8160,8139,8110,8158,8177,8172,8168,8136,8159,8141,8083,8137,8124,0.1214239597320556,sorry,True
11,8142,8170,8194,8118,8162,8182,8161,8172,8140,8153,8133,8098,8140,8140,0.1347918510437011,sorry,True
12,8152,8174,8130,8143,8167,8169,8149,8163,8148,8154,8150,8112,8164,8151,0.1347918510437011,sorry,True
13,8168,8184,8207,8129,8159,8156,8123,8164,8117,8135,8161,8130,8156,8138,0.1507091522216797,sorry,True
14,8157,8184,8178,8121,8157,8153,8114,8165,8098,8120,8156,8120,8129,8120,0.1517088413238525,sorry,True
15,8145,8177,8154,8146,8162,8165,8131,8163,8102,8130,8150,8102,8126,8123,0.1672146320343017,sorry,True
16,8159,8184,8223,8162,8171,8195,8151,8172,8104,8158,8151,8115,8143,8143,0.1672146320343017,sorry,True
17,8170,8173,8143,8158,8174,8184,8163,8164,8123,8173,8158,8115,8160,8157,0.1812589168548584,sorry,True
18,8177,8171,8196,8130,8154,8164,8152,8172,8139,8166,8168,8135,8172,8166,0.1972694396972656,sorry,True
19,8178,8180,8182,8129,8153,8168,8153,8183,8163,8188,8189,8150,8188,8166,0.1972694396972656,sorry,True
20,8172,8182,8152,8138,8162,8162,8149,8172,8162,8185,8179,8132,8178,8150,0.2147088050842285,sorry,True
21,8154,8188,8213,8127,8153,8170,8140,8169,8128,8142,8148,8125,8151,8133,0.2147088050842285,sorry,True
22,8128,8166,8118,8130,8154,8177,8162,8165,8131,8151,8139,8100,8148,8125,0.2147088050842285,sorry,True
23,8138,8161,8170,8130,8162,8184,8173,8170,8150,8172,8134,8096,8152,8134,0.2296016216278076,sorry,True
24,8149,8169,8182,8142,8174,8192,8187,8173,8174,8195,8136,8114,8161,8151,0.2466373443603515,sorry,True
25,8138,8155,8135,8136,8171,8176,8192,8168,8173,8195,8131,8106,8158,8147,0.2466373443603515,sorry,True
26,8146,8164,8206,8109,8154,8172,8172,8178,8156,8161,8132,8112,8155,8136,0.2599580287933349,sorry,True
27,8164,8174,8139,8122,8154,8165,8171,8170,8164,8168,8164,8123,8171,8136,0.2599580287933349,sorry,True
28,8171,8179,8188,8138,8157,8153,8159,8173,8144,8171,8167,8131,8154,8138,0.2757081985473633,sorry,True
29,8159,8180,8200,8151,8160,8163,8152,8187,8123,8148,8139,8118,8122,8129,0.2757081985473633,sorry,True
30,8148,8161,8129,8151,8164,8176,8169,8171,8129,8140,8124,8092,8117,8121,0.2915496826171875,sorry,True
31,8159,8163,8207,8143,8161,8193,8184,8166,8131,8158,8125,8111,8127,8146,0.2915496826171875,sorry,True
32,8177,8166,8157,8172,8163,8188,8194,8171,8150,8188,8148,8135,8152,8181,0.3066551685333252,sorry,True
33,8193,8173,8181,8169,8160,8167,8168,8171,8156,8182,8158,8152,8164,8181,0.3066551685333252,sorry,True
34,8197,8185,8200,8158,8154,8157,8148,8170,8152,8176,8162,8160,8170,8173,0.3227307796478271,sorry,True
35,8200,8186,8145,8167,8153,8141,8156,8166,8151,8172,8176,8160,8178,8177,0.3227307796478271,sorry,True
36,8205,8195,8225,8150,8150,8145,8147,8175,8131,8145,8170,8168,8163,8170,0.3382375240325928,sorry,True
37,8193,8188,8161,8159,8159,8152,8148,8171,8129,8155,8163,8138,8153,8155,0.3382375240325928,sorry,True
38,8191,8193,8178,8187,8168,8165,8152,8174,8131,8173,8170,8126,8160,8160,0.3536195755004883,sorry,True
39,8196,8211,8219,8197,8173,8189,8165,8185,8142,8185,8177,8147,8172,8177,0.3536195755004883,sorry,True
40,8191,8196,8145,8193,8179,8179,8184,8174,8164,8214,8176,8129,8172,8179,0.3696358203887939,sorry,True
41,8190,8195,8216,8179,8178,8180,8184,8179,8170,8214,8161,8119,8159,8174,0.3696358203887939,sorry,True
42,8186,8195,8164,8186,8182,8205,8207,8178,8195,8220,8161,8116,8165,8182,0.3855252265930176,sorry,True
43,8174,8178,8153,8172,8179,8201,8212,8172,8199,8224,8161,8108,8172,8184,0.3855252265930176,sorry,True
44,8156,8171,8185,8148,8165,8184,8190,8178,8182,8214,8145,8102,8166,8170,0.4016175270080566,sorry,True
45,8152,8166,8120,8153,8160,8170,8188,8170,8197,8212,8141,8092,8162,8164,0.4016175270080566,sorry,True
46,8174,8181,8208,8149,8162,8176,8189,8178,8202,8201,8151,8117,8167,8178,0.417137861251831,sorry,True
47,8177,8184,8166,8146,8168,8171,8186,8178,8201,8202,8169,8129,8187,8179,0.417137861251831,sorry,True
48,8177,8170,8150,8133,8164,8154,8160,8169,8193,8196,8168,8124,8192,8166,0.4332072734832763,sorry,True
49,8190,8182,8211,8133,8165,8168,8153,8175,8173,8187,8160,8134,8178,8166,0.4332072734832763,sorry,True
50,8191,8190,8140,8157,8175,8166,8170,8168,8150,8181,8164,8120,8167,8163,0.4495046138763428,sorry,True
51,8190,8196,8207,8152,8170,8159,8156,8173,8133,8164,8168,8123,8158,8157,0.4495046138763428,sorry,True
52,8188,8193,8180,8157,8179,8165,8158,8176,8164,8184,8186,8141,8169,8170,0.4645729064941406,sorry,True
53,8190,8195,8165,8174,8192,8170,8170,8175,8173,8196,8184,8139,8172,8181,0.4645729064941406,sorry,True
54,8198,8212,8233,8179,8191,8194,8175,8184,8146,8181,8166,8135,8154,8185,0.4802851676940918,sorry,True
55,8195,8197,8149,8188,8198,8192,8186,8172,8154,8186,8163,8118,8153,8182,0.4802851676940918,sorry,True
56,8186,8190,8198,8176,8192,8184,8180,8170,8157,8186,8153,8114,8150,8176,0.4963166713714599,sorry,True
57,8168,8192,8178,8173,8186,8186,8190,8178,8159,8200,8151,8105,8151,8174,0.4963166713714599,sorry,True
58,8162,8178,8142,8166,8186,8175,8199,8171,8163,8204,8147,8088,8154,8179,0.5134093761444092,sorry,True
59,8168,8177,8206,8153,8179,8177,8183,8171,8155,8181,8134,8101,8147,8172,0.5134093761444092,sorry,True
60,8164,8170,8121,8151,8173,8170,8178,8165,8167,8183,8141,8098,8151,8154,0.5134093761444092,sorry,True
61,8171,8178,8179,8130,8170,8160,8167,8171,8169,8187,8154,8108,8160,8161,0.5306804180145264,sorry,True
62,8181,8189,8188,8136,8178,8165,8165,8175,8168,8196,8163,8120,8170,8174,0.5452151298522949,sorry,True
63,8182,8183,8141,8153,8175,8159,8161,8165,8157,8187,8159,8117,8167,8154,0.5452151298522949,sorry,True
64,8179,8201,8220,8147,8169,8158,8151,8171,8140,8156,8161,8140,8159,8146,0.5452151298522949,sorry,True
