COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word_label,thankyou_event
71,8166,8171,8131,8145,8169,8160,8175,8156,8158,8192,8140,8131,8167,8135,0.0125648975372314,thankyou,True
72,8159,8171,8184,8124,8162,8153,8157,8174,8142,8167,8141,8149,8170,8132,0.0275712013244628,thankyou,True
73,8166,8174,8158,8139,8174,8161,8158,8169,8156,8179,8149,8155,8180,8141,0.0275712013244628,thankyou,True
74,8169,8168,8153,8149,8178,8153,8161,8163,8163,8193,8147,8148,8181,8144,0.0431225299835205,thankyou,True
75,8144,8161,8184,8120,8164,8150,8153,8173,8161,8189,8145,8153,8172,8132,0.0431225299835205,thankyou,True
76,8130,8143,8112,8111,8160,8146,8154,8169,8177,8201,8154,8135,8174,8123,0.059131383895874,thankyou,True
77,8156,8151,8177,8120,8163,8148,8152,8183,8171,8190,8156,8149,8170,8140,0.059131383895874,thankyou,True
78,8161,8166,8147,8138,8170,8156,8157,8170,8163,8176,8160,8156,8165,8135,0.0751154422760009,thankyou,True
79,8151,8156,8126,8124,8164,8151,8147,8157,8149,8167,8155,8143,8154,8121,0.0751154422760009,thankyou,True
80,8152,8164,8192,8116,8163,8158,8147,8176,8140,8159,8154,8147,8148,8126,0.0911507606506347,thankyou,True
81,8150,8172,8128,8149,8176,8165,8175,8166,8157,8162,8151,8127,8145,8119,0.0911507606506347,thankyou,True
82,8162,8189,8184,8160,8177,8165,8173,8171,8152,8153,8138,8132,8128,8117,0.1069176197052002,thankyou,True
83,8168,8192,8177,8165,8176,8162,8166,8173,8155,8162,8155,8146,8134,8124,0.1069176197052002,thankyou,True
84,8149,8170,8134,8161,8172,8148,8156,8160,8142,8157,8163,8138,8133,8126,0.1223261356353759,thankyou,True
85,8136,8181,8189,8157,8167,8160,8145,8165,8112,8140,8147,8142,8118,8128,0.1223261356353759,thankyou,True
86,8137,8192,8138,8184,8183,8173,8165,8163,8135,8168,8150,8135,8131,8126,0.1383469104766845,thankyou,True
87,8151,8187,8186,8176,8191,8178,8184,8174,8162,8189,8157,8157,8141,8142,0.1383469104766845,thankyou,True
88,8149,8176,8178,8168,8185,8181,8203,8168,8172,8201,8155,8164,8143,8152,0.154407262802124,thankyou,True
89,8146,8164,8130,8164,8172,8168,8193,8160,8171,8196,8147,8144,8144,8149,0.154407262802124,thankyou,True
90,8162,8174,8199,8142,8164,8168,8166,8174,8158,8172,8153,8174,8147,8150,0.1697158813476562,thankyou,True
91,8161,8172,8144,8143,8167,8150,8168,8158,8159,8173,8178,8179,8154,8140,0.1697158813476562,thankyou,True
92,8159,8172,8181,8149,8164,8130,8153,8160,8139,8155,8178,8171,8145,8132,0.1854500770568847,thankyou,True
93,8167,8185,8201,8164,8169,8150,8149,8171,8138,8150,8171,8172,8144,8130,0.1854500770568847,thankyou,True
94,8173,8186,8155,8182,8173,8162,8165,8165,8151,8161,8166,8163,8157,8132,0.2016031742095947,thankyou,True
95,8171,8183,8214,8185,8163,8163,8165,8170,8134,8145,8147,8168,8159,8139,0.2016031742095947,thankyou,True
