COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp
125,8158,8154,8134,8149,7995,8160,8089,8182,8173,8157,8153,8173,8169,8081,0.0009975433349609
126,8161,8165,8155,8177,8024,8150,8124,8134,8213,8206,8153,8150,8136,8105,0.0089972019195556
126,8161,8165,8155,8177,8024,8150,8124,8134,8213,8206,8153,8150,8136,8105,0.0099992752075195
127,8191,8164,8159,8163,8031,8165,8122,8181,8188,8177,8183,8211,8191,8140,0.0169987678527832
127,8191,8164,8159,8163,8031,8165,8122,8181,8188,8177,8183,8211,8191,8140,0.0179998874664306
240,8146,8149,8131,8144,8019,8124,8112,8149,8160,8141,8138,8144,8153,8094,0.0249979496002197
240,8146,8149,8131,8144,8019,8124,8112,8149,8160,8141,8138,8144,8153,8094,0.0259995460510253
0,8149,8135,8122,8139,8011,8153,8099,8170,8147,8127,8145,8146,8144,8062,0.0335009098052978
1,8152,8138,8127,8141,8019,8165,8103,8170,8145,8125,8147,8168,8152,8065,0.041496992111206
2,8124,8145,8120,8137,8026,8146,8121,8120,8154,8129,8131,8136,8131,8071,0.0484895706176757
3,8138,8123,8102,8094,7999,8167,8098,8171,8119,8100,8156,8170,8166,8060,0.0564897060394287
4,8106,8111,8091,8087,8006,8129,8098,8147,8106,8108,8132,8123,8147,8037,0.0645077228546142
5,8127,8130,8108,8118,8014,8147,8103,8167,8119,8126,8150,8141,8162,8052,0.0724186897277832
6,8158,8141,8128,8134,8008,8161,8109,8185,8139,8134,8161,8175,8172,8065,0.0804202556610107
7,8135,8154,8138,8150,8025,8131,8136,8115,8177,8168,8131,8118,8119,8074,0.0884184837341308
8,8169,8165,8149,8147,8031,8171,8132,8161,8171,8171,8172,8179,8164,8111,0.0964670181274414
9,8162,8157,8146,8151,8044,8152,8145,8154,8175,8173,8171,8179,8168,8122,0.1044642925262451
10,8163,8144,8139,8157,8038,8145,8147,8136,8178,8158,8161,8156,8151,8115,0.1114640235900878
11,8181,8137,8134,8138,8020,8162,8127,8159,8154,8132,8166,8180,8169,8106,0.1195034980773925
12,8167,8148,8130,8136,8042,8142,8145,8133,8157,8152,8147,8141,8142,8098,0.1275019645690918
13,8200,8155,8128,8141,8033,8172,8138,8187,8148,8150,8174,8180,8178,8106,0.1356630325317382
14,8192,8153,8125,8141,8028,8154,8123,8174,8148,8150,8158,8162,8169,8092,0.1436622142791748
15,8193,8152,8130,8137,8035,8157,8118,8162,8152,8155,8144,8143,8149,8083,0.1515059471130371
16,8209,8146,8130,8125,8004,8172,8091,8197,8139,8131,8160,8185,8176,8075,0.1587288379669189
17,8182,8152,8126,8135,7998,8141,8090,8148,8161,8164,8145,8150,8147,8068,0.1672656536102295
18,8204,8151,8133,8135,7992,8177,8086,8173,8148,8179,8167,8185,8173,8089,0.1755053997039795
19,8177,8126,8132,8112,7982,8161,8082,8156,8110,8131,8150,8167,8168,8083,0.1824753284454345
20,8162,8116,8130,8108,7981,8153,8070,8151,8093,8098,8149,8143,8157,8077,0.1904959678649902
21,8191,8131,8133,8121,7980,8174,8055,8205,8087,8101,8172,8188,8190,8081,0.1985087394714355
22,8157,8146,8136,8138,7999,8136,8077,8149,8115,8130,8137,8139,8149,8062,0.2065224647521972
23,8174,8144,8147,8133,7988,8169,8069,8173,8114,8120,8155,8172,8163,8059,0.2139821052551269
24,8173,8135,8140,8124,7986,8171,8069,8171,8102,8118,8156,8179,8166,8058,0.2219758033752441
24,8173,8135,8140,8124,7986,8171,8069,8171,8102,8118,8156,8179,8166,8058,0.2229692935943603
25,8143,8130,8126,8123,8004,8145,8085,8129,8093,8116,8141,8125,8144,8057,0.2309823036193847
26,8162,8131,8128,8113,7989,8169,8055,8185,8065,8069,8168,8162,8184,8048,0.2387433052062988
27,8140,8146,8134,8127,8007,8148,8072,8153,8110,8095,8148,8137,8153,8034,0.2455039024353027
28,8155,8150,8134,8138,8010,8168,8093,8145,8142,8126,8153,8146,8151,8047,0.2535057067871094
29,8163,8132,8127,8131,7988,8171,8075,8172,8107,8097,8164,8169,8180,8052,0.2618513107299804
30,8139,8134,8129,8127,8004,8148,8081,8177,8124,8106,8157,8151,8171,8056,0.2698495388031006
31,8175,8154,8149,8125,8023,8179,8095,8208,8160,8128,8170,8184,8186,8073,0.2777645587921142
32,8170,8163,8155,8152,8049,8156,8126,8149,8179,8158,8163,8162,8164,8085,0.285501480102539
33,8167,8155,8132,8164,8052,8155,8122,8167,8162,8156,8184,8181,8182,8100,0.2930436134338379
33,8167,8155,8132,8164,8052,8155,8122,8167,8162,8156,8184,8181,8182,8100,0.294041633605957
34,8162,8148,8108,8141,8039,8158,8103,8201,8148,8136,8172,8187,8192,8072,0.3020429611206054
35,8137,8154,8100,8141,8048,8139,8120,8151,8175,8153,8147,8147,8154,8041,0.3100826740264892
36,8165,8157,8112,8144,8038,8165,8114,8184,8164,8149,8173,8179,8181,8062,0.3161382675170898
36,8165,8157,8112,8144,8038,8165,8114,8184,8164,8149,8173,8179,8181,8062,0.3171365261077881
37,8152,8171,8135,8151,8057,8138,8124,8176,8169,8158,8161,8148,8168,8083,0.324582576751709
38,8157,8187,8152,8164,8078,8154,8139,8184,8188,8166,8164,8156,8164,8082,0.3325817584991455
39,8173,8184,8142,8166,8066,8172,8150,8182,8193,8164,8164,8182,8171,8073,0.3404960632324219
39,8173,8184,8142,8166,8066,8172,8150,8182,8193,8164,8164,8182,8171,8073,0.3409092426300049
40,8153,8189,8121,8175,8085,8135,8183,8133,8218,8197,8160,8157,8153,8098,0.3485016822814941
41,8178,8174,8118,8161,8085,8170,8155,8202,8184,8170,8184,8191,8196,8107,0.3573682308197021
42,8150,8153,8116,8143,8060,8149,8124,8176,8153,8142,8144,8140,8161,8052,0.3648879528045654
