COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp
77,8192,8175,8153,8183,8196,8182,8193,8166,8169,8190,8181,8208,8169,8127,0.0010004043579101
78,8179,8169,8149,8183,8210,8173,8207,8173,8180,8209,8171,8195,8166,8144,0.0080001354217529
78,8179,8169,8149,8183,8210,8173,8207,8173,8180,8209,8171,8195,8166,8144,0.0090012550354003
79,8174,8147,8142,8187,8199,8169,8196,8167,8176,8203,8172,8178,8159,8151,0.016000747680664
80,8182,8133,8140,8174,8182,8173,8176,8189,8162,8194,8180,8194,8177,8134,0.0240039825439453
81,8150,8143,8137,8170,8192,8161,8198,8157,8179,8215,8162,8163,8145,8109,0.0323753356933593
82,8170,8142,8127,8148,8171,8178,8195,8159,8167,8205,8169,8186,8164,8125,0.0399456024169921
83,8160,8133,8115,8143,8156,8161,8172,8158,8138,8182,8160,8169,8167,8123,0.0479531288146972
83,8160,8133,8115,8143,8156,8161,8172,8158,8138,8182,8160,8169,8167,8123,0.0489528179168701
84,8148,8140,8123,8174,8185,8158,8167,8151,8140,8182,8158,8153,8159,8115,0.0559527873992919
84,8148,8140,8123,8174,8185,8158,8167,8151,8140,8182,8158,8153,8159,8115,0.0569519996643066
85,8170,8145,8139,8180,8194,8175,8165,8173,8148,8181,8167,8187,8174,8116,0.0649530887603759
86,8154,8147,8142,8176,8186,8161,8181,8148,8157,8185,8156,8162,8145,8104,0.0723483562469482
87,8168,8141,8144,8170,8176,8176,8183,8156,8138,8174,8174,8182,8164,8109,0.0789997577667236
88,8165,8135,8144,8168,8185,8169,8177,8160,8125,8169,8170,8178,8166,8106,0.0870001316070556
89,8164,8151,8148,8175,8196,8163,8184,8154,8138,8178,8161,8165,8158,8117,0.0953545570373535
90,8183,8160,8150,8177,8188,8177,8182,8185,8135,8185,8182,8195,8186,8138,0.1033544540405273
91,8149,8152,8152,8182,8198,8162,8190,8164,8143,8209,8179,8164,8164,8133,0.1109888553619384
91,8149,8152,8152,8182,8198,8162,8190,8164,8143,8209,8179,8164,8164,8133,0.1119964122772216
