COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp
50, 8144, 8168, 8193, 8198, 8211, 8197, 8203, 8171, 8215, 8180, 8175, 8155, 8152, 8094,0.005507469177246094
50, 8144, 8168, 8193, 8198, 8211, 8197, 8203, 8171, 8215, 8180, 8175, 8155, 8152, 8094,0.005507469177246094
51, 8151, 8182, 8206, 8209, 8220, 8198, 8224, 8164, 8240, 8201, 8184, 8156, 8149, 8120,0.013508319854736328
51, 8151, 8182, 8206, 8209, 8220, 8198, 8224, 8164, 8240, 8201, 8184, 8156, 8149, 8120,0.013508319854736328
52, 8165, 8170, 8181, 8193, 8215, 8187, 8205, 8178, 8213, 8178, 8178, 8164, 8169, 8116,0.02150750160217285
52, 8165, 8170, 8181, 8193, 8215, 8187, 8205, 8178, 8213, 8178, 8178, 8164, 8169, 8116,0.02150750160217285
53, 8136, 8157, 8169, 8175, 8213, 8165, 8194, 8158, 8188, 8166, 8165, 8144, 8154, 8100,0.02950763702392578
53, 8136, 8157, 8169, 8175, 8213, 8165, 8194, 8158, 8188, 8166, 8165, 8144, 8154, 8100,0.02950763702392578
54, 8154, 8164, 8187, 8172, 8229, 8186, 8195, 8179, 8192, 8173, 8180, 8169, 8175, 8123,0.036538124084472656
54, 8154, 8164, 8187, 8172, 8229, 8186, 8195, 8179, 8192, 8173, 8180, 8169, 8175, 8123,0.036538124084472656
55, 8156, 8176, 8193, 8185, 8243, 8189, 8199, 8185, 8204, 8186, 8181, 8168, 8177, 8130,0.04441022872924805
55, 8156, 8176, 8193, 8185, 8243, 8189, 8199, 8185, 8204, 8186, 8181, 8168, 8177, 8130,0.04441022872924805
56, 8154, 8190, 8191, 8197, 8235, 8176, 8204, 8167, 8202, 8189, 8172, 8151, 8158, 8120,0.05241036415100098
56, 8154, 8190, 8191, 8197, 8235, 8176, 8204, 8167, 8202, 8189, 8172, 8151, 8158, 8120,0.05241036415100098
57, 8175, 8194, 8194, 8202, 8233, 8188, 8204, 8183, 8199, 8165, 8174, 8168, 8166, 8118,0.0604252815246582
57, 8175, 8194, 8194, 8202, 8233, 8188, 8204, 8183, 8199, 8165, 8174, 8168, 8166, 8118,0.0604252815246582
58, 8160, 8191, 8205, 8217, 8253, 8193, 8215, 8164, 8218, 8172, 8170, 8154, 8151, 8119,0.06840944290161133
