COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp
41,8210,8182,8196,8190,8214,8165,8178,8165,8157,8203,8169,8173,8168,8151,0.0049977302551269
42,8199,8183,8190,8188,8205,8170,8189,8153,8157,8204,8171,8169,8167,8147,0.014000654220581
43,8206,8169,8183,8172,8187,8175,8161,8186,8128,8171,8179,8200,8192,8146,0.0210046768188476
44,8187,8158,8178,8174,8181,8157,8146,8153,8128,8163,8155,8159,8162,8121,0.0280051231384277
45,8204,8155,8181,8168,8176,8178,8148,8168,8138,8175,8173,8188,8171,8126,0.0365235805511474
46,8192,8140,8177,8163,8179,8163,8151,8156,8125,8181,8168,8183,8162,8131,0.0439424514770507
47,8181,8126,8175,8161,8174,8157,8140,8155,8105,8168,8153,8165,8158,8134,0.0519499778747558
48,8188,8116,8175,8144,8150,8179,8120,8190,8094,8146,8159,8185,8179,8119,0.0599510669708251
49,8163,8110,8167,8146,8145,8165,8114,8137,8096,8147,8143,8140,8143,8080,0.0684397220611572
50,8181,8112,8167,8154,8150,8174,8112,8150,8094,8145,8161,8173,8165,8089,0.0764470100402832
51,8183,8120,8170,8156,8164,8171,8125,8160,8113,8153,8163,8187,8175,8111,0.0844490528106689
52,8175,8116,8169,8149,8177,8164,8132,8143,8121,8156,8159,8163,8154,8115,0.0922167301177978
53,8193,8114,8169,8150,8182,8171,8135,8183,8108,8144,8178,8192,8181,8123,0.0992085933685302
54,8178,8123,8175,8171,8193,8159,8153,8167,8127,8160,8164,8166,8174,8123,0.1074757575988769
55,8190,8117,8172,8165,8182,8174,8138,8176,8122,8154,8166,8170,8177,8114,0.1152665615081787
56,8190,8115,8171,8159,8177,8169,8122,8172,8115,8141,8159,8166,8167,8095,0.1232814788818359
57,8181,8130,8181,8175,8178,8168,8132,8153,8139,8163,8157,8163,8162,8101,0.1310758590698242
58,8196,8127,8180,8171,8174,8183,8130,8180,8137,8174,8179,8203,8186,8116,0.1390411853790283
59,8178,8119,8188,8180,8204,8164,8145,8140,8147,8187,8164,8165,8151,8117,0.1474635601043701
60,8197,8123,8199,8194,8220,8181,8160,8165,8162,8196,8178,8192,8173,8146,0.1544950008392334
61,8201,8122,8186,8190,8207,8177,8147,8195,8150,8184,8180,8205,8190,8148,0.162492036819458
62,8181,8123,8181,8194,8209,8154,8144,8154,8145,8174,8161,8150,8150,8125,0.1704828739166259
63,8204,8123,8191,8191,8203,8177,8143,8180,8150,8171,8182,8188,8177,8128,0.1784789562225341
64,8180,8114,8180,8181,8196,8161,8142,8148,8168,8184,8157,8153,8151,8106,0.1864871978759765
65,8174,8113,8163,8177,8192,8163,8137,8141,8160,8171,8148,8134,8135,8100,0.1940116882324218
66,8188,8123,8162,8179,8191,8174,8137,8184,8137,8149,8173,8179,8180,8112,0.2020189762115478
67,8167,8128,8166,8185,8216,8158,8152,8157,8153,8166,8156,8143,8160,8099,0.2104833126068115
68,8193,8130,8178,8188,8214,8182,8149,8177,8167,8173,8168,8167,8166,8106,0.2178823947906494
68,8193,8130,8178,8188,8214,8182,8149,8177,8167,8173,8168,8167,8166,8106,0.2188825607299804
69,8199,8135,8186,8199,8203,8174,8167,8162,8163,8189,8176,8175,8167,8122,0.2248828411102295
69,8199,8135,8186,8199,8203,8174,8167,8162,8163,8189,8176,8175,8167,8122,0.2258827686309814
70,8205,8136,8190,8210,8221,8167,8187,8158,8157,8210,8184,8178,8174,8153,0.2333998680114746
71,8224,8137,8205,8210,8214,8175,8164,8186,8157,8202,8191,8210,8195,8163,0.2414000034332275
72,8200,8140,8208,8211,8207,8157,8174,8146,8186,8219,8172,8167,8154,8142,0.2493979930877685
73,8217,8132,8191,8198,8222,8184,8194,8181,8186,8220,8197,8195,8179,8160,0.2573983669281006
74,8204,8118,8179,8190,8227,8174,8183,8185,8162,8192,8176,8190,8179,8153,0.2653977870941162
75,8171,8101,8172,8188,8201,8155,8168,8145,8156,8182,8137,8135,8131,8114,0.27339768409729
76,8202,8091,8175,8179,8177,8187,8166,8180,8151,8184,8178,8181,8168,8116,0.2815608978271484
77,8205,8108,8179,8194,8210,8176,8193,8178,8165,8209,8195,8186,8182,8145,0.2885608673095703
78,8199,8115,8176,8196,8235,8170,8197,8188,8169,8211,8186,8180,8187,8155,0.2965610027313232
79,8184,8098,8169,8175,8214,8175,8182,8183,8156,8193,8172,8159,8175,8121,0.3045599460601806
80,8169,8101,8157,8167,8190,8172,8180,8167,8156,8197,8166,8140,8153,8105,0.3126249313354492
81,8183,8109,8149,8162,8185,8179,8179,8189,8145,8185,8174,8177,8169,8102,0.3198413848876953
81,8183,8109,8149,8162,8185,8179,8179,8189,8145,8185,8174,8177,8169,8102,0.3208475112915039
82,8166,8097,8150,8158,8200,8166,8185,8153,8148,8173,8152,8151,8146,8083,0.3278474807739258
83,8182,8093,8155,8149,8184,8183,8169,8164,8144,8179,8172,8175,8173,8103,0.3363754749298095
84,8176,8095,8150,8148,8166,8175,8153,8164,8121,8182,8179,8180,8181,8114,0.3447906970977783
85,8153,8094,8138,8151,8183,8163,8157,8148,8113,8164,8163,8141,8151,8107,0.3527908325195312
86,8189,8112,8153,8163,8192,8184,8165,8196,8119,8157,8188,8187,8193,8127,0.3596687316894531
86,8189,8112,8153,8163,8192,8184,8165,8196,8119,8157,8188,8187,8193,8127,0.3598799705505371
87,8188,8139,8177,8198,8217,8156,8189,8170,8151,8202,8180,8161,8177,8134,0.3668932914733886
87,8188,8139,8177,8198,8217,8156,8189,8170,8151,8202,8180,8161,8177,8134,0.3678858280181885
88,8202,8137,8188,8203,8234,8165,8191,8186,8170,8227,8189,8174,8179,8149,0.3748881816864013
88,8202,8137,8188,8203,8234,8165,8191,8186,8170,8227,8189,8174,8179,8149,0.3758859634399414
89,8199,8120,8179,8178,8218,8175,8188,8186,8175,8222,8184,8182,8177,8146,0.383059024810791
90,8178,8115,8166,8173,8203,8167,8193,8141,8178,8222,8161,8138,8148,8128,0.3913381099700928
91,8196,8112,8160,8177,8195,8181,8171,8183,8150,8187,8187,8182,8187,8124,0.3993382453918457
92,8166,8113,8157,8165,8218,8161,8161,8158,8145,8178,8169,8144,8158,8096,0.4074852466583252
