COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp
127,8164,8086,8104,8088,8081,8162,8034,8161,8038,8039,8131,8129,8152,7993,0.0039973258972167
127,8164,8086,8104,8088,8081,8162,8034,8161,8038,8039,8131,8129,8152,7993,0.0049972534179687
241,8160,8086,8105,8084,8067,8165,8043,8143,8039,8053,8133,8123,8145,7999,0.0125911235809326
0,8187,8098,8115,8084,8068,8177,8043,8177,8042,8058,8161,8179,8183,8035,0.0205898284912109
1,8168,8114,8127,8103,8108,8152,8072,8156,8069,8075,8146,8145,8155,8046,0.0285887718200683
2,8188,8134,8146,8119,8108,8175,8079,8186,8080,8091,8164,8179,8175,8061,0.0365903377532959
3,8184,8137,8142,8122,8096,8164,8065,8168,8083,8095,8149,8165,8165,8046,0.0442314147949218
4,8172,8123,8126,8111,8100,8159,8054,8145,8077,8077,8139,8142,8147,8031,0.0522317886352539
4,8172,8123,8126,8111,8100,8159,8054,8145,8077,8077,8139,8142,8147,8031,0.0532302856445312
5,8184,8111,8121,8091,8083,8177,8046,8178,8050,8057,8157,8183,8174,8033,0.0592296123504638
6,8159,8115,8120,8100,8083,8155,8059,8139,8055,8071,8136,8138,8140,8016,0.0675055980682373
7,8172,8118,8118,8102,8099,8175,8054,8162,8061,8059,8155,8170,8157,8018,0.0755047798156738
8,8171,8131,8129,8102,8120,8169,8063,8166,8073,8060,8149,8178,8155,8026,0.0835041999816894
9,8166,8147,8142,8111,8120,8161,8084,8135,8088,8080,8139,8157,8135,8034,0.0915038585662841
10,8183,8137,8136,8102,8095,8180,8075,8164,8072,8062,8162,8201,8176,8037,0.0995063781738281
11,8161,8141,8133,8109,8111,8157,8085,8142,8089,8069,8137,8161,8155,8033,0.1075067520141601
12,8183,8150,8134,8112,8126,8176,8092,8168,8108,8082,8151,8187,8171,8056,0.1150143146514892
12,8183,8150,8134,8112,8126,8176,8092,8168,8108,8082,8151,8187,8171,8056,0.1160171031951904
13,8173,8137,8118,8092,8118,8172,8086,8172,8095,8082,8155,8186,8176,8048,0.1230170726776123
14,8158,8135,8123,8093,8127,8159,8092,8146,8102,8106,8150,8147,8162,8046,0.1300199031829834
15,8202,8153,8148,8110,8129,8179,8099,8191,8127,8127,8179,8194,8198,8080,0.1380150318145752
16,8176,8153,8141,8115,8122,8154,8107,8153,8142,8134,8149,8145,8151,8058,0.1460151672363281
17,8170,8127,8114,8096,8100,8171,8079,8149,8110,8113,8151,8147,8154,8036,0.1540143489837646
18,8179,8120,8110,8089,8104,8171,8064,8163,8095,8106,8157,8173,8172,8043,0.1620147228240966
19,8167,8141,8127,8105,8130,8153,8093,8133,8123,8117,8140,8144,8141,8048,0.1704518795013427
