COUNTER,F3, FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,goodbye_event
101,8160,8132,8140,8160,8132,8157,8160,8147,8127,8159,7802,8162,8184,8285,0.0044646263122558,False
102,8139,8140,8169,8156,8168,8164,8165,8174,8143,8154,7798,8163,8172,8266,0.011470079421997,False
103,8145,8145,8181,8165,8170,8175,8188,8200,8169,8172,7816,8169,8184,8267,0.0195841789245605,False
104,8144,8124,8140,8152,8150,8188,8210,8194,8190,8185,7816,8154,8197,8267,0.0272595882415771,False
105,8134,8098,8139,8131,8145,8187,8198,8184,8182,8167,7786,8145,8169,8250,0.0353865623474121,False
106,8122,8087,8115,8140,8131,8177,8190,8171,8186,8158,7786,8144,8165,8256,0.0435366630554199,False
107,8153,8130,8171,8165,8169,8182,8188,8189,8196,8172,7806,8169,8195,8282,0.0515799522399902,False
108,8169,8132,8169,8160,8132,8191,8181,8178,8203,8183,7817,8169,8197,8282,0.0594334602355957,False
109,8152,8109,8149,8149,8137,8196,8175,8157,8201,8178,7806,8155,8179,8265,0.0675957202911377,False
110,8165,8120,8201,8168,8177,8192,8167,8172,8197,8171,7797,8175,8182,8270,0.0756058692932128,False
111,8185,8129,8172,8182,8134,8177,8168,8159,8200,8173,7821,8184,8203,8285,0.0826218128204345,False
112,8193,8145,8188,8175,8176,8177,8166,8146,8185,8171,7831,8190,8196,8283,0.0903441905975341,False
113,8180,8140,8200,8168,8200,8184,8163,8135,8159,8166,7809,8179,8175,8276,0.0984773635864257,False
114,8158,8131,8168,8156,8171,8184,8163,8130,8140,8157,7792,8160,8160,8264,0.1065306663513183,False
115,8149,8125,8160,8144,8167,8186,8175,8142,8147,8160,7802,8165,8172,8262,0.1145477294921875,False
116,8140,8110,8124,8151,8158,8185,8195,8145,8176,8181,7817,8159,8202,8272,0.1222853660583496,False
117,8158,8139,8182,8161,8207,8172,8184,8178,8178,8181,7809,8168,8185,8262,0.1306114196777343,False
118,8154,8133,8165,8146,8176,8147,8171,8184,8168,8174,7820,8157,8172,8251,0.1384570598602295,False
119,8134,8116,8120,8134,8170,8132,8165,8169,8171,8176,7833,8140,8189,8259,0.1456153392791748,False
120,8155,8141,8218,8135,8237,8138,8149,8198,8169,8174,7818,8170,8183,8271,0.1533746719360351,False
121,8140,8108,8156,8126,8151,8138,8155,8184,8179,8177,7823,8156,8184,8273,0.1613454818725586,False
122,8136,8106,8128,8127,8152,8138,8161,8172,8186,8179,7834,8148,8188,8261,0.1694765090942382,False
123,8170,8136,8197,8149,8202,8141,8163,8179,8176,8171,7843,8173,8175,8258,0.1776220798492431,False
124,8174,8131,8168,8161,8171,8134,8162,8152,8156,8153,7847,8163,8168,8261,0.1856026649475097,False
125,8178,8150,8175,8175,8183,8127,8146,8141,8125,8133,7835,8167,8171,8266,0.1936156749725341,False
126,8189,8163,8169,8186,8168,8116,8131,8128,8104,8124,7836,8166,8168,8272,0.2014966011047363,False
127,8198,8164,8187,8178,8184,8116,8117,8134,8093,8123,7839,8166,8158,8263,0.2096180915832519,False
237,8196,8164,8192,8194,8174,8133,8123,8144,8106,8138,7848,8174,8172,8261,0.2163839340209961,False
0,8204,8170,8208,8210,8181,8144,8142,8138,8127,8150,7845,8177,8179,8271,0.2246358394622802,False
1,8195,8156,8211,8169,8200,8152,8161,8159,8122,8149,7817,8178,8159,8266,0.2324910163879394,False
2,8144,8108,8086,8133,8121,8167,8192,8156,8135,8164,7820,8148,8173,8253,0.2405672073364257,False
3,8148,8128,8157,8159,8182,8178,8195,8169,8150,8171,7823,8156,8181,8236,0.2485816478729248,False
4,8160,8140,8216,8169,8199,8175,8187,8182,8147,8165,7811,8166,8169,8233,0.2566297054290771,False
5,8124,8112,8105,8144,8122,8178,8201,8156,8149,8167,7810,8133,8176,8247,0.2643985748291015,False
6,8129,8129,8171,8147,8191,8192,8201,8189,8162,8174,7811,8159,8184,8256,0.2724289894104004,False
7,8136,8118,8186,8154,8179,8183,8192,8206,8181,8176,7813,8169,8177,8238,0.2795014381408691,False
8,8132,8111,8125,8150,8138,8175,8190,8173,8177,8166,7805,8133,8153,8208,0.2873950004577636,False
9,8146,8146,8156,8163,8180,8175,8183,8175,8165,8162,7801,8137,8143,8216,0.2955660820007324,False
10,8158,8162,8180,8186,8183,8162,8167,8184,8176,8172,7824,8163,8165,8248,0.3036363124847412,False
11,8182,8166,8204,8206,8172,8153,8155,8186,8187,8177,7861,8187,8188,8271,0.311596155166626,False
12,8198,8160,8176,8220,8151,8153,8161,8160,8190,8179,7884,8185,8209,8293,0.3196327686309814,False
13,8205,8185,8196,8232,8205,8152,8163,8163,8184,8180,7877,8193,8218,8307,0.3275692462921142,False
14,8197,8196,8210,8229,8200,8149,8165,8185,8184,8181,7876,8194,8213,8298,0.3356325626373291,False
15,8164,8179,8141,8224,8147,8150,8181,8172,8200,8189,7878,8157,8204,8272,0.3433737754821777,False
16,8176,8212,8238,8226,8261,8163,8178,8216,8194,8179,7837,8181,8180,8258,0.3504621982574463,False
17,8179,8176,8228,8210,8228,8176,8192,8216,8188,8168,7817,8188,8177,8266,0.3584413528442383,False
18,8141,8114,8077,8183,8110,8176,8224,8146,8200,8180,7835,8139,8184,8270,0.3665425777435303,False
19,8139,8138,8116,8170,8169,8172,8216,8156,8192,8176,7823,8139,8164,8259,0.3744087219238281,False
20,8146,8141,8157,8163,8196,8155,8189,8180,8177,8157,7802,8143,8142,8254,0.3826222419738769,False
21,8146,8136,8155,8160,8180,8135,8174,8174,8169,8148,7799,8142,8126,8245,0.3903882503509521,False
22,8139,8133,8144,8167,8154,8131,8178,8163,8165,8148,7812,8143,8125,8231,0.398627758026123,False
23,8138,8129,8162,8175,8183,8134,8178,8174,8166,8157,7827,8153,8152,8245,0.4064316749572754,False
