COUNTER,F3, FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp
65, 8184, 8212, 8161, 8153, 8210, 8164, 8179, 8157, 8163, 8176, 8183, 8200, 8220, 8288,0.006218671798706055
66, 8179, 8198, 8158, 8134, 8202, 8174, 8172, 8164, 8167, 8177, 8165, 8191, 8213, 8280,0.014185667037963867
67, 8150, 8183, 8130, 8111, 8169, 8157, 8127, 8155, 8149, 8167, 8148, 8175, 8201, 8270,0.02538442611694336
68, 8149, 8188, 8150, 8115, 8199, 8151, 8171, 8167, 8149, 8158, 8164, 8171, 8197, 8261,0.030193567276000977
69, 8144, 8179, 8155, 8129, 8209, 8157, 8165, 8167, 8180, 8165, 8172, 8164, 8202, 8245,0.038196563720703125
70, 8137, 8174, 8142, 8128, 8214, 8155, 8158, 8171, 8190, 8183, 8167, 8160, 8206, 8244,0.046350955963134766
71, 8152, 8173, 8159, 8121, 8207, 8155, 8165, 8184, 8181, 8196, 8169, 8170, 8205, 8264,0.05327630043029785
72, 8136, 8157, 8151, 8109, 8188, 8164, 8138, 8173, 8187, 8195, 8161, 8159, 8200, 8257,0.062241315841674805
73, 8140, 8159, 8179, 8097, 8253, 8180, 8238, 8186, 8176, 8172, 8156, 8141, 8183, 8226,0.0693364143371582
74, 8139, 8166, 8176, 8104, 8206, 8173, 8193, 8168, 8155, 8161, 8165, 8140, 8172, 8226,0.07719826698303223
75, 8108, 8159, 8117, 8106, 8130, 8152, 8079, 8129, 8143, 8146, 8157, 8136, 8161, 8231,0.0852503776550293
76, 8127, 8155, 8133, 8100, 8178, 8156, 8148, 8139, 8124, 8110, 8143, 8141, 8153, 8231,0.09336543083190918
77, 8150, 8163, 8155, 8109, 8205, 8164, 8180, 8144, 8108, 8099, 8151, 8160, 8162, 8257,0.10146188735961914
78, 8178, 8188, 8198, 8125, 8252, 8166, 8236, 8160, 8109, 8117, 8160, 8174, 8158, 8272,0.10940408706665039
79, 8185, 8193, 8200, 8130, 8213, 8163, 8183, 8159, 8136, 8148, 8169, 8178, 8171, 8270,0.11735272407531738
80, 8174, 8186, 8159, 8145, 8180, 8158, 8121, 8157, 8166, 8165, 8177, 8184, 8198, 8283,0.12424039840698242
81, 8204, 8199, 8195, 8158, 8239, 8158, 8195, 8176, 8169, 8164, 8172, 8189, 8193, 8297,0.1325080394744873
82, 8199, 8201, 8186, 8156, 8209, 8153, 8144, 8155, 8172, 8185, 8174, 8186, 8196, 8302,0.14341521263122559
83, 8192, 8196, 8169, 8150, 8219, 8157, 8158, 8164, 8177, 8192, 8185, 8194, 8219, 8309,0.14843130111694336
84, 8193, 8186, 8169, 8142, 8223, 8164, 8178, 8180, 8182, 8186, 8179, 8195, 8221, 8310,0.1562798023223877
85, 8171, 8175, 8145, 8150, 8192, 8168, 8135, 8167, 8190, 8198, 8165, 8179, 8202, 8291,0.16420817375183105
86, 8172, 8173, 8171, 8167, 8209, 8171, 8178, 8174, 8190, 8197, 8164, 8174, 8179, 8263,0.17125678062438965
87, 8144, 8156, 8146, 8152, 8171, 8157, 8143, 8157, 8184, 8180, 8159, 8164, 8160, 8241,0.17942285537719727
88, 8124, 8151, 8125, 8131, 8183, 8156, 8160, 8155, 8165, 8158, 8152, 8139, 8141, 8216,0.18739700317382812
89, 8147, 8167, 8160, 8158, 8201, 8164, 8179, 8167, 8156, 8159, 8166, 8144, 8143, 8218,0.19551563262939453
90, 8152, 8171, 8164, 8188, 8191, 8161, 8134, 8164, 8161, 8169, 8174, 8166, 8160, 8249,0.20434117317199707
91, 8166, 8173, 8183, 8183, 8227, 8155, 8174, 8170, 8145, 8142, 8165, 8178, 8160, 8263,0.2114551067352295
92, 8184, 8194, 8181, 8199, 8203, 8139, 8142, 8157, 8130, 8126, 8173, 8189, 8178, 8269,0.219252347946167
93, 8204, 8222, 8180, 8227, 8200, 8137, 8147, 8161, 8137, 8157, 8183, 8200, 8196, 8289,0.22741222381591797
94, 8210, 8215, 8190, 8217, 8200, 8141, 8173, 8169, 8151, 8183, 8176, 8199, 8190, 8293,0.23529267311096191
95, 8184, 8192, 8167, 8194, 8181, 8131, 8133, 8157, 8162, 8178, 8170, 8188, 8193, 8274,0.24239444732666016
96, 8202, 8193, 8190, 8196, 8216, 8140, 8177, 8172, 8169, 8171, 8171, 8185, 8191, 8269,0.25020933151245117
