COUNTER,F3, FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,hello_event
33,8195,8181,8172,8187,8212,8171,8199,8194,8139,8175,8171,8180,8193,8310,0.0304772853851318,False
34,8165,8160,8143,8166,8189,8162,8164,8189,8127,8159,8156,8166,8176,8280,0.0312483310699462,False
35,8134,8148,8130,8153,8193,8180,8173,8189,8121,8136,8155,8157,8162,8249,0.0453293323516845,False
36,8149,8148,8147,8150,8198,8194,8194,8198,8130,8149,8159,8170,8159,8258,0.0461714267730712,False
37,8160,8144,8147,8145,8193,8176,8180,8198,8142,8182,8158,8175,8171,8277,0.0533270835876464,False
38,8169,8156,8174,8146,8207,8170,8197,8207,8144,8174,8165,8174,8173,8278,0.0613014698028564,False
39,8165,8162,8167,8161,8186,8177,8165,8196,8155,8169,8161,8170,8168,8276,0.0722706317901611,False
40,8186,8168,8189,8168,8230,8182,8225,8192,8154,8180,8151,8166,8156,8263,0.0804316997528076,False
41,8215,8188,8222,8184,8215,8173,8197,8162,8138,8180,8186,8196,8180,8277,0.0884027481079101,False
42,8218,8210,8198,8219,8178,8167,8112,8136,8132,8187,8220,8233,8234,8321,0.0934417247772216,False
43,8238,8209,8220,8219,8225,8169,8184,8160,8128,8198,8209,8248,8250,8338,0.1003460884094238,False
44,8236,8190,8215,8199,8189,8155,8144,8142,8132,8216,8206,8256,8261,8347,0.1083500385284423,False
45,8247,8205,8205,8213,8200,8152,8136,8134,8132,8218,8208,8265,8275,8361,0.1164250373840332,False
46,8263,8214,8211,8229,8216,8167,8172,8150,8130,8209,8191,8255,8266,8357,0.1304597854614257,False
47,8223,8177,8171,8195,8171,8158,8135,8147,8126,8200,8175,8218,8240,8330,0.1321685314178466,False
48,8200,8153,8164,8145,8186,8147,8174,8157,8104,8181,8170,8193,8211,8299,0.1632931232452392,False
49,8170,8147,8134,8140,8169,8159,8159,8158,8106,8185,8163,8181,8202,8279,0.1641702651977539,False
50,8129,8129,8105,8130,8175,8177,8170,8177,8127,8181,8150,8152,8178,8241,0.1713423728942871,False
51,8123,8109,8118,8104,8184,8175,8191,8195,8136,8160,8150,8139,8149,8215,0.1793513298034668,False
52,8123,8111,8119,8106,8164,8167,8163,8190,8136,8162,8165,8157,8157,8235,0.2074232101440429,False
53,8137,8117,8140,8119,8185,8175,8198,8214,8141,8174,8166,8167,8170,8253,0.2134671211242675,False
54,8141,8107,8142,8127,8161,8173,8163,8215,8151,8177,8162,8157,8166,8255,0.2204349040985107,False
55,8152,8118,8147,8141,8174,8169,8159,8192,8147,8174,8176,8170,8173,8267,0.228421926498413,False
56,8174,8137,8178,8155,8195,8173,8185,8168,8125,8182,8185,8190,8194,8272,0.2344722747802734,False
57,8165,8135,8161,8151,8163,8154,8126,8130,8096,8176,8180,8181,8199,8269,0.2424883842468261,False
58,8182,8138,8169,8153,8182,8132,8145,8122,8070,8147,8178,8180,8191,8283,0.2543790340423584,False
59,8198,8146,8183,8183,8171,8130,8132,8116,8073,8158,8186,8196,8208,8305,0.2654263973236084,False
60,8188,8155,8175,8198,8170,8135,8127,8119,8083,8185,8181,8196,8214,8309,0.2661507129669189,False
61,8204,8164,8189,8191,8189,8132,8169,8136,8083,8180,8177,8192,8200,8302,0.2742445468902588,False
62,8200,8160,8172,8188,8162,8124,8140,8135,8100,8183,8185,8195,8209,8300,0.2824723720550537,False
63,8190,8156,8172,8184,8180,8133,8174,8161,8112,8189,8186,8189,8212,8290,0.2904326915740967,False
64,8181,8144,8167,8165,8171,8147,8171,8177,8113,8180,8170,8176,8193,8283,0.3124639987945556,False
64,8181,8144,8167,8165,8171,8147,8171,8177,8113,8180,8170,8176,8193,8283,0.3214178085327148,False
73,8151,8127,8161,8153,8167,8144,8165,8168,8097,8131,8156,8175,8165,8275,0.3414545059204101,False
74,8167,8133,8180,8157,8177,8145,8177,8175,8100,8149,8171,8188,8197,8297,0.3454282283782959,False
75,8159,8139,8157,8157,8152,8134,8145,8165,8104,8171,8173,8188,8199,8296,0.3564257621765136,False
76,8164,8142,8170,8160,8177,8145,8187,8175,8105,8160,8167,8185,8188,8277,0.3684008121490478,False
77,8160,8145,8169,8167,8162,8151,8157,8164,8107,8164,8171,8188,8205,8278,0.3691451549530029,False
78,8153,8145,8158,8165,8169,8143,8153,8164,8101,8172,8178,8182,8204,8289,0.3762266635894775,False
79,8165,8134,8170,8160,8182,8141,8177,8168,8099,8163,8173,8172,8191,8287,0.3844072818756103,False
80,8156,8130,8158,8160,8168,8142,8147,8149,8113,8167,8158,8167,8191,8277,0.3924605846405029,False
81,8136,8122,8141,8138,8166,8139,8149,8152,8107,8161,8159,8156,8170,8257,0.4164190292358398,False
81,8136,8122,8141,8138,8166,8139,8149,8152,8107,8161,8159,8156,8170,8257,0.4284136295318603,False
82,8114,8091,8113,8106,8127,8138,8119,8152,8099,8145,8166,8144,8151,8246,0.4291536808013916,False
83,8113,8085,8104,8110,8140,8140,8131,8157,8107,8149,8160,8144,8160,8253,0.4373230934143066,False
84,8135,8096,8147,8123,8201,8144,8203,8179,8105,8156,8162,8150,8166,8258,0.4393947124481201,False
85,8147,8096,8164,8119,8193,8151,8190,8181,8102,8158,8174,8163,8173,8274,0.4604349136352539,False
86,8161,8111,8147,8126,8156,8152,8148,8171,8103,8161,8173,8176,8188,8300,0.4654936790466308,False
87,8162,8121,8134,8132,8147,8145,8139,8159,8091,8155,8168,8173,8197,8307,0.4714944362640381,False
88,8165,8121,8170,8125,8185,8144,8202,8160,8078,8143,8175,8168,8192,8296,0.4854252338409424,False
89,8185,8128,8194,8143,8153,8144,8178,8156,8089,8164,8186,8196,8208,8310,0.4873852729797363,False
90,8185,8126,8153,8172,8113,8143,8103,8161,8116,8189,8190,8213,8239,8335,0.4953992366790771,False
91,8199,8129,8170,8166,8180,8150,8179,8191,8116,8163,8182,8200,8217,8321,0.5043995380401611,False
92,8199,8141,8175,8158,8155,8145,8145,8167,8105,8146,8166,8189,8188,8312,0.5124015808105469,False
93,8204,8144,8164,8166,8163,8139,8152,8161,8093,8147,8157,8182,8185,8311,0.54030442237854,False
94,8233,8134,8211,8154,8226,8146,8258,8186,8071,8125,8161,8172,8164,8292,0.5444269180297852,False
95,8190,8112,8179,8136,8153,8137,8158,8151,8065,8122,8158,8158,8150,8281,0.5584595203399658,False
96,8160,8108,8152,8130,8154,8141,8148,8150,8064,8134,8151,8149,8148,8278,0.5644207000732422,False
97,8183,8114,8169,8126,8187,8161,8202,8176,8074,8128,8163,8147,8147,8268,0.566403865814209,False
98,8168,8110,8134,8127,8134,8160,8133,8167,8099,8132,8176,8147,8155,8263,0.5745174884796143,False
107,8190,8133,8185,8142,8193,8150,8211,8157,8065,8126,8166,8157,8158,8259,0.6182594299316406,False
107,8190,8133,8185,8142,8193,8150,8211,8157,8065,8126,8166,8157,8158,8259,0.629387617111206,False
108,8169,8123,8158,8146,8126,8131,8118,8145,8079,8146,8167,8167,8167,8271,0.6301031112670898,False
109,8171,8121,8148,8155,8148,8143,8148,8164,8084,8155,8168,8174,8187,8284,0.6445496082305908,False
110,8200,8131,8181,8159,8187,8163,8208,8189,8097,8155,8173,8181,8195,8292,0.6452367305755615,False
111,8194,8131,8179,8147,8164,8150,8177,8175,8098,8153,8170,8182,8190,8290,0.6635379791259766,False
112,8169,8122,8150,8140,8140,8134,8133,8153,8084,8157,8166,8175,8183,8280,0.70123291015625,False
113,8159,8123,8148,8143,8167,8150,8158,8166,8092,8156,8161,8171,8179,8280,0.7021129131317139,False
114,8169,8129,8172,8154,8181,8171,8181,8180,8107,8147,8161,8175,8182,8284,0.7112905979156494,False
115,8160,8131,8142,8173,8132,8164,8099,8141,8107,8158,8175,8176,8199,8287,0.71728515625,False
116,8197,8158,8178,8191,8204,8159,8188,8155,8099,8167,8180,8186,8196,8286,0.7255620956420898,False
117,8242,8181,8239,8210,8227,8170,8240,8184,8099,8165,8183,8205,8195,8301,0.736396312713623,False
118,8201,8158,8155,8205,8130,8159,8095,8128,8077,8163,8180,8183,8211,8302,0.7412545680999756,False
119,8181,8132,8126,8175,8179,8141,8164,8120,8036,8136,8164,8143,8186,8268,0.7474186420440674,False
120,8184,8127,8168,8161,8201,8136,8223,8152,8045,8120,8156,8141,8163,8254,0.758408784866333,False
121,8150,8133,8133,8165,8134,8137,8107,8144,8077,8144,8157,8144,8174,8261,0.7644236087799072,False
122,8155,8137,8127,8168,8146,8146,8114,8146,8080,8161,8164,8143,8179,8265,0.7703266143798828,False
123,8180,8133,8159,8176,8160,8147,8166,8164,8091,8164,8173,8154,8184,8273,0.7782526016235352,False
124,8171,8134,8156,8180,8151,8133,8159,8176,8107,8165,8168,8154,8183,8273,0.7864210605621338,False
125,8156,8129,8138,8163,8154,8126,8140,8169,8098,8155,8148,8136,8158,8257,0.7942647933959961,False
126,8172,8126,8159,8152,8184,8142,8179,8181,8098,8154,8150,8142,8155,8257,0.802222728729248,False
6,8252,8175,8212,8243,8192,8148,8165,8155,8077,8185,8197,8223,8246,8351,0.830359935760498,False
7,8205,8150,8174,8215,8168,8149,8134,8150,8072,8175,8187,8211,8232,8330,0.8352649211883545,False
8,8204,8141,8176,8194,8180,8142,8178,8174,8057,8159,8167,8200,8223,8323,0.8492746353149414,False
9,8206,8141,8161,8190,8151,8133,8145,8170,8069,8165,8172,8200,8226,8337,0.8502216339111328,False
10,8207,8157,8164,8199,8166,8140,8157,8174,8090,8165,8179,8203,8225,8333,0.8573787212371826,False
11,8225,8158,8195,8206,8167,8142,8177,8182,8094,8168,8176,8216,8222,8323,0.8914062976837158,False
12,8232,8149,8196,8210,8142,8135,8148,8180,8102,8190,8197,8239,8245,8346,0.8921277523040771,False
13,8264,8175,8235,8243,8176,8146,8193,8200,8118,8195,8221,8273,8276,8377,0.8971350193023682,False
14,8281,8200,8255,8292,8159,8153,8169,8195,8124,8191,8221,8301,8289,8374,0.9042117595672609,False
15,8275,8188,8244,8299,8157,8151,8174,8191,8112,8183,8209,8304,8275,8352,0.9123563766479492,False
16,8280,8179,8251,8280,8166,8148,8186,8194,8108,8179,8207,8306,8263,8364,0.9262981414794922,False
17,8283,8196,8237,8289,8156,8133,8130,8167,8109,8190,8200,8303,8278,8391,0.9281628131866456,False
18,8286,8194,8221,8289,8179,8109,8154,8141,8073,8166,8172,8269,8261,8377,0.9361569881439208,False
