COUNTER,F3, FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,hello_event
104,8131,8173,8177,8165,8178,8166,8173,8158,8190,8185,8166,8163,8164,8257,0.0081751346588134,False
105,8142,8176,8159,8166,8128,8179,8143,8141,8196,8199,8181,8169,8185,8272,0.0164046287536621,False
106,8167,8182,8177,8164,8183,8181,8205,8151,8193,8176,8174,8182,8186,8273,0.024332046508789,False
107,8168,8175,8187,8162,8167,8162,8152,8135,8181,8166,8169,8194,8188,8282,0.0321836471557617,False
108,8154,8174,8182,8164,8132,8155,8161,8127,8175,8178,8173,8189,8196,8288,0.0401887893676757,False
109,8185,8191,8229,8178,8253,8172,8259,8157,8184,8184,8172,8193,8195,8285,0.0492897033691406,False
110,8171,8181,8186,8179,8398,8176,8146,8155,8204,8193,8161,8198,8207,8294,0.05535888671875,False
111,8160,8180,8176,8167,8521,8184,8175,8173,8204,8200,8160,8198,8209,8307,0.0644402503967285,False
112,8167,8183,8191,8162,8468,8185,8186,8170,8195,8198,8165,8188,8196,8308,0.071268081665039,False
113,8152,8169,8154,8161,8432,8179,8138,8157,8198,8178,8148,8170,8183,8292,0.0792179107666015,False
114,8167,8176,8176,8158,8502,8186,8208,8184,8201,8162,8133,8171,8167,8273,0.0874440670013427,False
115,8160,8181,8160,8161,8443,8186,8150,8172,8204,8181,8144,8171,8172,8280,0.0952637195587158,False
116,8163,8179,8156,8165,8437,8181,8158,8165,8196,8185,8157,8169,8174,8286,0.1033661365509033,False
117,8172,8179,8170,8162,8440,8176,8169,8169,8201,8174,8150,8171,8165,8277,0.1113550662994384,False
118,8159,8184,8146,8158,8418,8182,8145,8170,8224,8193,8149,8167,8168,8276,0.1192567348480224,False
119,8188,8198,8172,8169,8439,8196,8193,8184,8219,8201,8170,8178,8178,8289,0.1262996196746826,False
120,8188,8198,8170,8189,8398,8187,8140,8169,8208,8187,8174,8190,8189,8294,0.1343052387237548,False
121,8173,8197,8170,8190,8414,8180,8163,8165,8201,8178,8160,8193,8189,8285,0.1423027515411377,False
122,8178,8201,8180,8188,8425,8186,8176,8163,8199,8185,8173,8199,8200,8292,0.1515283584594726,False
123,8178,8211,8164,8201,8400,8178,8135,8156,8207,8195,8188,8201,8221,8302,0.1582999229431152,False
124,8195,8215,8190,8205,8426,8167,8188,8162,8202,8183,8177,8204,8215,8290,0.1662609577178955,False
125,8184,8198,8171,8190,8389,8149,8144,8130,8181,8165,8164,8197,8206,8276,0.173426866531372,False
126,8175,8187,8155,8170,8382,8142,8147,8117,8159,8144,8154,8186,8195,8267,0.1815273761749267,False
127,8179,8178,8172,8157,8380,8149,8174,8128,8156,8133,8150,8182,8182,8267,0.1893312931060791,False
238,8157,8165,8147,8157,8361,8162,8141,8130,8172,8150,8155,8174,8180,8275,0.1974263191223144,False
0,8157,8165,8155,8155,8420,8180,8202,8169,8191,8166,8159,8168,8173,8267,0.2051320075988769,False
1,8138,8158,8140,8136,8410,8185,8172,8182,8210,8169,8153,8156,8166,8237,0.2136168479919433,False
2,8125,8146,8140,8121,8394,8181,8173,8182,8220,8157,8140,8152,8151,8219,0.2212977409362793,False
3,8167,8155,8187,8135,8395,8183,8198,8192,8226,8159,8144,8176,8161,8255,0.2295091152191162,False
4,8181,8176,8172,8163,8374,8186,8141,8177,8234,8176,8167,8194,8199,8301,0.2372817993164062,False
5,8178,8178,8173,8165,8405,8179,8184,8159,8223,8167,8170,8187,8196,8284,0.24530029296875,False
6,8175,8169,8174,8156,8370,8159,8148,8122,8202,8157,8161,8183,8184,8261,0.2523491382598877,False
7,8197,8189,8178,8175,8367,8153,8127,8103,8179,8168,8172,8201,8203,8283,0.2604808807373047,False
8,8224,8211,8204,8196,8390,8152,8167,8104,8156,8177,8177,8220,8217,8302,0.2684192657470703,False
9,8200,8205,8180,8198,8355,8144,8123,8091,8158,8169,8164,8219,8220,8301,0.2764389514923095,False
10,8206,8193,8197,8186,8388,8152,8175,8111,8153,8160,8168,8219,8215,8299,0.2842490673065185,False
11,8204,8177,8192,8169,8370,8164,8161,8130,8148,8168,8170,8210,8201,8297,0.292337417602539,False
12,8175,8175,8155,8170,8355,8166,8141,8149,8165,8166,8160,8192,8192,8293,0.3004052639007568,False
13,8192,8187,8188,8185,8387,8171,8197,8170,8184,8159,8162,8192,8197,8296,0.3075680732727051,False
14,8193,8183,8177,8181,8342,8168,8146,8162,8195,8171,8160,8189,8202,8298,0.3155558109283447,False
15,8190,8180,8168,8159,8350,8163,8175,8167,8185,8162,8158,8180,8186,8290,0.3234577178955078,False
16,8190,8176,8177,8158,8348,8167,8167,8160,8177,8144,8167,8186,8183,8290,0.3314673900604248,False
17,8183,8178,8170,8176,8337,8172,8133,8157,8188,8150,8163,8193,8196,8299,0.3393788337707519,False
18,8215,8198,8201,8190,8373,8171,8189,8175,8194,8159,8153,8196,8190,8300,0.3472645282745361,False
19,8219,8209,8193,8208,8329,8167,8144,8161,8201,8162,8166,8206,8190,8301,0.3553028106689453,False
20,8215,8208,8206,8230,8333,8172,8167,8163,8206,8163,8188,8232,8212,8306,0.3631725311279297,False
21,8245,8217,8242,8253,8401,8172,8171,8161,8207,8175,8202,8258,8240,8328,0.3712921142578125,False
22,8269,8248,8248,8288,8442,8170,8142,8139,8203,8186,8218,8282,8261,8352,0.3792376518249511,False
