COUNTER,F3, FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp
35, 8186, 8228, 8306, 8164, 8226, 8159, 8205, 8253, 8233, 8199, 8189, 8219, 8208, 8309,0.0045986175537109375
36, 8216, 8212, 8220, 8170, 8139, 8139, 8217, 8226, 8242, 8204, 8200, 8202, 8219, 8319,0.012569189071655273
37, 8198, 8195, 8127, 8167, 8114, 8139, 8221, 8188, 8243, 8201, 8182, 8170, 8205, 8305,0.019519567489624023
38, 8201, 8221, 8230, 8174, 8193, 8140, 8195, 8195, 8206, 8181, 8163, 8188, 8188, 8300,0.02761220932006836
39, 8200, 8215, 8174, 8193, 8133, 8128, 8190, 8164, 8188, 8177, 8180, 8172, 8198, 8302,0.03560280799865723
40, 8209, 8231, 8144, 8221, 8133, 8139, 8191, 8150, 8188, 8184, 8189, 8166, 8194, 8289,0.043697357177734375
41, 8221, 8253, 8229, 8220, 8204, 8150, 8183, 8173, 8169, 8173, 8175, 8187, 8178, 8284,0.05157899856567383
42, 8196, 8221, 8180, 8194, 8168, 8148, 8201, 8162, 8150, 8162, 8161, 8168, 8182, 8295,0.05942964553833008
43, 8179, 8199, 8095, 8193, 8116, 8162, 8246, 8152, 8159, 8177, 8163, 8146, 8192, 8304,0.06766843795776367
44, 8182, 8214, 8092, 8205, 8128, 8182, 8272, 8162, 8184, 8194, 8171, 8143, 8195, 8300,0.07560920715332031
45, 8189, 8232, 8227, 8188, 8227, 8197, 8244, 8201, 8181, 8184, 8165, 8184, 8185, 8288,0.08264875411987305
46, 8165, 8195, 8218, 8163, 8191, 8201, 8232, 8207, 8197, 8188, 8174, 8204, 8199, 8313,0.0906827449798584
47, 8130, 8169, 8124, 8161, 8140, 8187, 8240, 8188, 8245, 8212, 8187, 8184, 8224, 8342,0.09863090515136719
48, 8153, 8205, 8236, 8170, 8221, 8181, 8209, 8222, 8247, 8213, 8180, 8197, 8210, 8320,0.1068105697631836
49, 8177, 8192, 8186, 8180, 8150, 8180, 8203, 8219, 8253, 8218, 8199, 8187, 8226, 8321,0.11472487449645996
50, 8194, 8181, 8082, 8189, 8094, 8165, 8232, 8195, 8286, 8233, 8220, 8175, 8261, 8363,0.1227560043334961
51, 8223, 8222, 8170, 8197, 8168, 8149, 8235, 8207, 8270, 8221, 8196, 8193, 8240, 8364,0.1307542324066162
52, 8208, 8213, 8185, 8188, 8174, 8146, 8227, 8204, 8234, 8207, 8164, 8179, 8208, 8320,0.13870668411254883
53, 8179, 8174, 8141, 8162, 8154, 8143, 8214, 8190, 8225, 8204, 8156, 8162, 8195, 8281,0.1454784870147705
54, 8178, 8178, 8145, 8168, 8147, 8122, 8193, 8165, 8205, 8193, 8161, 8164, 8183, 8272,0.1534714698791504
55, 8197, 8213, 8208, 8193, 8179, 8106, 8171, 8156, 8163, 8178, 8156, 8173, 8159, 8272,0.16154813766479492
56, 8178, 8191, 8162, 8182, 8150, 8111, 8159, 8143, 8148, 8171, 8146, 8155, 8143, 8255,0.16971492767333984
57, 8146, 8165, 8098, 8160, 8137, 8109, 8155, 8122, 8149, 8174, 8150, 8130, 8138, 8241,0.17778539657592773
58, 8174, 8201, 8209, 8170, 8205, 8112, 8154, 8157, 8137, 8174, 8159, 8165, 8136, 8256,0.18558168411254883
59, 8169, 8188, 8175, 8180, 8139, 8135, 8173, 8166, 8151, 8172, 8176, 8171, 8159, 8278,0.19372344017028809
60, 8133, 8174, 8139, 8167, 8135, 8149, 8187, 8168, 8174, 8180, 8193, 8169, 8183, 8283,0.20179224014282227
61, 8141, 8192, 8209, 8166, 8199, 8151, 8203, 8223, 8194, 8214, 8230, 8208, 8221, 8322,0.20980453491210938
62, 8137, 8170, 8138, 8175, 8154, 8166, 8242, 8242, 8244, 8252, 8266, 8210, 8275, 8385,0.2177581787109375
63, 8147, 8176, 8178, 8186, 8187, 8192, 8255, 8252, 8273, 8250, 8245, 8217, 8274, 8397,0.224745512008667
64, 8174, 8190, 8188, 8209, 8175, 8195, 8259, 8240, 8280, 8240, 8232, 8205, 8268, 8383,0.23279333114624023
65, 8215, 8212, 8187, 8227, 8192, 8185, 8268, 8238, 8290, 8246, 8236, 8194, 8281, 8373,0.24054336547851562
66, 8269, 8240, 8292, 8240, 8245, 8190, 8261, 8261, 8284, 8245, 8218, 8214, 8264, 8357,0.2487654685974121
67, 8252, 8220, 8177, 8260, 8136, 8185, 8247, 8192, 8266, 8234, 8208, 8177, 8248, 8339,0.25678372383117676
68, 8237, 8233, 8135, 8279, 8145, 8164, 8218, 8153, 8233, 8223, 8194, 8172, 8233, 8327,0.2647101879119873
69, 8247, 8234, 8214, 8257, 8197, 8146, 8187, 8163, 8195, 8211, 8174, 8191, 8207, 8313,0.2726132869720459
70, 8229, 8203, 8171, 8230, 8151, 8133, 8168, 8125, 8161, 8194, 8160, 8159, 8180, 8280,0.2808663845062256
71, 8198, 8207, 8142, 8217, 8149, 8119, 8152, 8114, 8130, 8177, 8141, 8145, 8145, 8242,0.2875709533691406
72, 8181, 8208, 8176, 8212, 8187, 8114, 8141, 8132, 8109, 8168, 8130, 8151, 8117, 8222,0.2956669330596924
73, 8192, 8212, 8228, 8224, 8200, 8117, 8129, 8141, 8087, 8166, 8147, 8165, 8113, 8216,0.30381178855895996
74, 8178, 8200, 8141, 8224, 8105, 8093, 8126, 8118, 8089, 8173, 8184, 8160, 8137, 8231,0.311535120010376
75, 8181, 8198, 8169, 8207, 8133, 8083, 8117, 8132, 8106, 8178, 8208, 8178, 8153, 8259,0.3198542594909668
76, 8197, 8210, 8254, 8227, 8204, 8116, 8121, 8202, 8134, 8184, 8240, 8226, 8188, 8291,0.3277866840362549
77, 8175, 8196, 8146, 8249, 8122, 8122, 8166, 8197, 8173, 8208, 8271, 8210, 8238, 8320,0.33577561378479004
78, 8192, 8196, 8169, 8223, 8124, 8109, 8185, 8179, 8173, 8218, 8242, 8193, 8216, 8320,0.3437657356262207
79, 8204, 8194, 8209, 8208, 8160, 8116, 8176, 8202, 8163, 8205, 8214, 8207, 8182, 8307,0.35179734230041504
80, 8191, 8210, 8192, 8226, 8175, 8119, 8182, 8208, 8175, 8205, 8227, 8209, 8198, 8302,0.35880303382873535
81, 8190, 8232, 8202, 8230, 8172, 8120, 8195, 8200, 8186, 8216, 8226, 8202, 8208, 8298,0.36668944358825684
82, 8174, 8210, 8121, 8231, 8116, 8140, 8203, 8173, 8193, 8212, 8208, 8171, 8197, 8292,0.374774694442749
83, 8196, 8227, 8200, 8236, 8186, 8159, 8191, 8189, 8176, 8197, 8189, 8188, 8180, 8287,0.3827338218688965
84, 8218, 8238, 8212, 8233, 8176, 8143, 8183, 8180, 8164, 8203, 8189, 8195, 8180, 8289,0.39064884185791016
