COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp
51,8171,8177,8130,8183,8181,8223,8193,8174,8237,8192,8197,8205,8172,8149,0.0071973800659179
52,8166,8158,8114,8174,8184,8219,8203,8169,8165,8194,8186,8176,8155,8143,0.0151965618133544
53,8178,8169,8123,8179,8188,8235,8192,8165,8158,8185,8172,8181,8161,8145,0.0231969356536865
54,8165,8172,8121,8183,8179,8232,8177,8161,8192,8177,8165,8186,8165,8120,0.0311110019683837
55,8169,8153,8103,8182,8192,8219,8198,8158,8125,8202,8175,8156,8156,8123,0.0379729270935058
56,8178,8179,8126,8181,8184,8224,8191,8168,8223,8193,8175,8209,8172,8146,0.0459649562835693
57,8153,8165,8124,8166,8181,8214,8193,8169,8188,8206,8190,8187,8165,8135,0.0539662837982177
58,8199,8178,8133,8190,8188,8220,8210,8175,8200,8223,8196,8193,8164,8152,0.0619647502899169
59,8201,8183,8140,8194,8188,8212,8205,8170,8245,8204,8187,8213,8169,8153,0.0702691078186035
60,8162,8159,8124,8183,8195,8205,8202,8165,8147,8203,8189,8167,8160,8138,0.0782670974731445
61,8194,8192,8137,8195,8184,8221,8197,8185,8234,8196,8173,8201,8170,8153,0.0862734317779541
62,8192,8170,8122,8175,8187,8203,8202,8174,8181,8196,8172,8181,8163,8143,0.0939347743988037
63,8183,8163,8116,8174,8193,8200,8194,8160,8136,8179,8177,8177,8163,8134,0.1020336151123046
64,8181,8184,8133,8192,8187,8212,8189,8175,8214,8165,8169,8204,8173,8131,0.1090986728668212
65,8191,8165,8134,8195,8203,8219,8219,8177,8150,8201,8177,8171,8164,8133,0.1165723800659179
66,8215,8178,8138,8195,8197,8224,8210,8171,8215,8197,8177,8210,8170,8147,0.1248235702514648
67,8173,8157,8116,8171,8187,8205,8193,8160,8176,8176,8177,8189,8165,8132,0.1328260898590088
68,8167,8158,8122,8179,8192,8211,8194,8166,8142,8179,8178,8179,8162,8129,0.141108751296997
69,8184,8175,8135,8187,8175,8226,8190,8179,8229,8186,8171,8214,8173,8130,0.1491103172302246
70,8185,8148,8110,8175,8162,8223,8208,8173,8159,8216,8178,8170,8172,8127,0.1571366786956787
71,8215,8174,8121,8187,8149,8221,8208,8179,8228,8214,8173,8205,8175,8149,0.1641352176666259
72,8185,8165,8116,8172,8155,8203,8200,8176,8201,8195,8172,8196,8161,8135,0.1721088886260986
73,8164,8152,8103,8166,8156,8207,8189,8168,8121,8182,8173,8169,8162,8123,0.1800992488861084
