COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp
108, 8146, 8161, 8128, 8098, 8148, 8136, 8134, 8164, 8181, 8158, 8136, 8145, 8161, 8124,0.028432846069335938
109, 8144, 8159, 8171, 8085, 8133, 8128, 8111, 8167, 8162, 8146, 8130, 8155, 8153, 8123,0.028432846069335938
110, 8140, 8158, 8140, 8084, 8130, 8127, 8121, 8161, 8161, 8157, 8132, 8146, 8148, 8110,0.044452667236328125
111, 8136, 8159, 8141, 8078, 8138, 8134, 8128, 8160, 8155, 8146, 8133, 8140, 8143, 8105,0.044452667236328125
112, 8136, 8171, 8168, 8082, 8144, 8154, 8133, 8174, 8156, 8140, 8130, 8147, 8144, 8108,0.05983591079711914
113, 8132, 8164, 8129, 8094, 8142, 8156, 8138, 8163, 8159, 8160, 8127, 8135, 8139, 8096,0.05983591079711914
114, 8123, 8160, 8160, 8078, 8129, 8148, 8119, 8154, 8136, 8143, 8114, 8135, 8111, 8083,0.07593417167663574
115, 8111, 8169, 8138, 8087, 8135, 8148, 8114, 8152, 8134, 8132, 8112, 8120, 8106, 8073,0.07593417167663574
116, 8114, 8176, 8148, 8098, 8141, 8147, 8108, 8161, 8135, 8136, 8108, 8118, 8113, 8072,0.09180974960327148
117, 8127, 8186, 8187, 8106, 8141, 8163, 8109, 8172, 8144, 8145, 8112, 8133, 8118, 8082,0.09180974960327148
118, 8125, 8179, 8140, 8118, 8147, 8170, 8129, 8166, 8161, 8157, 8118, 8119, 8126, 8087,0.1069493293762207
119, 8112, 8166, 8166, 8101, 8138, 8166, 8131, 8169, 8142, 8150, 8105, 8122, 8119, 8083,0.1069493293762207
120, 8106, 8161, 8153, 8109, 8135, 8175, 8142, 8171, 8144, 8165, 8104, 8116, 8121, 8079,0.12213683128356934
121, 8115, 8153, 8144, 8119, 8139, 8180, 8155, 8172, 8162, 8180, 8104, 8104, 8129, 8093,0.12213683128356934
122, 8117, 8147, 8164, 8103, 8136, 8177, 8153, 8176, 8163, 8173, 8097, 8117, 8136, 8109,0.13820910453796387
123, 8114, 8140, 8116, 8089, 8133, 8161, 8140, 8162, 8172, 8171, 8109, 8120, 8153, 8106,0.13820910453796387
124, 8121, 8141, 8151, 8072, 8128, 8145, 8107, 8159, 8159, 8150, 8116, 8128, 8148, 8098,0.1537315845489502
125, 8119, 8150, 8146, 8078, 8125, 8136, 8096, 8153, 8140, 8138, 8121, 8124, 8136, 8084,0.1537315845489502
126, 8116, 8156, 8138, 8089, 8131, 8135, 8100, 8144, 8134, 8138, 8123, 8122, 8131, 8081,0.1691751480102539
127, 8115, 8167, 8177, 8103, 8152, 8171, 8116, 8163, 8142, 8145, 8120, 8132, 8131, 8097,0.1691751480102539
236, 8111, 8164, 8139, 8133, 8172, 8192, 8144, 8174, 8169, 8175, 8126, 8120, 8143, 8107,0.18454885482788086
0, 8120, 8168, 8174, 8133, 8171, 8189, 8153, 8178, 8175, 8193, 8125, 8132, 8142, 8109,0.18454885482788086
1, 8116, 8166, 8157, 8118, 8168, 8197, 8174, 8175, 8185, 8203, 8113, 8122, 8139, 8105,0.20018625259399414
2, 8106, 8141, 8116, 8099, 8158, 8188, 8172, 8165, 8193, 8190, 8097, 8097, 8138, 8097,0.20018625259399414
3, 8114, 8139, 8158, 8078, 8144, 8171, 8142, 8171, 8181, 8167, 8108, 8120, 8136, 8098,0.21618270874023438
4, 8129, 8148, 8132, 8077, 8148, 8159, 8142, 8168, 8178, 8169, 8135, 8130, 8152, 8097,0.21618270874023438
5, 8141, 8152, 8164, 8080, 8152, 8154, 8129, 8168, 8161, 8158, 8139, 8139, 8155, 8101,0.23112702369689941
6, 8120, 8146, 8152, 8091, 8151, 8165, 8125, 8160, 8140, 8140, 8129, 8121, 8129, 8084,0.24713897705078125
7, 8095, 8140, 8109, 8089, 8156, 8161, 8136, 8150, 8131, 8128, 8120, 8083, 8106, 8062,0.24713897705078125
8, 8112, 8167, 8171, 8093, 8163, 8150, 8123, 8173, 8147, 8143, 8131, 8107, 8123, 8081,0.24713897705078125
9, 8118, 8172, 8147, 8118, 8159, 8143, 8109, 8177, 8172, 8177, 8143, 8118, 8141, 8089,0.26309823989868164
10, 8109, 8156, 8151, 8105, 8154, 8146, 8113, 8171, 8158, 8166, 8124, 8106, 8118, 8077,0.26309823989868164
11, 8116, 8173, 8162, 8112, 8175, 8170, 8149, 8177, 8173, 8178, 8136, 8113, 8134, 8089,0.27828264236450195
12, 8125, 8181, 8141, 8140, 8184, 8177, 8169, 8176, 8202, 8210, 8167, 8118, 8165, 8109,0.29479193687438965
13, 8116, 8166, 8180, 8126, 8165, 8182, 8160, 8175, 8187, 8191, 8138, 8115, 8148, 8107,0.29479193687438965
14, 8114, 8159, 8143, 8128, 8172, 8198, 8176, 8172, 8196, 8193, 8107, 8096, 8138, 8098,0.29479193687438965
15, 8119, 8155, 8146, 8125, 8176, 8200, 8179, 8175, 8193, 8199, 8107, 8101, 8128, 8104,0.3089420795440674
16, 8111, 8152, 8159, 8114, 8157, 8193, 8169, 8172, 8171, 8182, 8116, 8105, 8122, 8110,0.3089420795440674
17, 8116, 8148, 8129, 8116, 8155, 8186, 8168, 8163, 8178, 8184, 8119, 8100, 8143, 8107,0.3249678611755371
18, 8128, 8143, 8159, 8100, 8165, 8193, 8173, 8174, 8183, 8186, 8100, 8112, 8143, 8100,0.32596874237060547
19, 8117, 8132, 8123, 8101, 8170, 8191, 8193, 8180, 8194, 8192, 8092, 8092, 8131, 8095,0.3402881622314453
20, 8117, 8131, 8136, 8091, 8158, 8168, 8186, 8174, 8185, 8175, 8095, 8092, 8126, 8101,0.35642123222351074
21, 8131, 8142, 8157, 8083, 8147, 8160, 8165, 8168, 8164, 8153, 8098, 8118, 8132, 8098,0.35642123222351074
22, 8140, 8146, 8116, 8094, 8146, 8152, 8156, 8161, 8157, 8157, 8109, 8115, 8145, 8090,0.37297606468200684
23, 8137, 8151, 8157, 8089, 8142, 8139, 8140, 8160, 8146, 8155, 8114, 8121, 8142, 8097,0.37297606468200684
24, 8117, 8151, 8122, 8094, 8143, 8136, 8134, 8149, 8141, 8149, 8110, 8105, 8132, 8085,0.37297606468200684
25, 8118, 8152, 8111, 8098, 8149, 8135, 8127, 8154, 8130, 8127, 8105, 8091, 8119, 8068,0.3868839740753174
26, 8137, 8175, 8151, 8113, 8162, 8146, 8136, 8172, 8137, 8133, 8122, 8120, 8128, 8076,0.4020674228668213
27, 8143, 8181, 8130, 8140, 8178, 8153, 8153, 8160, 8155, 8171, 8145, 8131, 8151, 8087,0.4020674228668213
28, 8150, 8185, 8172, 8144, 8179, 8160, 8150, 8160, 8140, 8163, 8134, 8138, 8142, 8099,0.4173111915588379
29, 8157, 8192, 8152, 8153, 8180, 8167, 8160, 8166, 8139, 8150, 8138, 8142, 8139, 8104,0.4173111915588379
30, 8154, 8177, 8142, 8144, 8174, 8155, 8149, 8164, 8139, 8154, 8154, 8145, 8142, 8097,0.43329763412475586
31, 8142, 8177, 8175, 8138, 8162, 8153, 8137, 8172, 8135, 8158, 8146, 8141, 8133, 8089,0.43329763412475586
32, 8136, 8184, 8135, 8161, 8169, 8166, 8168, 8168, 8143, 8161, 8132, 8114, 8128, 8086,0.4479367733001709
33, 8130, 8178, 8160, 8154, 8166, 8172, 8174, 8169, 8128, 8154, 8117, 8117, 8123, 8086,0.4479367733001709
34, 8114, 8163, 8137, 8140, 8155, 8176, 8160, 8165, 8125, 8161, 8113, 8110, 8123, 8080,0.46399950981140137
35, 8125, 8157, 8129, 8142, 8153, 8179, 8153, 8159, 8133, 8161, 8118, 8104, 8123, 8090,0.46399950981140137
36, 8155, 8175, 8183, 8151, 8163, 8192, 8166, 8174, 8142, 8166, 8126, 8132, 8134, 8117,0.4800903797149658
37, 8162, 8176, 8141, 8161, 8172, 8189, 8180, 8173, 8171, 8191, 8125, 8129, 8149, 8124,0.4800903797149658
38, 8154, 8168, 8153, 8137, 8162, 8175, 8161, 8170, 8168, 8183, 8116, 8133, 8144, 8118,0.4960942268371582
39, 8147, 8161, 8149, 8124, 8151, 8177, 8158, 8173, 8163, 8180, 8134, 8142, 8156, 8120,0.4960942268371582
40, 8150, 8154, 8136, 8124, 8139, 8170, 8168, 8176, 8176, 8189, 8142, 8141, 8170, 8126,0.5120935440063477
41, 8153, 8158, 8171, 8116, 8134, 8166, 8168, 8175, 8174, 8183, 8122, 8151, 8158, 8126,0.5120935440063477
42, 8144, 8147, 8117, 8118, 8139, 8159, 8164, 8157, 8159, 8180, 8115, 8134, 8147, 8109,0.5282251834869385
43, 8145, 8146, 8141, 8115, 8136, 8159, 8142, 8162, 8145, 8164, 8123, 8135, 8148, 8104,0.5282251834869385
44, 8147, 8163, 8158, 8131, 8147, 8171, 8146, 8180, 8170, 8180, 8145, 8147, 8168, 8118,0.5432593822479248
45, 8136, 8157, 8125, 8129, 8156, 8161, 8156, 8174, 8174, 8195, 8152, 8145, 8169, 8117,0.5432593822479248
46, 8133, 8157, 8157, 8109, 8151, 8159, 8149, 8163, 8144, 8167, 8139, 8147, 8145, 8100,0.5588281154632568
47, 8136, 8163, 8134, 8121, 8150, 8162, 8146, 8158, 8150, 8158, 8144, 8131, 8149, 8091,0.5588281154632568
48, 8144, 8167, 8162, 8130, 8151, 8150, 8132, 8165, 8153, 8154, 8148, 8140, 8159, 8104,0.5748496055603027
49, 8154, 8182, 8176, 8144, 8161, 8152, 8137, 8165, 8151, 8157, 8158, 8155, 8160, 8113,0.5748496055603027
50, 8160, 8178, 8148, 8145, 8169, 8154, 8141, 8154, 8152, 8171, 8179, 8157, 8164, 8105,0.5908858776092529
51, 8156, 8169, 8183, 8121, 8157, 8149, 8124, 8164, 8144, 8163, 8175, 8167, 8153, 8099,0.5908858776092529
52, 8143, 8177, 8149, 8137, 8153, 8150, 8138, 8167, 8152, 8151, 8161, 8144, 8141, 8094,0.6071755886077881
53, 8140, 8183, 8159, 8145, 8151, 8155, 8152, 8168, 8142, 8142, 8153, 8138, 8135, 8098,0.6071755886077881
54, 8141, 8182, 8170, 8138, 8151, 8169, 8160, 8174, 8137, 8159, 8165, 8159, 8151, 8109,0.6231875419616699
55, 8145, 8181, 8136, 8160, 8160, 8175, 8172, 8169, 8149, 8183, 8169, 8156, 8166, 8118,0.6231875419616699
56, 8149, 8182, 8175, 8173, 8163, 8180, 8176, 8170, 8147, 8180, 8156, 8159, 8162, 8127,0.6392762660980225
57, 8141, 8173, 8148, 8168, 8165, 8189, 8189, 8172, 8165, 8192, 8162, 8156, 8179, 8135,0.6392762660980225
58, 8150, 8172, 8157, 8148, 8160, 8181, 8180, 8174, 8181, 8198, 8160, 8169, 8194, 8147,0.6547918319702148
59, 8169, 8179, 8175, 8138, 8156, 8166, 8163, 8178, 8182, 8191, 8157, 8188, 8197, 8153,0.6547918319702148
60, 8171, 8172, 8134, 8142, 8161, 8157, 8163, 8173, 8189, 8194, 8178, 8186, 8209, 8144,0.6701834201812744
61, 8171, 8188, 8186, 8144, 8160, 8162, 8151, 8178, 8176, 8187, 8200, 8207, 8208, 8142,0.6701834201812744
62, 8168, 8200, 8175, 8164, 8169, 8167, 8149, 8170, 8164, 8189, 8209, 8201, 8201, 8139,0.6853294372558594
63, 8158, 8189, 8168, 8164, 8173, 8159, 8150, 8159, 8151, 8180, 8195, 8185, 8185, 8134,0.6853294372558594
64, 8148, 8191, 8194, 8159, 8167, 8166, 8152, 8169, 8145, 8179, 8185, 8190, 8179, 8136,0.7008559703826904
65, 8139, 8178, 8146, 8161, 8161, 8177, 8161, 8170, 8156, 8194, 8177, 8159, 8181, 8127,0.7008559703826904
66, 8132, 8165, 8164, 8145, 8159, 8180, 8168, 8176, 8161, 8189, 8145, 8141, 8168, 8117,0.7164545059204102
67, 8126, 8156, 8132, 8131, 8156, 8172, 8182, 8170, 8184, 8206, 8141, 8143, 8175, 8110,0.7164545059204102
68, 8129, 8135, 8119, 8103, 8142, 8152, 8167, 8159, 8186, 8197, 8153, 8151, 8181, 8106,0.7320556640625
69, 8142, 8149, 8164, 8102, 8142, 8159, 8159, 8167, 8177, 8169, 8153, 8165, 8185, 8109,0.7320556640625
70, 8158, 8179, 8141, 8150, 8162, 8162, 8177, 8165, 8187, 8182, 8171, 8172, 8209, 8115,0.7473361492156982
71, 8171, 8188, 8185, 8155, 8166, 8152, 8167, 8167, 8176, 8184, 8196, 8195, 8211, 8126,0.7477109432220459
72, 8163, 8180, 8175, 8155, 8165, 8170, 8172, 8170, 8185, 8197, 8201, 8180, 8200, 8130,0.7623388767242432
73, 8154, 8173, 8157, 8178, 8170, 8182, 8184, 8169, 8188, 8211, 8181, 8157, 8186, 8125,0.7623388767242432
74, 8153, 8180, 8196, 8186, 8176, 8185, 8178, 8175, 8171, 8205, 8173, 8171, 8181, 8128,0.777874231338501
75, 8160, 8179, 8158, 8195, 8182, 8183, 8187, 8169, 8203, 8237, 8191, 8175, 8202, 8135,0.777874231338501
76, 8183, 8183, 8190, 8195, 8184, 8179, 8194, 8179, 8235, 8266, 8204, 8201, 8225, 8160,0.7933623790740967
77, 8183, 8186, 8191, 8196, 8183, 8179, 8202, 8185, 8234, 8241, 8201, 8220, 8237, 8169,0.7933623790740967
78, 8168, 8167, 8158, 8183, 8172, 8167, 8188, 8168, 8216, 8201, 8177, 8199, 8216, 8146,0.809065580368042
79, 8173, 8167, 8192, 8176, 8168, 8166, 8172, 8167, 8199, 8203, 8174, 8199, 8193, 8140,0.809065580368042
