COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp
1, 8125, 8167, 8079, 8209, 7918, 8156, 8177, 8118, 8169, 8187, 8171, 8103, 8159, 8017,0.04203295707702637
2, 8131, 8143, 8150, 8147, 7823, 8128, 8126, 8147, 8109, 8119, 8120, 8139, 8094, 8067,0.04203295707702637
3, 8132, 8175, 8236, 8129, 7666, 8158, 8125, 8200, 8095, 8101, 8097, 8180, 8085, 8088,0.05733299255371094
4, 8130, 8174, 8134, 8219, 7648, 8186, 8194, 8143, 8180, 8197, 8154, 8112, 8160, 8039,0.05733299255371094
5, 8133, 8149, 8161, 8169, 7290, 8162, 8167, 8166, 8147, 8174, 8130, 8141, 8131, 8082,0.07290863990783691
6, 8146, 8161, 8187, 8157, 6277, 8177, 8174, 8198, 8164, 8187, 8141, 8176, 8149, 8108,0.07290863990783691
7, 8164, 8154, 8150, 8164, 5368, 8164, 8165, 8166, 8183, 8195, 8152, 8164, 8174, 8098,0.08884906768798828
8, 8167, 8166, 8181, 8141, 5164, 8144, 8132, 8167, 8143, 8146, 8145, 8183, 8158, 8090,0.08884906768798828
9, 8161, 8186, 8178, 8180, 5242, 8157, 8156, 8157, 8152, 8146, 8176, 8172, 8168, 8069,0.10419225692749023
10, 8157, 8172, 8184, 8174, 5195, 8164, 8169, 8167, 8141, 8148, 8145, 8155, 8148, 8092,0.10419225692749023
11, 8140, 8145, 8183, 8135, 5196, 8162, 8165, 8185, 8146, 8172, 8120, 8159, 8150, 8102,0.11931133270263672
12, 8133, 8126, 8094, 8144, 5287, 8140, 8164, 8148, 8196, 8204, 8164, 8136, 8196, 8064,0.11931133270263672
13, 8157, 8137, 8120, 8123, 5328, 8106, 8124, 8147, 8156, 8144, 8144, 8152, 8162, 8073,0.13481855392456055
14, 8164, 8185, 8257, 8116, 5362, 8133, 8113, 8176, 8095, 8102, 8109, 8204, 8125, 8089,0.13481855392456055
15, 8141, 8184, 8196, 8183, 5416, 8179, 8168, 8158, 8143, 8166, 8144, 8156, 8167, 8059,0.15086054801940918
16, 8131, 8138, 8125, 8172, 5449, 8164, 8173, 8158, 8165, 8182, 8141, 8125, 8169, 8072,0.15086054801940918
17, 8137, 8133, 8163, 8121, 5474, 8141, 8153, 8181, 8157, 8175, 8124, 8156, 8162, 8093,0.16687726974487305
18, 8150, 8147, 8158, 8129, 5515, 8139, 8147, 8175, 8161, 8174, 8140, 8158, 8182, 8080,0.16687726974487305
19, 8158, 8158, 8174, 8159, 5569, 8147, 8150, 8150, 8141, 8148, 8153, 8162, 8175, 8066,0.18235039710998535
20, 8142, 8155, 8184, 8168, 5625, 8156, 8169, 8150, 8139, 8153, 8138, 8155, 8147, 8066,0.18235039710998535
21, 8129, 8144, 8167, 8145, 5666, 8158, 8180, 8180, 8167, 8166, 8119, 8154, 8138, 8088,0.19818830490112305
22, 8145, 8148, 8141, 8142, 5708, 8144, 8177, 8174, 8188, 8166, 8147, 8162, 8177, 8085,0.2131791114807129
