COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp
23, 8134, 8162, 8158, 8174, 8181, 8069, 8183, 8163, 8092, 8142, 8168, 8143, 8157, 8128,0.002995014190673828
23, 8134, 8162, 8158, 8174, 8181, 8069, 8183, 8163, 8092, 8142, 8168, 8143, 8157, 8128,0.002995014190673828
24, 8145, 8187, 8169, 8190, 8157, 8080, 8170, 8180, 8192, 8143, 8162, 8180, 8166, 8131,0.010484695434570312
24, 8145, 8187, 8169, 8190, 8157, 8080, 8170, 8180, 8192, 8143, 8162, 8180, 8166, 8131,0.010484695434570312
25, 8154, 8163, 8162, 8177, 8151, 8074, 8186, 8177, 8120, 8174, 8165, 8145, 8157, 8125,0.01848578453063965
25, 8154, 8163, 8162, 8177, 8151, 8074, 8186, 8177, 8120, 8174, 8165, 8145, 8157, 8125,0.0194857120513916
26, 8163, 8174, 8169, 8175, 8151, 8072, 8181, 8171, 8137, 8159, 8162, 8167, 8162, 8135,0.02648782730102539
26, 8163, 8174, 8169, 8175, 8151, 8072, 8181, 8171, 8137, 8159, 8162, 8167, 8162, 8135,0.02648782730102539
27, 8133, 8178, 8167, 8178, 8151, 8069, 8182, 8176, 8170, 8152, 8165, 8170, 8168, 8124,0.034485816955566406
27, 8133, 8178, 8167, 8178, 8151, 8069, 8182, 8176, 8170, 8152, 8165, 8170, 8168, 8124,0.034485816955566406
28, 8152, 8164, 8168, 8182, 8167, 8076, 8209, 8174, 8116, 8188, 8180, 8140, 8164, 8137,0.04306149482727051
28, 8152, 8164, 8168, 8182, 8167, 8076, 8209, 8174, 8116, 8188, 8180, 8140, 8164, 8137,0.04306149482727051
29, 8179, 8184, 8188, 8186, 8153, 8079, 8190, 8175, 8210, 8173, 8179, 8187, 8170, 8151,0.05120277404785156
29, 8179, 8184, 8188, 8186, 8153, 8079, 8190, 8175, 8210, 8173, 8179, 8187, 8170, 8151,0.05120277404785156
30, 8146, 8162, 8176, 8175, 8150, 8076, 8181, 8171, 8140, 8173, 8183, 8154, 8160, 8125,0.05900454521179199
30, 8146, 8162, 8176, 8175, 8150, 8076, 8181, 8171, 8140, 8173, 8183, 8154, 8160, 8125,0.05900454521179199
31, 8164, 8182, 8184, 8193, 8154, 8087, 8187, 8175, 8168, 8182, 8169, 8161, 8166, 8133,0.06602859497070312
31, 8164, 8182, 8184, 8193, 8154, 8087, 8187, 8175, 8168, 8182, 8169, 8161, 8166, 8133,0.06602859497070312
32, 8160, 8177, 8178, 8180, 8150, 8085, 8185, 8172, 8205, 8165, 8159, 8174, 8168, 8140,0.07402276992797852
32, 8160, 8177, 8178, 8180, 8150, 8085, 8185, 8172, 8205, 8165, 8159, 8174, 8168, 8140,0.07402276992797852
33, 8135, 8145, 8150, 8162, 8154, 8093, 8187, 8165, 8099, 8161, 8169, 8138, 8155, 8127,0.08203577995300293
33, 8135, 8145, 8150, 8162, 8154, 8093, 8187, 8165, 8099, 8161, 8169, 8138, 8155, 8127,0.08203577995300293
34, 8147, 8173, 8157, 8176, 8132, 8111, 8175, 8174, 8175, 8146, 8150, 8167, 8160, 8113,0.09000849723815918
34, 8147, 8173, 8157, 8176, 8132, 8111, 8175, 8174, 8175, 8146, 8150, 8167, 8160, 8113,0.09000849723815918
35, 8132, 8147, 8141, 8158, 8129, 8107, 8180, 8160, 8102, 8149, 8139, 8134, 8151, 8099,0.09803628921508789
35, 8132, 8147, 8141, 8158, 8129, 8107, 8180, 8160, 8102, 8149, 8139, 8134, 8151, 8099,0.09803628921508789
36, 8142, 8148, 8146, 8154, 8143, 8120, 8181, 8154, 8101, 8153, 8147, 8154, 8158, 8127,0.1060342788696289
36, 8142, 8148, 8146, 8154, 8143, 8120, 8181, 8154, 8101, 8153, 8147, 8154, 8158, 8127,0.1060342788696289
37, 8143, 8165, 8166, 8163, 8155, 8141, 8174, 8165, 8186, 8164, 8171, 8191, 8172, 8140,0.11400747299194336
37, 8143, 8165, 8166, 8163, 8155, 8141, 8174, 8165, 8186, 8164, 8171, 8191, 8172, 8140,0.11400747299194336
38, 8139, 8155, 8167, 8168, 8177, 8151, 8182, 8167, 8116, 8192, 8196, 8151, 8164, 8127,0.12201452255249023
38, 8139, 8155, 8167, 8168, 8177, 8151, 8182, 8167, 8116, 8192, 8196, 8151, 8164, 8127,0.12201452255249023
39, 8162, 8182, 8182, 8177, 8163, 8134, 8176, 8178, 8202, 8172, 8174, 8181, 8167, 8125,0.1290137767791748
39, 8162, 8182, 8182, 8177, 8163, 8134, 8176, 8178, 8202, 8172, 8174, 8181, 8167, 8125,0.1290137767791748
40, 8158, 8164, 8168, 8178, 8163, 8087, 8197, 8178, 8165, 8172, 8169, 8160, 8159, 8121,0.13702893257141113
40, 8158, 8164, 8168, 8178, 8163, 8087, 8197, 8178, 8165, 8172, 8169, 8160, 8159, 8121,0.13702893257141113
41, 8183, 8169, 8173, 8216, 8178, 8087, 8220, 8182, 8156, 8179, 8176, 8162, 8161, 8140,0.14482402801513672
41, 8183, 8169, 8173, 8216, 8178, 8087, 8220, 8182, 8156, 8179, 8176, 8162, 8161, 8140,0.14482402801513672
42, 8173, 8172, 8182, 8220, 8171, 8119, 8203, 8175, 8222, 8153, 8169, 8187, 8166, 8135,0.15300273895263672
42, 8173, 8172, 8182, 8220, 8171, 8119, 8203, 8175, 8222, 8153, 8169, 8187, 8166, 8135,0.15300273895263672
43, 8136, 8141, 8157, 8188, 8172, 8142, 8183, 8162, 8122, 8158, 8178, 8145, 8158, 8115,0.16124439239501953
43, 8136, 8141, 8157, 8188, 8172, 8142, 8183, 8162, 8122, 8158, 8178, 8145, 8158, 8115,0.16124439239501953
44, 8160, 8174, 8168, 8205, 8157, 8152, 8174, 8178, 8201, 8160, 8178, 8178, 8166, 8127,0.16900324821472168
