COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp
116, 8178, 8212, 8220, 8219, 8215, 8213, 8198, 8180, 8216, 8194, 8182, 8185, 8270, 8111,0.0429537296295166
117, 8172, 8210, 8188, 8225, 8223, 8216, 8212, 8183, 8232, 8195, 8191, 8176, 8277, 8113,0.0429537296295166
118, 8160, 8194, 8187, 8213, 8212, 8209, 8211, 8166, 8226, 8192, 8192, 8176, 8263, 8105,0.05859518051147461
119, 8173, 8203, 8201, 8217, 8210, 8217, 8227, 8185, 8250, 8224, 8204, 8195, 8280, 8133,0.05859518051147461
120, 8196, 8205, 8195, 8211, 8213, 8213, 8229, 8199, 8268, 8237, 8218, 8216, 8305, 8158,0.07390809059143066
121, 8202, 8203, 8206, 8200, 8205, 8197, 8198, 8187, 8258, 8211, 8212, 8228, 8300, 8144,0.07390809059143066
122, 8194, 8202, 8188, 8205, 8203, 8197, 8186, 8185, 8263, 8209, 8213, 8210, 8298, 8123,0.08988022804260254
123, 8182, 8188, 8181, 8175, 8195, 8196, 8180, 8184, 8244, 8197, 8209, 8209, 8290, 8115,0.08988022804260254
124, 8175, 8187, 8175, 8156, 8189, 8183, 8173, 8175, 8212, 8172, 8199, 8210, 8277, 8114,0.10552716255187988
125, 8192, 8217, 8190, 8192, 8201, 8180, 8174, 8162, 8204, 8169, 8212, 8213, 8278, 8121,0.10552716255187988
126, 8202, 8240, 8231, 8222, 8216, 8202, 8172, 8163, 8198, 8172, 8230, 8231, 8287, 8127,0.12080717086791992
127, 8183, 8227, 8208, 8229, 8216, 8207, 8175, 8165, 8191, 8169, 8213, 8211, 8277, 8111,0.12080717086791992
237, 8169, 8212, 8203, 8215, 8208, 8197, 8180, 8165, 8186, 8171, 8183, 8195, 8258, 8109,0.13657760620117188
0, 8176, 8208, 8202, 8209, 8200, 8204, 8186, 8175, 8194, 8187, 8180, 8198, 8262, 8123,0.13657760620117188
1, 8186, 8199, 8179, 8197, 8185, 8195, 8172, 8175, 8203, 8183, 8188, 8199, 8271, 8123,0.1526029109954834
2, 8192, 8202, 8197, 8170, 8183, 8183, 8152, 8175, 8200, 8157, 8201, 8211, 8263, 8121,0.1526029109954834
3, 8183, 8209, 8195, 8181, 8201, 8187, 8151, 8172, 8195, 8162, 8209, 8202, 8253, 8115,0.16783452033996582
4, 8174, 8202, 8200, 8204, 8201, 8188, 8151, 8161, 8183, 8173, 8188, 8192, 8236, 8113,0.16783452033996582
5, 8177, 8192, 8201, 8207, 8196, 8202, 8185, 8174, 8203, 8180, 8163, 8185, 8231, 8120,0.18378353118896484
6, 8181, 8181, 8179, 8189, 8200, 8209, 8213, 8189, 8232, 8195, 8170, 8181, 8245, 8130,0.18378353118896484
7, 8186, 8180, 8194, 8169, 8192, 8191, 8179, 8184, 8217, 8195, 8181, 8202, 8251, 8136,0.19877147674560547
8, 8187, 8190, 8193, 8177, 8192, 8189, 8159, 8173, 8204, 8186, 8187, 8203, 8251, 8122,0.19877147674560547
9, 8190, 8201, 8199, 8190, 8200, 8206, 8175, 8174, 8206, 8175, 8188, 8201, 8243, 8107,0.21393132209777832
10, 8189, 8210, 8214, 8212, 8205, 8218, 8192, 8184, 8218, 8183, 8188, 8194, 8236, 8112,0.21393132209777832
11, 8181, 8200, 8204, 8228, 8208, 8220, 8201, 8178, 8226, 8204, 8184, 8172, 8238, 8120,0.22993779182434082
12, 8167, 8183, 8206, 8211, 8197, 8222, 8205, 8175, 8217, 8203, 8175, 8174, 8236, 8123,0.22993779182434082
13, 8157, 8174, 8181, 8193, 8190, 8217, 8215, 8188, 8235, 8211, 8173, 8166, 8237, 8125,0.2456045150756836
14, 8159, 8164, 8165, 8174, 8189, 8206, 8206, 8186, 8248, 8210, 8158, 8152, 8230, 8117,0.2456045150756836
15, 8153, 8155, 8156, 8155, 8182, 8201, 8183, 8180, 8234, 8192, 8142, 8147, 8219, 8113,0.26070332527160645
16, 8153, 8152, 8136, 8153, 8172, 8185, 8173, 8181, 8237, 8188, 8156, 8147, 8229, 8112,0.26070332527160645
17, 8176, 8171, 8173, 8158, 8170, 8177, 8174, 8185, 8248, 8183, 8173, 8173, 8231, 8112,0.27649545669555664
18, 8183, 8186, 8168, 8170, 8182, 8185, 8186, 8188, 8255, 8189, 8180, 8177, 8228, 8113,0.27649545669555664
19, 8169, 8179, 8147, 8159, 8182, 8179, 8174, 8175, 8233, 8188, 8177, 8171, 8225, 8107,0.29154109954833984
20, 8164, 8183, 8158, 8138, 8174, 8170, 8160, 8161, 8195, 8167, 8167, 8169, 8209, 8090,0.29154109954833984
21, 8166, 8191, 8146, 8147, 8180, 8166, 8166, 8156, 8178, 8161, 8165, 8150, 8196, 8078,0.30758118629455566
22, 8167, 8199, 8174, 8172, 8188, 8177, 8173, 8162, 8180, 8163, 8169, 8152, 8190, 8082,0.30758118629455566
23, 8164, 8211, 8186, 8194, 8186, 8185, 8187, 8175, 8188, 8176, 8181, 8156, 8197, 8086,0.3229691982269287
24, 8166, 8212, 8178, 8189, 8188, 8180, 8188, 8175, 8179, 8177, 8178, 8155, 8195, 8087,0.3229691982269287
25, 8173, 8206, 8194, 8181, 8199, 8192, 8186, 8172, 8181, 8173, 8166, 8155, 8191, 8093,0.3389558792114258
26, 8173, 8202, 8185, 8196, 8203, 8210, 8197, 8170, 8202, 8188, 8170, 8145, 8200, 8100,0.3389558792114258
27, 8177, 8204, 8198, 8199, 8198, 8208, 8206, 8176, 8205, 8197, 8172, 8147, 8199, 8113,0.35454750061035156
28, 8180, 8206, 8201, 8205, 8203, 8208, 8221, 8187, 8208, 8208, 8181, 8136, 8206, 8123,0.35454750061035156
