COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp
5, 8092, 8146, 8116, 8124, 8141, 8151, 8148, 8149, 8153, 8167, 8131, 8115, 8146, 8126,0.040323734283447266
6, 8109, 8162, 8188, 8122, 8141, 8148, 8134, 8160, 8146, 8152, 8147, 8138, 8157, 8138,0.05682539939880371
7, 8112, 8173, 8139, 8145, 8151, 8152, 8140, 8171, 8142, 8154, 8163, 8137, 8156, 8135,0.05682539939880371
8, 8102, 8173, 8152, 8154, 8160, 8156, 8142, 8163, 8133, 8156, 8162, 8127, 8141, 8123,0.05682539939880371
9, 8103, 8184, 8197, 8162, 8166, 8175, 8155, 8170, 8148, 8162, 8163, 8138, 8147, 8130,0.0721275806427002
10, 8104, 8171, 8120, 8175, 8170, 8173, 8183, 8165, 8164, 8181, 8166, 8119, 8156, 8137,0.08768224716186523
11, 8103, 8165, 8182, 8162, 8170, 8185, 8197, 8173, 8147, 8180, 8148, 8112, 8142, 8144,0.08808517456054688
12, 8102, 8165, 8143, 8165, 8174, 8198, 8216, 8173, 8179, 8194, 8145, 8114, 8152, 8157,0.10359764099121094
13, 8111, 8167, 8137, 8158, 8167, 8177, 8211, 8166, 8216, 8204, 8154, 8121, 8169, 8166,0.10359764099121094
14, 8114, 8178, 8182, 8129, 8158, 8165, 8182, 8175, 8195, 8185, 8148, 8138, 8162, 8155,0.11897921562194824
15, 8107, 8165, 8112, 8126, 8163, 8153, 8165, 8163, 8167, 8161, 8141, 8126, 8149, 8125,0.11897921562194824
16, 8107, 8170, 8183, 8131, 8159, 8149, 8148, 8166, 8144, 8137, 8135, 8126, 8131, 8118,0.13684296607971191
17, 8104, 8181, 8162, 8153, 8161, 8164, 8158, 8176, 8145, 8151, 8139, 8123, 8128, 8136,0.13684296607971191
18, 8108, 8165, 8141, 8160, 8165, 8171, 8168, 8164, 8150, 8166, 8141, 8118, 8137, 8146,0.13684296607971191
19, 8114, 8157, 8192, 8149, 8158, 8175, 8172, 8171, 8156, 8169, 8142, 8126, 8151, 8153,0.15006089210510254
20, 8113, 8150, 8128, 8153, 8156, 8162, 8190, 8172, 8177, 8196, 8147, 8107, 8171, 8165,0.165574312210083
21, 8122, 8156, 8181, 8136, 8155, 8156, 8177, 8170, 8181, 8195, 8141, 8106, 8175, 8171,0.165574312210083
22, 8136, 8166, 8160, 8138, 8154, 8155, 8162, 8168, 8188, 8181, 8159, 8123, 8184, 8169,0.1816244125366211
23, 8141, 8173, 8147, 8150, 8162, 8143, 8159, 8161, 8189, 8183, 8196, 8140, 8194, 8164,0.1816244125366211
24, 8129, 8182, 8209, 8135, 8168, 8155, 8148, 8171, 8174, 8182, 8206, 8153, 8189, 8161,0.19694852828979492
25, 8110, 8171, 8133, 8140, 8169, 8166, 8155, 8171, 8173, 8184, 8190, 8127, 8182, 8156,0.19694852828979492
26, 8116, 8167, 8180, 8156, 8162, 8174, 8166, 8170, 8169, 8180, 8164, 8111, 8174, 8157,0.21274042129516602
27, 8126, 8170, 8181, 8164, 8164, 8191, 8183, 8177, 8188, 8199, 8163, 8117, 8188, 8173,0.21274042129516602
28, 8132, 8164, 8145, 8156, 8163, 8189, 8189, 8173, 8210, 8221, 8181, 8133, 8206, 8185,0.2287735939025879
29, 8142, 8172, 8200, 8151, 8157, 8171, 8168, 8176, 8193, 8206, 8193, 8164, 8206, 8185,0.2287735939025879
30, 8138, 8171, 8141, 8157, 8165, 8152, 8149, 8164, 8177, 8181, 8195, 8164, 8202, 8173,0.2442460060119629
31, 8137, 8176, 8183, 8147, 8170, 8154, 8143, 8157, 8154, 8155, 8185, 8161, 8190, 8156,0.2442460060119629
32, 8139, 8192, 8186, 8168, 8179, 8170, 8163, 8174, 8146, 8167, 8188, 8165, 8187, 8156,0.2599005699157715
33, 8136, 8182, 8148, 8188, 8180, 8172, 8174, 8176, 8161, 8191, 8183, 8149, 8190, 8169,0.2599005699157715
34, 8122, 8163, 8202, 8163, 8166, 8188, 8168, 8175, 8162, 8182, 8158, 8138, 8182, 8175,0.27559518814086914
35, 8102, 8145, 8124, 8152, 8156, 8184, 8185, 8163, 8171, 8179, 8155, 8125, 8181, 8161,0.27559518814086914
36, 8106, 8149, 8159, 8139, 8139, 8159, 8171, 8161, 8175, 8172, 8156, 8127, 8178, 8148,0.29075002670288086
37, 8114, 8160, 8178, 8122, 8143, 8157, 8146, 8176, 8181, 8176, 8161, 8140, 8185, 8159,0.29075002670288086
38, 8105, 8149, 8120, 8118, 8161, 8153, 8141, 8162, 8176, 8178, 8170, 8133, 8191, 8151,0.30681586265563965
39, 8099, 8166, 8188, 8115, 8159, 8148, 8130, 8161, 8155, 8149, 8161, 8130, 8168, 8129,0.30681586265563965
40, 8108, 8185, 8138, 8143, 8164, 8147, 8138, 8170, 8163, 8159, 8168, 8131, 8170, 8132,0.3225269317626953
41, 8129, 8187, 8170, 8162, 8175, 8156, 8143, 8168, 8159, 8179, 8186, 8150, 8186, 8153,0.3225269317626953
42, 8125, 8186, 8199, 8155, 8173, 8168, 8145, 8165, 8146, 8168, 8182, 8153, 8181, 8158,0.3379380702972412
43, 8100, 8173, 8129, 8155, 8170, 8159, 8152, 8158, 8140, 8151, 8151, 8115, 8201, 8134,0.3379380702972412
44, 8096, 8177, 8194, 8161, 8180, 8172, 8156, 8169, 8120, 8148, 8129, 8114, 8231, 8127,0.3537442684173584
45, 8100, 8175, 8150, 8180, 8195, 8188, 8179, 8169, 8138, 8176, 8147, 8123, 8213, 8146,0.3537442684173584
46, 8095, 8166, 8161, 8166, 8189, 8183, 8183, 8165, 8166, 8182, 8147, 8119, 8173, 8152,0.3698151111602783
47, 8083, 8160, 8185, 8146, 8177, 8188, 8179, 8175, 8161, 8173, 8121, 8113, 8166, 8145,0.3698151111602783
48, 8077, 8143, 8111, 8152, 8175, 8183, 8192, 8164, 8159, 8183, 8116, 8095, 8165, 8138,0.3859059810638428
49, 8085, 8148, 8181, 8140, 8165, 8181, 8192, 8169, 8164, 8184, 8119, 8108, 8156, 8146,0.3859059810638428
50, 8084, 8150, 8139, 8124, 8156, 8181, 8192, 8175, 8170, 8194, 8131, 8120, 8172, 8154,0.4017317295074463
51, 8088, 8143, 8137, 8116, 8153, 8169, 8184, 8165, 8165, 8194, 8139, 8121, 8177, 8152,0.4017317295074463
52, 8101, 8158, 8194, 8128, 8156, 8169, 8171, 8170, 8168, 8180, 8137, 8135, 8173, 8148,0.4169583320617676
53, 8105, 8166, 8130, 8150, 8163, 8160, 8174, 8163, 8183, 8181, 8154, 8144, 8188, 8150,0.4169583320617676
54, 8118, 8182, 8195, 8146, 8169, 8156, 8163, 8168, 8165, 8172, 8177, 8175, 8191, 8165,0.4325428009033203
55, 8124, 8195, 8173, 8158, 8175, 8151, 8149, 8169, 8157, 8164, 8188, 8182, 8191, 8168,0.4325428009033203
56, 8113, 8190, 8156, 8164, 8163, 8136, 8131, 8156, 8141, 8146, 8182, 8165, 8176, 8147,0.44761085510253906
57, 8107, 8195, 8207, 8156, 8148, 8144, 8127, 8166, 8115, 8129, 8179, 8173, 8158, 8139,0.44761085510253906
58, 8114, 8197, 8150, 8177, 8158, 8147, 8132, 8160, 8113, 8145, 8192, 8174, 8163, 8149,0.4627368450164795
59, 8119, 8207, 8207, 8203, 8170, 8148, 8118, 8161, 8100, 8136, 8191, 8170, 8161, 8160,0.4627368450164795
60, 8111, 8208, 8179, 8219, 8172, 8164, 8131, 8171, 8100, 8123, 8171, 8158, 8156, 8158,0.47792530059814453
61, 8112, 8192, 8155, 8206, 8166, 8171, 8146, 8163, 8114, 8136, 8155, 8153, 8156, 8152,0.47792530059814453
62, 8124, 8189, 8217, 8193, 8168, 8181, 8144, 8170, 8122, 8154, 8165, 8170, 8169, 8168,0.49399852752685547
63, 8129, 8177, 8150, 8209, 8177, 8186, 8161, 8173, 8142, 8170, 8177, 8162, 8188, 8186,0.49399852752685547
64, 8128, 8174, 8198, 8194, 8169, 8193, 8169, 8170, 8144, 8167, 8159, 8158, 8183, 8178,0.5095436573028564
65, 8115, 8176, 8183, 8183, 8169, 8196, 8170, 8171, 8152, 8177, 8156, 8162, 8179, 8172,0.5095436573028564
66, 8112, 8167, 8141, 8180, 8171, 8177, 8163, 8166, 8160, 8175, 8167, 8158, 8189, 8178,0.5246384143829346
67, 8120, 8171, 8200, 8154, 8155, 8170, 8151, 8174, 8154, 8162, 8159, 8169, 8195, 8180,0.5246384143829346
68, 8120, 8169, 8141, 8155, 8156, 8163, 8156, 8173, 8173, 8187, 8173, 8175, 8211, 8183,0.5398852825164795
69, 8131, 8174, 8185, 8159, 8163, 8155, 8155, 8174, 8185, 8190, 8190, 8190, 8220, 8189,0.5398852825164795
70, 8139, 8184, 8183, 8158, 8165, 8161, 8164, 8177, 8192, 8180, 8189, 8193, 8216, 8188,0.5559666156768799
71, 8141, 8184, 8138, 8162, 8168, 8153, 8172, 8164, 8198, 8187, 8194, 8186, 8217, 8182,0.5559666156768799
72, 8146, 8191, 8205, 8155, 8164, 8151, 8156, 8174, 8183, 8179, 8201, 8203, 8213, 8187,0.5715842247009277
73, 8137, 8191, 8141, 8158, 8171, 8148, 8158, 8173, 8176, 8169, 8199, 8187, 8208, 8179,0.5715842247009277
74, 8122, 8195, 8163, 8163, 8180, 8155, 8159, 8163, 8155, 8152, 8174, 8159, 8184, 8155,0.5866022109985352
75, 8116, 8195, 8174, 8172, 8186, 8185, 8174, 8175, 8148, 8153, 8159, 8156, 8166, 8153,0.602304220199585
76, 8110, 8176, 8123, 8175, 8185, 8187, 8199, 8172, 8164, 8172, 8151, 8149, 8165, 8158,0.602304220199585
77, 8097, 8168, 8182, 8155, 8172, 8182, 8192, 8170, 8155, 8165, 8122, 8135, 8150, 8148,0.602304220199585
78, 8083, 8155, 8125, 8146, 8166, 8182, 8192, 8169, 8149, 8160, 8114, 8115, 8139, 8139,0.6179518699645996
79, 8088, 8144, 8142, 8135, 8165, 8184, 8196, 8163, 8155, 8167, 8119, 8119, 8145, 8146,0.6179518699645996
80, 8099, 8153, 8165, 8128, 8170, 8189, 8195, 8171, 8171, 8182, 8116, 8136, 8153, 8163,0.634516716003418
