COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp
27, 8122, 8134, 8129, 8111, 8144, 8152, 8127, 8163, 8128, 8149, 8124, 8114, 8113, 8087,0.02843499183654785
28, 8113, 8142, 8174, 8101, 8141, 8165, 8121, 8168, 8120, 8136, 8116, 8127, 8108, 8081,0.02843499183654785
29, 8118, 8146, 8108, 8123, 8155, 8164, 8142, 8164, 8140, 8135, 8122, 8116, 8107, 8080,0.04399728775024414
30, 8137, 8153, 8182, 8127, 8151, 8161, 8135, 8173, 8126, 8125, 8123, 8133, 8104, 8098,0.04399728775024414
31, 8131, 8151, 8150, 8130, 8145, 8162, 8128, 8161, 8112, 8128, 8124, 8135, 8105, 8096,0.06002044677734375
32, 8125, 8144, 8126, 8125, 8151, 8157, 8124, 8156, 8112, 8117, 8112, 8117, 8096, 8088,0.06002044677734375
33, 8141, 8161, 8198, 8132, 8154, 8173, 8130, 8169, 8123, 8116, 8112, 8134, 8100, 8107,0.07598042488098145
34, 8137, 8156, 8126, 8152, 8155, 8178, 8154, 8162, 8142, 8150, 8129, 8126, 8117, 8111,0.07598042488098145
35, 8126, 8144, 8163, 8134, 8151, 8180, 8156, 8175, 8125, 8144, 8108, 8116, 8103, 8098,0.09144353866577148
36, 8120, 8141, 8139, 8132, 8155, 8191, 8163, 8168, 8120, 8136, 8088, 8108, 8096, 8093,0.09144353866577148
37, 8124, 8135, 8112, 8126, 8150, 8190, 8162, 8153, 8123, 8156, 8094, 8107, 8110, 8106,0.10658931732177734
38, 8133, 8144, 8187, 8110, 8142, 8197, 8156, 8173, 8136, 8174, 8114, 8138, 8125, 8127,0.10658931732177734
39, 8131, 8139, 8117, 8127, 8143, 8182, 8159, 8164, 8166, 8178, 8117, 8138, 8136, 8124,0.1223149299621582
40, 8137, 8141, 8159, 8125, 8144, 8164, 8126, 8160, 8140, 8140, 8092, 8139, 8118, 8106,0.1223149299621582
41, 8143, 8161, 8160, 8130, 8155, 8177, 8112, 8159, 8118, 8131, 8108, 8143, 8107, 8096,0.1374192237854004
42, 8141, 8163, 8130, 8138, 8158, 8180, 8129, 8159, 8132, 8149, 8137, 8141, 8117, 8103,0.1374192237854004
43, 8133, 8162, 8198, 8136, 8158, 8193, 8146, 8174, 8132, 8150, 8124, 8144, 8116, 8111,0.15282177925109863
