COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp
73, 8153, 8180, 8188, 8171, 8206, 8281, 8179, 8186, 8226, 8155, 7923, 8185, 8168, 8104,0.005999565124511719
73, 8153, 8180, 8188, 8171, 8206, 8281, 8179, 8186, 8226, 8155, 7923, 8185, 8168, 8104,0.005999565124511719
74, 8130, 8160, 8177, 8153, 8224, 8293, 8191, 8184, 8140, 8165, 7948, 8147, 8164, 8099,0.013782501220703125
74, 8130, 8160, 8177, 8153, 8224, 8293, 8191, 8184, 8140, 8165, 7948, 8147, 8164, 8099,0.013782501220703125
75, 8157, 8192, 8207, 8170, 8220, 8284, 8178, 8202, 8248, 8166, 7942, 8193, 8173, 8113,0.02478480339050293
75, 8157, 8192, 8207, 8170, 8220, 8284, 8178, 8202, 8248, 8166, 7942, 8193, 8173, 8113,0.02478480339050293
76, 8158, 8163, 8192, 8163, 8215, 8263, 8183, 8189, 8180, 8174, 7928, 8165, 8161, 8110,0.029944181442260742
76, 8158, 8163, 8192, 8163, 8215, 8263, 8183, 8189, 8180, 8174, 7928, 8165, 8161, 8110,0.029944181442260742
77, 8153, 8164, 8188, 8160, 8199, 8263, 8180, 8186, 8176, 8160, 7929, 8174, 8165, 8119,0.03795599937438965
77, 8153, 8164, 8188, 8160, 8199, 8263, 8180, 8186, 8176, 8160, 7929, 8174, 8165, 8119,0.03795599937438965
78, 8142, 8177, 8205, 8161, 8188, 8254, 8167, 8201, 8252, 8163, 7943, 8197, 8172, 8111,0.04600358009338379
78, 8142, 8177, 8205, 8161, 8188, 8254, 8167, 8201, 8252, 8163, 7943, 8197, 8172, 8111,0.04600358009338379
79, 8157, 8155, 8193, 8160, 8210, 8250, 8179, 8194, 8158, 8196, 7951, 8155, 8159, 8098,0.054003000259399414
79, 8157, 8155, 8193, 8160, 8210, 8250, 8179, 8194, 8158, 8196, 7951, 8155, 8159, 8098,0.054003000259399414
80, 8175, 8176, 8190, 8163, 8197, 8259, 8173, 8185, 8214, 8159, 7927, 8185, 8159, 8100,0.06200265884399414
80, 8175, 8176, 8190, 8163, 8197, 8259, 8173, 8185, 8214, 8159, 7927, 8185, 8159, 8100,0.06200265884399414
