COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word
72, 7695, 6837, 6794, 6811, 9026, 6649, 7073, 7613, 7849, 8176, 7480, 7247, 7612, 8595,0.0046465396881103516,XXXXX
73, 8117, 8609, 9088, 9035, 8155, 8658, 8483, 8164, 8498, 8381, 8593, 8452, 8554, 8962,0.011225461959838867,XXXXX
74, 8260, 8280, 8242, 8419, 8088, 8159, 8203, 8160, 8285, 8273, 8454, 8887, 8351, 8875,0.01921391487121582,XXXXX
75, 8277, 8007, 8003, 7639, 8692, 7697, 7860, 7978, 8040, 8122, 7966, 8111, 8028, 8736,0.027083396911621094,XXXXX
76, 8146, 8190, 8402, 8215, 7763, 8252, 8259, 8381, 8225, 8224, 8239, 8300, 8344, 8750,0.035043954849243164,SQUEEZE
77, 7976, 8038, 8269, 8223, 8362, 8053, 8005, 8204, 8075, 8240, 8272, 8444, 8116, 8585,0.04281973838806152,SQUEEZE
78, 8392, 8312, 8305, 7888, 8595, 8083, 8203, 8344, 8190, 8193, 8117, 7824, 8325, 8954,0.0505979061126709,SQUEEZE
79, 7910, 7969, 8277, 7958, 8577, 8083, 8082, 8160, 8150, 8177, 8268, 8046, 8166, 8520,0.05835723876953125,SQUEEZE
80, 7964, 8096, 8302, 8168, 8593, 8141, 8080, 8078, 8081, 8099, 8291, 8545, 8112, 8473,0.06619405746459961,SQUEEZE
81, 8633, 8586, 8608, 8412, 8234, 8407, 8586, 8252, 8220, 8147, 8307, 8413, 8482, 9142,0.07556867599487305,SQUEEZE
82, 7638, 7465, 7692, 7704, 8264, 7680, 7751, 8141, 8048, 8292, 7975, 7835, 8002, 8281,0.08190751075744629,SQUEEZE
83, 7786, 8074, 8474, 8218, 8881, 8359, 8111, 8272, 8145, 8122, 8207, 8019, 8107, 8228,0.08969640731811523,SQUEEZE
84, 9631, 10147, 10054, 9824, 7651, 9719, 10033, 8447, 8194, 7897, 8794, 9306, 8796, 9730,0.09747791290283203,SQUEEZE
85, 8792, 7305, 6649, 7250, 6991, 6740, 8400, 8192, 7977, 8434, 7129, 7430, 7941, 9099,0.10683894157409668,SQUEEZE
86, 7540, 6970, 7504, 8222, 8858, 7285, 7247, 7952, 8490, 8596, 8187, 8646, 7785, 7860,0.11454033851623535,SQUEEZE
87, 7422, 8178, 8325, 8285, 9351, 8211, 7729, 8130, 8137, 7989, 8512, 9911, 8251, 7473,0.12231564521789551,SQUEEZE
88, 8243, 7438, 6721, 6309, 7871, 6990, 8060, 8509, 7637, 7971, 7017, 7108, 8286, 8314,0.1301283836364746,SQUEEZE
89, 8452, 8540, 8898, 9082, 8170, 8774, 8356, 8010, 8231, 8268, 8766, 8725, 8261, 8505,0.13816189765930176,SQUEEZE
90, 7525, 8313, 8435, 8549, 8645, 8344, 7829, 7802, 8173, 8327, 8192, 8987, 8041, 7509,0.14618873596191406,SQUEEZE
91, 8348, 8498, 8307, 8002, 7670, 8155, 8495, 8336, 8027, 8220, 7691, 7841, 8363, 8189,0.15253710746765137,SQUEEZE
92, 8394, 8409, 8449, 8513, 8081, 8403, 8412, 8166, 7912, 8041, 8536, 8785, 8180, 8161,0.1604321002960205,SQUEEZE
93, 7953, 7787, 7610, 7601, 8633, 7877, 7986, 8200, 7842, 8039, 7966, 8270, 8047, 7883,0.16833782196044922,SQUEEZE
94, 8262, 8493, 8476, 8532, 8099, 8647, 8377, 8300, 8102, 8145, 8440, 8538, 8237, 8352,0.17731475830078125,SQUEEZE
95, 7937, 8261, 8209, 8313, 8038, 8212, 8037, 8007, 8098, 8222, 8300, 9104, 8068, 8066,0.18508434295654297,SQUEEZE
96, 7827, 7568, 7103, 6682, 8109, 7302, 7720, 8228, 7887, 8234, 7130, 7437, 7927, 7953,0.1929786205291748,SQUEEZE
97, 8562, 9194, 9529, 9831, 8152, 9566, 8663, 8110, 8247, 8210, 9225, 8546, 8311, 8531,0.20108890533447266,SQUEEZE
98, 8104, 8615, 8571, 10146, 7680, 8875, 8187, 8362, 8652, 8248, 9942, 11440, 8690, 8146,0.20835614204406738,SQUEEZE
99, 6455, 4166, 2678, 3012, 9251, 3450, 5561, 8148, 7554, 8291, 5719, 7485, 7418, 7254,0.21625304222106934,SQUEEZE
100, 7928, 7221, 7234, 6419, 10125, 7007, 7597, 7791, 7892, 8297, 7347, 6528, 7821, 9001,0.2244100570678711,SQUEEZE
101, 8857, 9969, 10751, 10994, 8307, 10343, 9457, 8407, 8697, 8178, 9739, 9667, 8861, 9558,0.23199868202209473,SQUEEZE
102, 7668, 7168, 7089, 7258, 8208, 7043, 7558, 8133, 7895, 8130, 7578, 8252, 7966, 8448,0.2398087978363037,SQUEEZE
