COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word
53, 8134, 8169, 8173, 8165, 8139, 8131, 8138, 8135, 8126, 8120, 8141, 8159, 8181, 8127,0.005048036575317383,XXXXX
54, 8123, 8154, 8162, 8146, 8135, 8126, 8136, 8135, 8125, 8126, 8137, 8154, 8178, 8119,0.012878179550170898,XXXXX
55, 8142, 8159, 8173, 8158, 8149, 8149, 8148, 8145, 8135, 8135, 8141, 8168, 8165, 8132,0.02083110809326172,XXXXX
56, 8153, 8182, 8186, 8174, 8150, 8148, 8152, 8155, 8143, 8132, 8144, 8184, 8186, 8152,0.02863001823425293,XXXXX
57, 8135, 8157, 8173, 8153, 8139, 8130, 8146, 8156, 8140, 8133, 8135, 8162, 8156, 8127,0.03650927543640137,XXXXX
58, 8133, 8155, 8164, 8138, 8133, 8131, 8152, 8159, 8137, 8133, 8130, 8153, 8171, 8130,0.04430079460144043,XXXXX
59, 8155, 8171, 8170, 8153, 8142, 8145, 8166, 8168, 8147, 8135, 8132, 8162, 8170, 8148,0.052084922790527344,XXXXX
60, 8160, 8168, 8176, 8155, 8147, 8148, 8170, 8166, 8152, 8138, 8127, 8160, 8153, 8140,0.05985569953918457,XXXXX
61, 8155, 8179, 8176, 8145, 8149, 8157, 8175, 8169, 8155, 8144, 8133, 8167, 8186, 8159,0.06750822067260742,XXXXX
62, 8175, 8178, 8183, 8156, 8153, 8174, 8188, 8184, 8165, 8159, 8153, 8182, 8178, 8172,0.07684636116027832,XXXXX
63, 8193, 8188, 8204, 8169, 8149, 8166, 8186, 8182, 8161, 8161, 8164, 8200, 8198, 8185,0.08329296112060547,XXXXX
64, 8185, 8188, 8204, 8163, 8149, 8157, 8178, 8171, 8153, 8150, 8161, 8195, 8194, 8183,0.0911552906036377,XXXXX
65, 8168, 8167, 8182, 8150, 8148, 8158, 8175, 8161, 8144, 8141, 8145, 8179, 8167, 8155,0.09915971755981445,XXXXX
66, 8176, 8179, 8182, 8150, 8143, 8152, 8169, 8146, 8133, 8139, 8137, 8186, 8201, 8164,0.10680580139160156,XXXXX
67, 8195, 8182, 8206, 8160, 8161, 8158, 8173, 8156, 8150, 8150, 8152, 8198, 8186, 8170,0.11453080177307129,XXXXX
68, 8202, 8193, 8216, 8175, 8177, 8162, 8182, 8179, 8168, 8151, 8171, 8211, 8193, 8176,0.12229251861572266,XXXXX
69, 8195, 8198, 8203, 8174, 8169, 8153, 8176, 8171, 8163, 8149, 8168, 8205, 8198, 8175,0.13044214248657227,XXXXX
70, 8180, 8177, 8197, 8162, 8163, 8143, 8168, 8151, 8154, 8157, 8162, 8183, 8169, 8150,0.13933992385864258,XXXXX
71, 8171, 8184, 8196, 8161, 8163, 8136, 8168, 8147, 8147, 8147, 8162, 8183, 8188, 8149,0.14580297470092773,XXXXX
72, 8172, 8179, 8188, 8157, 8166, 8142, 8170, 8155, 8149, 8139, 8161, 8185, 8169, 8149,0.15384173393249512,XXXXX
73, 8173, 8172, 8186, 8146, 8162, 8139, 8169, 8160, 8154, 8145, 8162, 8191, 8176, 8155,0.16179323196411133,XXXXX
74, 8166, 8175, 8183, 8139, 8150, 8125, 8168, 8163, 8153, 8155, 8150, 8186, 8191, 8159,0.1697371006011963,XXXXX
75, 8160, 8158, 8169, 8136, 8147, 8119, 8159, 8163, 8148, 8152, 8134, 8164, 8166, 8132,0.17775464057922363,XXXXX
76, 8158, 8169, 8169, 8130, 8146, 8126, 8155, 8149, 8138, 8132, 8131, 8170, 8191, 8135,0.18565773963928223,XXXXX
77, 8162, 8173, 8179, 8127, 8155, 8140, 8165, 8146, 8144, 8135, 8136, 8179, 8175, 8143,0.19373464584350586,XXXXX
78, 8169, 8171, 8181, 8134, 8161, 8135, 8162, 8154, 8149, 8150, 8144, 8185, 8177, 8151,0.20150470733642578,XXXXX
79, 8165, 8183, 8182, 8130, 8158, 8127, 8151, 8153, 8144, 8149, 8145, 8187, 8197, 8163,0.20929193496704102,XXXXX
80, 8158, 8170, 8178, 8126, 8150, 8134, 8153, 8143, 8134, 8138, 8136, 8174, 8158, 8139,0.21723484992980957,XXXXX
81, 8158, 8174, 8174, 8137, 8144, 8137, 8148, 8133, 8114, 8129, 8131, 8176, 8177, 8137,0.22504425048828125,XXXXX
82, 8165, 8174, 8170, 8141, 8150, 8137, 8138, 8130, 8116, 8136, 8137, 8178, 8173, 8143,0.2330617904663086,XXXXX
83, 8162, 8164, 8170, 8134, 8152, 8130, 8140, 8127, 8124, 8134, 8134, 8173, 8161, 8134,0.24105286598205566,XXXXX
84, 8154, 8170, 8171, 8134, 8144, 8122, 8142, 8127, 8115, 8124, 8128, 8171, 8178, 8137,0.24873590469360352,XXXXX
85, 8159, 8164, 8167, 8126, 8146, 8139, 8151, 8142, 8126, 8142, 8131, 8170, 8159, 8142,0.2565793991088867,XXXXX
86, 8170, 8177, 8174, 8118, 8158, 8152, 8166, 8152, 8147, 8158, 8136, 8183, 8188, 8162,0.26450061798095703,XXXXX
87, 8164, 8174, 8177, 8127, 8163, 8145, 8164, 8150, 8147, 8154, 8139, 8179, 8176, 8151,0.272442102432251,XXXXX
88, 8149, 8154, 8155, 8123, 8149, 8137, 8150, 8130, 8123, 8131, 8132, 8156, 8146, 8126,0.2797365188598633,XXXXX
89, 8135, 8158, 8131, 8098, 8139, 8139, 8146, 8113, 8108, 8108, 8113, 8142, 8171, 8135,0.28755688667297363,XXXXX
90, 8136, 8146, 8125, 8088, 8147, 8146, 8154, 8122, 8122, 8108, 8097, 8135, 8158, 8127,0.29531145095825195,XXXXX
91, 8153, 8163, 8146, 8106, 8152, 8147, 8161, 8147, 8137, 8125, 8111, 8157, 8176, 8139,0.30478739738464355,XXXXX
92, 8171, 8185, 8163, 8126, 8159, 8161, 8175, 8169, 8151, 8153, 8137, 8174, 8179, 8164,0.31260180473327637,XXXXX
93, 8169, 8174, 8157, 8126, 8165, 8168, 8181, 8175, 8159, 8163, 8134, 8166, 8171, 8158,0.32067370414733887,XXXXX
94, 8172, 8180, 8163, 8128, 8172, 8171, 8187, 8177, 8166, 8161, 8135, 8174, 8201, 8168,0.3283693790435791,XXXXX
95, 8188, 8186, 8182, 8147, 8187, 8195, 8203, 8190, 8183, 8174, 8164, 8187, 8177, 8170,0.33621764183044434,XXXXX
96, 8179, 8190, 8176, 8153, 8183, 8186, 8189, 8175, 8170, 8167, 8163, 8184, 8183, 8154,0.3425331115722656,XXXXX
97, 8148, 8168, 8141, 8121, 8157, 8152, 8161, 8147, 8146, 8147, 8127, 8163, 8177, 8132,0.3503396511077881,XXXXX
98, 8134, 8146, 8128, 8100, 8147, 8149, 8166, 8149, 8149, 8140, 8125, 8149, 8152, 8118,0.3599395751953125,XXXXX
99, 8137, 8161, 8135, 8102, 8150, 8163, 8181, 8163, 8159, 8133, 8130, 8148, 8179, 8132,0.3678586483001709,XXXXX
100, 8131, 8146, 8117, 8094, 8150, 8170, 8181, 8162, 8158, 8133, 8105, 8128, 8152, 8111,0.374727725982666,XXXXX
101, 8129, 8148, 8111, 8099, 8155, 8172, 8185, 8159, 8158, 8142, 8108, 8130, 8164, 8111,0.3824918270111084,XXXXX
102, 8147, 8172, 8131, 8116, 8162, 8177, 8192, 8174, 8170, 8150, 8138, 8147, 8184, 8150,0.39028406143188477,XXXXX
103, 8160, 8162, 8139, 8112, 8155, 8172, 8183, 8183, 8174, 8152, 8136, 8146, 8153, 8149,0.3984544277191162,XXXXX
104, 8160, 8166, 8141, 8112, 8145, 8157, 8167, 8176, 8163, 8141, 8121, 8152, 8174, 8149,0.4064633846282959,XXXXX
105, 8160, 8167, 8145, 8115, 8157, 8164, 8169, 8174, 8167, 8139, 8128, 8158, 8163, 8152,0.4145951271057129,XXXXX
106, 8167, 8167, 8145, 8110, 8164, 8170, 8177, 8174, 8171, 8143, 8133, 8163, 8166, 8158,0.4226109981536865,XXXXX
107, 8166, 8173, 8146, 8112, 8159, 8167, 8175, 8171, 8169, 8142, 8127, 8165, 8178, 8160,0.43055033683776855,XXXXX
108, 8160, 8161, 8154, 8117, 8159, 8170, 8175, 8161, 8170, 8148, 8125, 8160, 8152, 8141,0.43835902214050293,XXXXX
109, 8171, 8172, 8160, 8116, 8155, 8172, 8177, 8150, 8167, 8162, 8139, 8177, 8178, 8157,0.4464139938354492,XXXXX
110, 8187, 8174, 8166, 8123, 8158, 8179, 8174, 8156, 8172, 8168, 8161, 8191, 8176, 8164,0.45432400703430176,XXXXX
111, 8177, 8165, 8170, 8126, 8164, 8173, 8161, 8163, 8174, 8157, 8166, 8187, 8176, 8147,0.46213579177856445,XXXXX
112, 8154, 8164, 8155, 8114, 8161, 8160, 8153, 8159, 8172, 8166, 8160, 8174, 8187, 8145,0.4700503349304199,XXXXX
113, 8152, 8154, 8143, 8113, 8156, 8162, 8152, 8162, 8184, 8188, 8162, 8164, 8159, 8138,0.4766843318939209,XXXXX
114, 8161, 8173, 8154, 8124, 8155, 8160, 8150, 8167, 8182, 8176, 8162, 8175, 8186, 8148,0.4857945442199707,XXXXX
115, 8160, 8175, 8161, 8128, 8164, 8156, 8153, 8157, 8173, 8169, 8156, 8171, 8173, 8145,0.493516206741333,XXXXX
116, 8158, 8170, 8160, 8133, 8163, 8152, 8157, 8144, 8170, 8176, 8154, 8165, 8161, 8136,0.5014081001281738,XXXXX
117, 8157, 8190, 8161, 8142, 8164, 8159, 8165, 8148, 8170, 8174, 8163, 8175, 8191, 8151,0.5092322826385498,XXXXX
118, 8162, 8181, 8156, 8142, 8181, 8174, 8171, 8159, 8178, 8177, 8166, 8169, 8164, 8142,0.5169038772583008,XXXXX
119, 8161, 8182, 8156, 8139, 8180, 8167, 8166, 8155, 8175, 8172, 8152, 8166, 8174, 8139,0.5246460437774658,XXXXX
120, 8145, 8180, 8148, 8132, 8169, 8159, 8166, 8147, 8167, 8163, 8131, 8156, 8166, 8131,0.5324599742889404,XXXXX
121, 8133, 8159, 8134, 8124, 8165, 8160, 8161, 8144, 8160, 8162, 8125, 8145, 8149, 8111,0.5405349731445312,XXXXX
122, 8130, 8155, 8135, 8116, 8155, 8152, 8147, 8144, 8156, 8161, 8139, 8149, 8175, 8121,0.5484366416931152,XXXXX
123, 8134, 8147, 8142, 8113, 8149, 8149, 8148, 8156, 8167, 8165, 8153, 8149, 8154, 8118,0.5561399459838867,XXXXX
124, 8144, 8167, 8146, 8124, 8150, 8153, 8160, 8157, 8166, 8165, 8156, 8161, 8174, 8124,0.5638518333435059,XXXXX
125, 8155, 8171, 8150, 8130, 8153, 8153, 8158, 8146, 8159, 8165, 8155, 8171, 8177, 8135,0.5714733600616455,XXXXX
126, 8160, 8160, 8159, 8130, 8163, 8159, 8152, 8147, 8159, 8163, 8159, 8179, 8158, 8136,0.5808300971984863,XXXXX
