COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word
112, 6334, 6229, 6277, 6704, 6236, 6264, 6259, 6222, 6229, 6223, 6244, 6253, 6416, 8009,0.005814075469970703,XXXXX
113, 6256, 6247, 6280, 6760, 6271, 6280, 6266, 6214, 6224, 6226, 6233, 6223, 6370, 7946,0.013451576232910156,SQUEEZE
114, 6409, 6241, 6193, 6727, 6193, 6201, 6167, 6285, 6249, 6235, 6260, 6285, 6516, 8133,0.021224021911621094,SQUEEZE
115, 6247, 6245, 6336, 6921, 6270, 6300, 6277, 6185, 6214, 6222, 6239, 6228, 6339, 7885,0.029180049896240234,SQUEEZE
116, 6366, 6248, 6199, 6683, 6226, 6195, 6178, 6271, 6253, 6235, 6252, 6264, 6464, 8076,0.038472652435302734,SQUEEZE
117, 6349, 6226, 6230, 6787, 6229, 6256, 6232, 6230, 6232, 6232, 6259, 6259, 6445, 8033,0.04642343521118164,SQUEEZE
118, 6256, 6235, 6265, 6930, 6272, 6283, 6272, 6194, 6221, 6231, 6242, 6230, 6365, 7929,0.0541989803314209,SQUEEZE
119, 6417, 6251, 6203, 6704, 6217, 6212, 6202, 6295, 6268, 6246, 6265, 6289, 6526, 8139,0.060461997985839844,SQUEEZE
120, 6268, 6259, 6348, 6790, 6290, 6330, 6305, 6212, 6230, 6232, 6250, 6231, 6373, 7921,0.06824684143066406,SQUEEZE
121, 6368, 6259, 6224, 6682, 6239, 6217, 6186, 6283, 6259, 6240, 6264, 6276, 6476, 8078,0.07764410972595215,SQUEEZE
122, 6363, 6247, 6267, 6842, 6229, 6243, 6224, 6255, 6261, 6245, 6267, 6282, 6466, 8036,0.08545184135437012,SQUEEZE
123, 6235, 6256, 6314, 6961, 6280, 6290, 6282, 6201, 6236, 6240, 6246, 6229, 6354, 7896,0.09326839447021484,SQUEEZE
124, 6419, 6253, 6188, 6674, 6211, 6193, 6180, 6305, 6269, 6256, 6276, 6297, 6528, 8147,0.1010441780090332,SQUEEZE
125, 6287, 6251, 6333, 6783, 6283, 6314, 6308, 6214, 6234, 6250, 6260, 6249, 6376, 7921,0.1088716983795166,SQUEEZE
126, 6348, 6267, 6246, 6730, 6259, 6248, 6238, 6280, 6258, 6252, 6263, 6271, 6452, 8042,0.1166532039642334,SQUEEZE
127, 6387, 6261, 6263, 6819, 6243, 6254, 6228, 6293, 6263, 6255, 6276, 6291, 6495, 8083,0.12444400787353516,SQUEEZE
239, 6263, 6263, 6341, 6957, 6301, 6291, 6274, 6227, 6245, 6254, 6259, 6242, 6369, 7909,0.13228678703308105,SQUEEZE
0, 6440, 6267, 6204, 6699, 6224, 6195, 6177, 6314, 6282, 6263, 6285, 6308, 6533, 8144,0.140153169631958,SQUEEZE
1, 6286, 6261, 6311, 6835, 6286, 6339, 6312, 6210, 6240, 6250, 6266, 6257, 6387, 7942,0.14812636375427246,SQUEEZE
2, 6322, 6267, 6244, 6778, 6269, 6266, 6249, 6259, 6266, 6261, 6268, 6268, 6442, 8030,0.1559462547302246,SQUEEZE
3, 6421, 6275, 6277, 6772, 6239, 6238, 6227, 6301, 6290, 6263, 6289, 6308, 6519, 8103,0.16367411613464355,SQUEEZE
4, 6264, 6283, 6371, 6887, 6312, 6326, 6314, 6233, 6251, 6251, 6265, 6251, 6361, 7888,0.1714773178100586,SQUEEZE
5, 6420, 6271, 6201, 6681, 6234, 6214, 6190, 6325, 6285, 6272, 6291, 6305, 6526, 8125,0.17956042289733887,SQUEEZE
6, 6317, 6259, 6311, 6931, 6282, 6300, 6280, 6234, 6259, 6268, 6282, 6273, 6415, 7963,0.18724799156188965,SQUEEZE
7, 6328, 6273, 6277, 6903, 6289, 6264, 6253, 6267, 6272, 6266, 6276, 6280, 6436, 8014,0.1950693130493164,SQUEEZE
8, 6431, 6279, 6258, 6715, 6255, 6265, 6244, 6317, 6289, 6272, 6301, 6315, 6534, 8128,0.20302271842956543,SQUEEZE
9, 6271, 6282, 6358, 6834, 6328, 6355, 6338, 6232, 6253, 6262, 6277, 6259, 6376, 7906,0.21087908744812012,SQUEEZE
10, 6428, 6278, 6225, 6728, 6249, 6225, 6208, 6333, 6299, 6276, 6291, 6325, 6538, 8140,0.21884679794311523,SQUEEZE
11, 6336, 6280, 6351, 6933, 6291, 6318, 6295, 6263, 6274, 6271, 6291, 6290, 6441, 7985,0.22672390937805176,SQUEEZE
12, 6321, 6294, 6310, 6867, 6304, 6288, 6274, 6272, 6269, 6274, 6293, 6277, 6425, 7979,0.23623299598693848,SQUEEZE
13, 6455, 6278, 6229, 6699, 6241, 6239, 6229, 6317, 6289, 6287, 6312, 6329, 6545, 8147,0.242171049118042,SQUEEZE
14, 6272, 6279, 6351, 6904, 6324, 6357, 6350, 6212, 6257, 6277, 6282, 6264, 6383, 7917,0.2519032955169678,SQUEEZE
15, 6410, 6294, 6241, 6764, 6271, 6247, 6235, 6324, 6303, 6289, 6303, 6322, 6536, 8128,0.2582271099090576,SQUEEZE
16, 6361, 6291, 6347, 6850, 6296, 6314, 6294, 6285, 6287, 6288, 6306, 6308, 6467, 8013,0.2662622928619385,SQUEEZE
17, 6315, 6295, 6330, 6801, 6317, 6311, 6291, 6269, 6281, 6287, 6294, 6283, 6426, 7966,0.27400660514831543,SQUEEZE
18, 6460, 6293, 6240, 6726, 6255, 6250, 6229, 6336, 6312, 6296, 6315, 6340, 6569, 8153,0.28179216384887695,SQUEEZE
19, 6284, 6291, 6369, 7031, 6333, 6364, 6354, 6242, 6268, 6286, 6294, 6282, 6396, 7911,0.28949999809265137,SQUEEZE
20, 6415, 6295, 6247, 6802, 6281, 6258, 6251, 6328, 6300, 6294, 6313, 6329, 6525, 8110,0.2973337173461914,SQUEEZE
21, 6401, 6303, 6332, 6770, 6298, 6317, 6303, 6296, 6300, 6295, 6312, 6322, 6489, 8049,0.3050987720489502,SQUEEZE
22, 6314, 6313, 6359, 6823, 6338, 6336, 6321, 6284, 6297, 6301, 6296, 6292, 6420, 7960,0.31447649002075195,SQUEEZE
23, 6464, 6304, 6257, 6752, 6266, 6253, 6231, 6365, 6326, 6314, 6323, 6352, 6575, 8161,0.32074952125549316,SQUEEZE
24, 6301, 6308, 6380, 7027, 6338, 6360, 6341, 6254, 6283, 6295, 6301, 6290, 6409, 7912,0.3286170959472656,SQUEEZE
25, 6413, 6307, 6266, 6828, 6292, 6263, 6247, 6329, 6312, 6304, 6315, 6327, 6523, 8090,0.3365178108215332,SQUEEZE
26, 6419, 6301, 6324, 6746, 6299, 6318, 6296, 6312, 6309, 6306, 6325, 6332, 6518, 8080,0.3442716598510742,SQUEEZE
27, 6298, 6315, 6369, 6832, 6355, 6361, 6346, 6269, 6292, 6298, 6305, 6293, 6414, 7943,0.35213303565979004,SQUEEZE
28, 6469, 6321, 6263, 6767, 6281, 6267, 6244, 6366, 6333, 6310, 6332, 6357, 6589, 8168,0.3615248203277588,SQUEEZE
29, 6328, 6319, 6398, 6980, 6347, 6375, 6347, 6274, 6299, 6303, 6314, 6302, 6433, 7945,0.3693387508392334,SQUEEZE
30, 6406, 6315, 6279, 6786, 6306, 6278, 6258, 6337, 6323, 6310, 6317, 6331, 6507, 8071,0.37712526321411133,SQUEEZE
31, 6436, 6315, 6307, 6784, 6294, 6305, 6295, 6323, 6318, 6312, 6326, 6345, 6536, 8083,0.3850400447845459,SQUEEZE
32, 6296, 6324, 6388, 6942, 6361, 6370, 6366, 6257, 6294, 6305, 6307, 6293, 6410, 7921,0.39129161834716797,SQUEEZE
33, 6471, 6321, 6259, 6755, 6289, 6270, 6250, 6377, 6343, 6317, 6338, 6364, 6582, 8171,0.3990976810455322,SQUEEZE
34, 6345, 6328, 6387, 6903, 6353, 6392, 6365, 6298, 6309, 6308, 6324, 6319, 6451, 7970,0.4071540832519531,SQUEEZE
35, 6395, 6334, 6309, 6791, 6326, 6314, 6295, 6341, 6325, 6319, 6323, 6332, 6507, 8054,0.41641807556152344,SQUEEZE
36, 6458, 6318, 6310, 6817, 6293, 6298, 6281, 6354, 6334, 6326, 6341, 6360, 6553, 8102,0.42429351806640625,SQUEEZE
37, 6303, 6330, 6397, 7017, 6366, 6375, 6360, 6278, 6305, 6315, 6323, 6305, 6409, 7918,0.43210721015930176,SQUEEZE
38, 6481, 6337, 6264, 6766, 6294, 6280, 6266, 6379, 6345, 6328, 6347, 6371, 6595, 8182,0.43990635871887207,SQUEEZE
39, 6369, 6327, 6384, 6853, 6351, 6395, 6388, 6299, 6309, 6325, 6339, 6329, 6474, 7997,0.44768238067626953,SQUEEZE
40, 6381, 6335, 6328, 6813, 6352, 6338, 6330, 6330, 6327, 6331, 6339, 6331, 6494, 8042,0.4542551040649414,SQUEEZE
41, 6477, 6336, 6310, 6833, 6310, 6309, 6292, 6363, 6348, 6338, 6353, 6375, 6580, 8143,0.4622507095336914,SQUEEZE
42, 6323, 6341, 6415, 7015, 6375, 6395, 6380, 6288, 6314, 6329, 6326, 6322, 6428, 7925,0.4710521697998047,SQUEEZE
43, 6483, 6338, 6277, 6760, 6302, 6284, 6261, 6390, 6352, 6338, 6353, 6375, 6596, 8165,0.47860217094421387,SQUEEZE
44, 6381, 6330, 6378, 6880, 6351, 6384, 6363, 6298, 6322, 6328, 6346, 6335, 6489, 8018,0.48636674880981445,SQUEEZE
