COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word
9, 8145, 8149, 8152, 8104, 8097, 8110, 8125, 8149, 8149, 8162, 8144, 8145, 8269, 9305,0.005796194076538086,XXXXX
10, 8137, 8080, 8117, 8138, 8082, 8130, 8154, 8149, 8152, 8162, 8147, 8170, 8260, 9284,0.013524055480957031,XXXXX
11, 8069, 8188, 8161, 8157, 8225, 8164, 8104, 8146, 8160, 8156, 8128, 8120, 8213, 9178,0.021401166915893555,XXXXX
12, 8214, 8075, 8129, 8100, 8030, 8102, 8146, 8160, 8141, 8164, 8160, 8189, 8300, 9377,0.029194116592407227,XXXXX
13, 8071, 8164, 8128, 8167, 8177, 8161, 8138, 8134, 8143, 8162, 8142, 8137, 8225, 9195,0.03696012496948242,XXXXX
14, 8136, 8166, 8151, 8109, 8152, 8114, 8114, 8140, 8148, 8158, 8142, 8149, 8257, 9283,0.0447084903717041,XXXXX
15, 8157, 8085, 8119, 8133, 8061, 8124, 8161, 8163, 8150, 8158, 8148, 8175, 8271, 9326,0.05260968208312988,XXXXX
16, 8070, 8195, 8162, 8155, 8198, 8168, 8116, 8150, 8160, 8159, 8129, 8118, 8214, 9180,0.06056833267211914,XXXXX
17, 8219, 8068, 8133, 8090, 8032, 8095, 8142, 8159, 8150, 8164, 8164, 8192, 8298, 9354,0.06844758987426758,XXXXX
18, 8086, 8130, 8125, 8165, 8163, 8155, 8135, 8148, 8150, 8158, 8147, 8145, 8231, 9191,0.07639908790588379,XXXXX
19, 8124, 8178, 8158, 8119, 8179, 8136, 8105, 8132, 8152, 8156, 8141, 8133, 8245, 9260,0.08442091941833496,XXXXX
20, 8180, 8081, 8122, 8123, 8058, 8125, 8160, 8143, 8146, 8160, 8160, 8189, 8279, 9349,0.09238386154174805,XXXXX
21, 8057, 8193, 8159, 8161, 8202, 8163, 8121, 8149, 8150, 8157, 8132, 8126, 8211, 9161,0.09860801696777344,XXXXX
22, 8180, 8100, 8138, 8102, 8062, 8103, 8141, 8152, 8141, 8159, 8147, 8163, 8275, 9320,0.10788416862487793,XXXXX
23, 8109, 8109, 8126, 8167, 8137, 8156, 8145, 8140, 8150, 8155, 8150, 8147, 8237, 9231,0.11564207077026367,XXXXX
24, 8137, 8153, 8164, 8131, 8174, 8141, 8110, 8147, 8151, 8153, 8147, 8145, 8246, 9241,0.12337183952331543,XXXXX
25, 8180, 8076, 8119, 8123, 8066, 8121, 8154, 8148, 8137, 8158, 8154, 8179, 8278, 9336,0.13132190704345703,XXXXX
26, 8059, 8203, 8147, 8160, 8219, 8163, 8114, 8124, 8148, 8157, 8128, 8121, 8220, 9203,0.13936161994934082,XXXXX
27, 8181, 8118, 8140, 8105, 8076, 8106, 8140, 8144, 8148, 8158, 8147, 8174, 8286, 9355,0.14736437797546387,XXXXX
28, 8086, 8113, 8122, 8173, 8115, 8152, 8160, 8148, 8146, 8157, 8141, 8144, 8236, 9249,0.15520191192626953,XXXXX
29, 8109, 8162, 8161, 8125, 8156, 8127, 8112, 8139, 8147, 8156, 8137, 8124, 8243, 9257,0.16164016723632812,XXXXX
30, 8213, 8055, 8119, 8103, 8028, 8101, 8161, 8152, 8146, 8156, 8160, 8191, 8293, 9349,0.16948151588439941,XXXXX
31, 8066, 8191, 8149, 8170, 8224, 8175, 8124, 8141, 8157, 8155, 8132, 8132, 8210, 9144,0.1788630485534668,XXXXX
32, 8178, 8132, 8153, 8108, 8109, 8121, 8127, 8139, 8145, 8162, 8145, 8169, 8281, 9336,0.18667912483215332,XXXXX
33, 8106, 8116, 8121, 8160, 8109, 8150, 8155, 8135, 8141, 8161, 8146, 8149, 8253, 9277,0.19466519355773926,XXXXX
34, 8074, 8196, 8153, 8136, 8181, 8137, 8110, 8138, 8150, 8161, 8136, 8113, 8230, 9201,0.20258235931396484,XXXXX
35, 8200, 8066, 8120, 8112, 8033, 8102, 8150, 8151, 8143, 8160, 8162, 8183, 8288, 9343,0.2103409767150879,XXXXX
36, 8077, 8168, 8147, 8186, 8206, 8180, 8120, 8139, 8151, 8155, 8140, 8125, 8210, 9182,0.21819138526916504,XXXXX
37, 8177, 8124, 8147, 8109, 8104, 8114, 8122, 8150, 8143, 8162, 8150, 8157, 8271, 9325,0.2260596752166748,XXXXX
38, 8116, 8098, 8109, 8151, 8105, 8142, 8159, 8141, 8142, 8160, 8152, 8158, 8249, 9241,0.23258399963378906,XXXXX
39, 8070, 8200, 8162, 8151, 8210, 8161, 8112, 8125, 8152, 8155, 8139, 8116, 8222, 9161,0.24188876152038574,XXXXX
40, 8201, 8073, 8131, 8109, 8021, 8107, 8158, 8150, 8137, 8156, 8160, 8178, 8296, 9374,0.24996495246887207,XXXXX
41, 8047, 8160, 8134, 8178, 8175, 8169, 8141, 8147, 8141, 8153, 8134, 8119, 8205, 9181,0.2564990520477295,XXXXX
42, 8153, 8132, 8149, 8108, 8107, 8112, 8122, 8144, 8146, 8158, 8151, 8158, 8257, 9282,0.2657468318939209,XXXXX
43, 8157, 8103, 8120, 8143, 8090, 8136, 8150, 8140, 8142, 8159, 8158, 8179, 8271, 9305,0.27350378036499023,XXXXX
44, 8079, 8223, 8164, 8158, 8242, 8174, 8105, 8138, 8146, 8154, 8134, 8122, 8225, 9209,0.28133153915405273,XXXXX
