COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word
50, 8164, 8172, 8176, 8168, 8158, 8159, 8168, 8166, 8158, 8185, 8169, 8181, 8285, 9640,0.0076482295989990234,XXXXX
51, 8074, 8151, 8191, 8208, 8172, 8180, 8171, 8164, 8186, 8190, 8212, 8203, 8264, 9586,0.015462875366210938,XXXXX
52, 8322, 8195, 8127, 8070, 8170, 8151, 8153, 8164, 8165, 8177, 8078, 8139, 8296, 9709,0.02348947525024414,XXXXX
53, 8093, 8151, 8189, 8207, 8173, 8176, 8167, 8159, 8174, 8181, 8226, 8211, 8265, 9531,0.03149867057800293,XXXXX
54, 8222, 8168, 8156, 8137, 8158, 8157, 8153, 8172, 8163, 8183, 8149, 8169, 8282, 9663,0.03946828842163086,XXXXX
55, 8230, 8172, 8178, 8166, 8167, 8164, 8152, 8166, 8165, 8187, 8149, 8173, 8283, 9712,0.04735898971557617,XXXXX
56, 8122, 8144, 8190, 8210, 8171, 8183, 8164, 8164, 8186, 8186, 8199, 8194, 8259, 9617,0.055379629135131836,XXXXX
57, 8339, 8190, 8133, 8078, 8157, 8150, 8147, 8174, 8159, 8177, 8068, 8128, 8297, 9723,0.0633230209350586,XXXXX
58, 8092, 8152, 8198, 8218, 8177, 8180, 8163, 8160, 8180, 8188, 8222, 8207, 8261, 9555,0.07062649726867676,XXXXX
59, 8187, 8169, 8151, 8141, 8167, 8157, 8167, 8165, 8180, 8184, 8159, 8173, 8274, 9645,0.08020329475402832,XXXXX
60, 8223, 8185, 8160, 8144, 8163, 8149, 8162, 8166, 8165, 8177, 8135, 8162, 8286, 9684,0.08770918846130371,XXXXX
61, 8076, 8148, 8195, 8227, 8173, 8180, 8167, 8168, 8187, 8186, 8223, 8200, 8253, 9571,0.09571671485900879,XXXXX
62, 8305, 8186, 8126, 8086, 8155, 8148, 8155, 8175, 8168, 8183, 8087, 8133, 8297, 9713,0.10368704795837402,XXXXX
63, 8081, 8154, 8187, 8217, 8167, 8172, 8168, 8158, 8179, 8186, 8215, 8204, 8280, 9568,0.11155295372009277,XXXXX
64, 8167, 8169, 8157, 8153, 8162, 8166, 8161, 8166, 8178, 8179, 8172, 8178, 8282, 9629,0.11807823181152344,XXXXX
65, 8272, 8186, 8157, 8121, 8160, 8152, 8156, 8171, 8161, 8173, 8130, 8155, 8291, 9691,0.1259164810180664,XXXXX
66, 8082, 8140, 8202, 8228, 8173, 8177, 8172, 8168, 8181, 8183, 8226, 8203, 8258, 9565,0.133742094039917,XXXXX
67, 8297, 8189, 8118, 8078, 8161, 8149, 8157, 8172, 8163, 8182, 8070, 8135, 8298, 9720,0.14154481887817383,XXXXX
68, 8109, 8170, 8166, 8178, 8167, 8169, 8164, 8157, 8178, 8189, 8186, 8195, 8276, 9575,0.14955782890319824,XXXXX
69, 8155, 8161, 8169, 8161, 8163, 8161, 8163, 8166, 8180, 8183, 8186, 8185, 8265, 9601,0.15903377532958984,XXXXX
70, 8287, 8180, 8166, 8131, 8169, 8148, 8152, 8172, 8157, 8175, 8126, 8159, 8284, 9719,0.16695785522460938,XXXXX
71, 8049, 8143, 8197, 8244, 8180, 8185, 8167, 8164, 8181, 8186, 8230, 8208, 8256, 9575,0.17330217361450195,XXXXX
72, 8278, 8187, 8115, 8096, 8154, 8152, 8158, 8163, 8168, 8183, 8076, 8129, 8291, 9718,0.1806163787841797,XXXXX
73, 8177, 8164, 8162, 8176, 8164, 8162, 8162, 8155, 8178, 8184, 8171, 8186, 8274, 9620,0.18997621536254883,XXXXX
74, 8165, 8152, 8152, 8149, 8166, 8160, 8164, 8169, 8182, 8184, 8194, 8196, 8271, 9599,0.1976778507232666,XXXXX
75, 8293, 8186, 8133, 8085, 8156, 8144, 8157, 8170, 8159, 8179, 8125, 8158, 8298, 9702,0.20543932914733887,XXXXX
76, 8046, 8145, 8200, 8234, 8168, 8181, 8169, 8155, 8187, 8182, 8258, 8222, 8256, 9554,0.2130434513092041,XXXXX
77, 8243, 8183, 8133, 8104, 8157, 8150, 8152, 8165, 8169, 8175, 8118, 8150, 8288, 9707,0.2219681739807129,XXXXX
78, 8150, 8166, 8173, 8175, 8167, 8164, 8161, 8164, 8171, 8181, 8181, 8185, 8279, 9644,0.2296741008758545,XXXXX
79, 8121, 8148, 8177, 8186, 8168, 8174, 8171, 8170, 8186, 8187, 8209, 8195, 8266, 9615,0.23570919036865234,XXXXX
80, 8306, 8188, 8137, 8092, 8161, 8149, 8154, 8171, 8160, 8181, 8091, 8136, 8303, 9749,0.24355030059814453,XXXXX
81, 8062, 8152, 8198, 8240, 8181, 8179, 8169, 8157, 8180, 8184, 8214, 8200, 8266, 9577,0.2528219223022461,XXXXX
82, 8276, 8188, 8129, 8110, 8163, 8152, 8164, 8168, 8171, 8181, 8100, 8142, 8283, 9689,0.26058006286621094,XXXXX
83, 8236, 8180, 8148, 8137, 8159, 8161, 8166, 8164, 8169, 8186, 8143, 8165, 8279, 9655,0.2684171199798584,XXXXX
84, 8102, 8152, 8168, 8188, 8164, 8175, 8169, 8162, 8182, 8183, 8199, 8193, 8262, 9587,0.27606987953186035,XXXXX
85, 8284, 8192, 8123, 8088, 8157, 8143, 8153, 8168, 8159, 8175, 8084, 8141, 8299, 9722,0.2845778465270996,XXXXX
86, 8101, 8149, 8176, 8202, 8168, 8173, 8170, 8161, 8181, 8191, 8218, 8210, 8266, 9581,0.29244256019592285,XXXXX
87, 8254, 8168, 8138, 8109, 8155, 8155, 8162, 8168, 8170, 8185, 8137, 8162, 8279, 9677,0.3002636432647705,XXXXX
88, 8180, 8174, 8179, 8170, 8165, 8161, 8159, 8169, 8160, 8178, 8165, 8177, 8272, 9652,0.3065073490142822,XXXXX
89, 8075, 8154, 8186, 8218, 8175, 8180, 8169, 8169, 8181, 8190, 8214, 8197, 8253, 9576,0.31606554985046387,XXXXX
90, 8319, 8192, 8111, 8067, 8154, 8145, 8157, 8163, 8162, 8186, 8079, 8134, 8302, 9699,0.32343459129333496,XXXXX
91, 8072, 8141, 8188, 8208, 8167, 8177, 8169, 8151, 8178, 8186, 8230, 8217, 8271, 9534,0.33136749267578125,XXXXX
