COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word
56, 8051, 8150, 8192, 8212, 8166, 8176, 8168, 8159, 8185, 8184, 8246, 8222, 8261, 9523,0.0022988319396972656,XXXXX
57, 8238, 8174, 8146, 8114, 8153, 8157, 8157, 8170, 8172, 8183, 8142, 8157, 8285, 9673,0.010136127471923828,XXXXX
58, 8229, 8179, 8169, 8155, 8163, 8165, 8161, 8167, 8168, 8185, 8136, 8154, 8288, 9660,0.017909526824951172,XXXXX
59, 8086, 8158, 8178, 8195, 8172, 8181, 8172, 8166, 8186, 8185, 8207, 8203, 8269, 9556,0.0256960391998291,XXXXX
60, 8276, 8196, 8118, 8065, 8161, 8146, 8155, 8172, 8158, 8177, 8095, 8156, 8313, 9710,0.03521013259887695,XXXXX
61, 8049, 8148, 8202, 8234, 8176, 8179, 8167, 8161, 8180, 8190, 8231, 8216, 8270, 9556,0.04180264472961426,XXXXX
62, 8200, 8168, 8168, 8158, 8167, 8163, 8163, 8165, 8180, 8187, 8148, 8161, 8278, 9647,0.050908565521240234,XXXXX
63, 8273, 8182, 8159, 8138, 8170, 8158, 8161, 8165, 8166, 8184, 8123, 8148, 8295, 9712,0.05726957321166992,XXXXX
64, 8119, 8147, 8173, 8207, 8177, 8182, 8171, 8167, 8185, 8188, 8202, 8195, 8267, 9595,0.06493973731994629,XXXXX
65, 8288, 8192, 8121, 8076, 8159, 8147, 8158, 8173, 8165, 8178, 8097, 8151, 8297, 9688,0.07271885871887207,XXXXX
66, 8061, 8162, 8201, 8213, 8170, 8170, 8166, 8160, 8180, 8183, 8241, 8215, 8270, 9559,0.08066272735595703,XXXXX
67, 8179, 8170, 8167, 8168, 8168, 8166, 8163, 8171, 8177, 8185, 8155, 8161, 8286, 9661,0.08979105949401855,XXXXX
68, 8267, 8182, 8149, 8133, 8164, 8159, 8167, 8173, 8165, 8183, 8099, 8143, 8298, 9709,0.09758281707763672,XXXXX
69, 8068, 8142, 8179, 8196, 8168, 8178, 8181, 8164, 8188, 8188, 8228, 8209, 8263, 9564,0.1057426929473877,XXXXX
70, 8267, 8187, 8126, 8072, 8152, 8146, 8157, 8171, 8163, 8183, 8115, 8151, 8300, 9696,0.1131744384765625,XXXXX
71, 8075, 8159, 8201, 8223, 8167, 8177, 8166, 8165, 8174, 8188, 8216, 8203, 8272, 9574,0.12089729309082031,XXXXX
72, 8139, 8166, 8171, 8177, 8166, 8171, 8174, 8172, 8181, 8184, 8162, 8170, 8269, 9642,0.1289834976196289,XXXXX
73, 8272, 8196, 8139, 8101, 8163, 8148, 8165, 8173, 8167, 8179, 8099, 8139, 8298, 9712,0.13710546493530273,XXXXX
74, 8052, 8145, 8198, 8218, 8169, 8176, 8170, 8166, 8187, 8190, 8239, 8214, 8268, 9520,0.14507150650024414,XXXXX
75, 8253, 8175, 8149, 8105, 8156, 8147, 8155, 8172, 8163, 8181, 8124, 8164, 8297, 9683,0.15295720100402832,XXXXX
76, 8128, 8158, 8189, 8196, 8176, 8163, 8161, 8165, 8170, 8181, 8212, 8206, 8276, 9633,0.16075587272644043,XXXXX
77, 8152, 8160, 8161, 8154, 8172, 8164, 8161, 8172, 8178, 8183, 8183, 8184, 8274, 9632,0.1687004566192627,XXXXX
78, 8279, 8192, 8138, 8095, 8162, 8151, 8156, 8172, 8159, 8178, 8094, 8144, 8302, 9704,0.17656230926513672,XXXXX
79, 8019, 8142, 8210, 8252, 8178, 8185, 8174, 8163, 8184, 8186, 8239, 8217, 8259, 9541,0.18442225456237793,XXXXX
80, 8222, 8177, 8144, 8112, 8160, 8151, 8156, 8173, 8171, 8182, 8114, 8156, 8289, 9694,0.19058752059936523,XXXXX
81, 8153, 8168, 8155, 8149, 8157, 8156, 8157, 8164, 8176, 8183, 8168, 8185, 8282, 9641,0.19985389709472656,XXXXX
82, 8141, 8156, 8155, 8167, 8164, 8163, 8163, 8170, 8187, 8182, 8201, 8194, 8271, 9613,0.20755219459533691,XXXXX
83, 8319, 8188, 8151, 8116, 8170, 8152, 8157, 8178, 8167, 8179, 8123, 8149, 8298, 9731,0.21494746208190918,XXXXX
84, 8074, 8142, 8211, 8245, 8179, 8189, 8173, 8170, 8185, 8189, 8227, 8199, 8261, 9580,0.22268414497375488,XXXXX
85, 8252, 8181, 8130, 8102, 8159, 8157, 8163, 8174, 8166, 8181, 8077, 8130, 8290, 9707,0.2320873737335205,XXXXX
86, 8207, 8181, 8153, 8149, 8166, 8163, 8167, 8160, 8168, 8180, 8139, 8170, 8283, 9663,0.23975706100463867,XXXXX
87, 8128, 8153, 8164, 8175, 8170, 8174, 8171, 8159, 8186, 8188, 8199, 8199, 8269, 9600,0.2475118637084961,XXXXX
88, 8260, 8184, 8128, 8078, 8155, 8144, 8156, 8167, 8161, 8184, 8094, 8150, 8306, 9698,0.2537119388580322,XXXXX
89, 7992, 8143, 8202, 8234, 8169, 8177, 8163, 8162, 8183, 8188, 8254, 8227, 8265, 9527,0.26190686225891113,XXXXX
90, 8214, 8177, 8145, 8123, 8160, 8154, 8146, 8172, 8172, 8180, 8150, 8169, 8285, 9677,0.2696812152862549,XXXXX
91, 8236, 8182, 8164, 8142, 8167, 8156, 8151, 8164, 8166, 8182, 8153, 8170, 8292, 9698,0.2778184413909912,XXXXX
92, 8080, 8151, 8186, 8210, 8173, 8178, 8174, 8165, 8188, 8191, 8214, 8197, 8273, 9613,0.2866828441619873,XXXXX
93, 8267, 8191, 8129, 8092, 8157, 8151, 8159, 8174, 8164, 8187, 8077, 8129, 8307, 9718,0.2944676876068115,XXXXX
94, 8079, 8149, 8192, 8208, 8173, 8176, 8165, 8160, 8184, 8191, 8214, 8206, 8264, 9542,0.3021974563598633,XXXXX
95, 8211, 8168, 8150, 8120, 8167, 8154, 8160, 8165, 8183, 8182, 8159, 8179, 8278, 9641,0.31014442443847656,XXXXX
96, 8189, 8179, 8163, 8151, 8165, 8153, 8154, 8167, 8170, 8178, 8155, 8165, 8290, 9670,0.31752920150756836,XXXXX
