COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word
9, 7984, 8300, 8789, 8510, 8060, 8686, 7915, 8356, 8544, 8903, 8486, 8364, 8358, 8074,0.005552768707275391,XXXXX
10, 8248, 8236, 8538, 8295, 8545, 9411, 8191, 8294, 8389, 8206, 8972, 8864, 8894, 8187,0.013592004776000977,XXXXX
11, 8153, 7615, 7640, 7377, 8802, 7267, 8046, 7944, 7356, 6286, 8089, 7953, 7928, 8335,0.02136993408203125,XXXXX
12, 8148, 8862, 9840, 9050, 7173, 8080, 8430, 8445, 8725, 8842, 8458, 8536, 8377, 8964,0.02940511703491211,XXXXX
13, 8729, 8560, 8555, 8590, 8017, 9076, 8922, 8677, 8473, 8959, 8716, 8975, 8680, 8898,0.037095069885253906,BRIGHT
14, 7984, 6476, 6189, 6298, 11067, 6727, 7301, 7656, 7175, 7205, 7637, 7694, 7452, 8665,0.0448613166809082,BRIGHT
15, 8207, 8277, 8910, 8350, 9788, 7870, 7922, 8143, 8364, 8124, 8172, 8338, 8269, 9827,0.052530765533447266,BRIGHT
16, 8598, 8906, 8856, 8890, 8723, 9015, 8822, 8675, 8344, 8323, 8573, 8742, 8594, 9720,0.0603179931640625,BRIGHT
17, 7749, 7602, 7603, 7578, 8963, 7667, 7817, 8073, 7961, 8063, 8038, 7976, 8006, 9332,0.06809878349304199,BRIGHT
18, 8204, 8347, 8494, 8321, 8984, 8195, 8360, 8351, 8237, 8011, 8227, 8193, 8351, 9727,0.07590055465698242,BRIGHT
19, 8325, 8244, 8368, 8257, 9526, 8362, 8253, 8275, 8158, 8259, 8401, 8425, 8297, 9421,0.08367347717285156,BRIGHT
20, 8160, 8106, 8190, 8071, 8764, 8052, 8037, 8233, 8183, 8086, 8038, 7961, 8229, 9530,0.09271645545959473,BRIGHT
21, 8222, 8267, 8358, 8246, 9134, 8236, 8331, 8377, 8133, 7977, 8130, 7991, 8298, 9582,0.10041451454162598,BRIGHT
22, 7957, 8082, 8362, 8125, 9236, 8152, 8141, 8166, 8185, 8224, 8353, 8371, 8244, 9398,0.10824394226074219,BRIGHT
23, 8288, 8242, 8201, 8175, 8930, 8172, 8321, 8376, 8138, 8019, 8040, 8219, 8270, 9574,0.11456561088562012,BRIGHT
24, 8191, 8163, 8354, 8169, 9310, 8186, 8064, 8187, 8183, 8212, 8227, 8322, 8266, 9447,0.12394404411315918,BRIGHT
25, 8130, 8180, 8278, 8149, 8900, 8155, 8166, 8234, 8186, 8097, 8212, 8128, 8257, 9478,0.13177871704101562,BRIGHT
26, 8250, 8217, 8238, 8187, 9194, 8191, 8289, 8391, 8117, 7983, 8190, 8117, 8272, 9561,0.1393887996673584,BRIGHT
27, 8048, 8124, 8389, 8168, 9124, 8169, 8051, 8195, 8201, 8238, 8340, 8337, 8264, 9421,0.14716172218322754,BRIGHT
