COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word
53, 8219, 8171, 8156, 8131, 8159, 8162, 8160, 8176, 8174, 8188, 8149, 8184, 8282, 9631,0.00347137451171875,XXXXX
54, 8230, 8183, 8182, 8148, 8161, 8152, 8162, 8174, 8166, 8187, 8172, 8194, 8291, 9662,0.01001882553100586,XXXXX
55, 8054, 8151, 8202, 8224, 8170, 8175, 8173, 8175, 8193, 8188, 8251, 8227, 8265, 9562,0.017850399017333984,XXXXX
56, 8268, 8200, 8141, 8097, 8160, 8147, 8151, 8182, 8165, 8181, 8098, 8151, 8306, 9730,0.02591991424560547,XXXXX
57, 8066, 8158, 8209, 8234, 8178, 8181, 8168, 8172, 8181, 8189, 8236, 8216, 8271, 9595,0.03388357162475586,XXXXX
58, 8210, 8175, 8162, 8150, 8168, 8162, 8165, 8179, 8178, 8188, 8161, 8177, 8282, 9657,0.04181051254272461,XXXXX
59, 8248, 8192, 8169, 8158, 8164, 8154, 8157, 8172, 8164, 8187, 8133, 8166, 8294, 9658,0.049669742584228516,XXXXX
60, 8043, 8142, 8213, 8256, 8177, 8190, 8168, 8171, 8190, 8192, 8226, 8206, 8260, 9535,0.05761075019836426,XXXXX
61, 8320, 8190, 8127, 8077, 8167, 8156, 8157, 8185, 8168, 8180, 8065, 8126, 8300, 9735,0.06686949729919434,XXXXX
62, 8129, 8166, 8173, 8192, 8175, 8174, 8173, 8172, 8182, 8185, 8196, 8203, 8267, 9582,0.0743100643157959,XXXXX
63, 8175, 8173, 8152, 8152, 8160, 8164, 8167, 8170, 8179, 8188, 8155, 8186, 8273, 9601,0.08062052726745605,XXXXX
64, 8269, 8192, 8153, 8126, 8155, 8156, 8157, 8170, 8163, 8184, 8119, 8162, 8299, 9683,0.09020447731018066,XXXXX
65, 8052, 8148, 8189, 8225, 8172, 8182, 8171, 8170, 8199, 8187, 8244, 8225, 8261, 9553,0.0965890884399414,XXXXX
66, 8263, 8199, 8101, 8057, 8163, 8144, 8156, 8176, 8175, 8182, 8084, 8150, 8296, 9691,0.10614657402038574,XXXXX
67, 8089, 8166, 8176, 8188, 8170, 8172, 8166, 8163, 8175, 8192, 8216, 8207, 8273, 9550,0.11386799812316895,XXXXX
68, 8147, 8160, 8182, 8175, 8162, 8171, 8169, 8176, 8182, 8189, 8205, 8196, 8278, 9591,0.12169218063354492,XXXXX
69, 8277, 8195, 8150, 8115, 8167, 8154, 8167, 8179, 8171, 8178, 8102, 8154, 8302, 9695,0.1294078826904297,XXXXX
70, 8028, 8147, 8188, 8237, 8182, 8187, 8182, 8165, 8195, 8189, 8229, 8218, 8253, 9517,0.13719654083251953,XXXXX
71, 8276, 8191, 8120, 8073, 8158, 8149, 8160, 8173, 8165, 8187, 8091, 8146, 8297, 9680,0.14491629600524902,XXXXX
72, 8153, 8171, 8171, 8160, 8169, 8169, 8165, 8170, 8177, 8184, 8176, 8191, 8286, 9599,0.15287041664123535,XXXXX
73, 8116, 8161, 8165, 8164, 8173, 8177, 8167, 8178, 8194, 8184, 8194, 8201, 8269, 9571,0.16058063507080078,XXXXX
74, 8255, 8200, 8139, 8089, 8163, 8151, 8153, 8177, 8165, 8191, 8118, 8164, 8299, 9678,0.16829156875610352,XXXXX
75, 8029, 8149, 8204, 8232, 8172, 8184, 8167, 8166, 8184, 8199, 8261, 8229, 8262, 9532,0.17598390579223633,XXXXX
