COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word
0, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192,2.884859085083008,XXXXX
1, 8200, 8194, 8199, 8198, 8193, 8198, 8200, 8198, 8198, 8198, 8200, 8201, 8201, 8200,2.8926842212677,XXXXX
2, 8321, 8269, 8313, 8310, 8252, 8312, 8322, 8316, 8317, 8326, 8326, 8332, 8336, 8309,2.8991119861602783,XXXXX
3, 8386, 8501, 8461, 8513, 8493, 8511, 8439, 8491, 8520, 8526, 8438, 8454, 8479, 8294,2.9085500240325928,XXXXX
4, 8158, 8244, 8220, 8179, 8256, 8174, 8199, 8154, 8205, 8221, 8155, 8168, 8176, 8138,2.9165093898773193,XXXXX
5, 8531, 8028, 8319, 8221, 7936, 8226, 8419, 8281, 8259, 8346, 8452, 8453, 8420, 8652,2.924206495285034,XXXXX
6, 8179, 8926, 8519, 8823, 8999, 8816, 8379, 8734, 8755, 8663, 8400, 8410, 8486, 7883,2.932328462600708,XXXXX
7, 6462, 7110, 6609, 6424, 7331, 6386, 6495, 6298, 6453, 6393, 6302, 6267, 6215, 6691,2.9402167797088623,XXXXX
8, 4405, 2941, 3190, 2549, 3135, 2567, 3530, 2862, 2336, 2341, 3634, 3296, 2868, 5918,2.9482691287994385,XXXXX
9, 2731, 2659, 1837, 2124, 3160, 2168, 1880, 2421, 1430, 661, 2268, 1822, 1428, 4051,2.9563045501708984,XXXXX
10, 3109, 3797, 2695, 2834, 4449, 2859, 2589, 3018, 2214, 1252, 2804, 2394, 2151, 3966,2.962724447250366,XXXXX
11, 3664, 3186, 2695, 2381, 3742, 2457, 2859, 2743, 1819, 1273, 3064, 2649, 2333, 4770,2.970703363418579,XXXXX
12, 3468, 3131, 2288, 2342, 3703, 2436, 2395, 2643, 1699, 976, 2629, 2419, 2065, 4609,2.9786272048950195,XXXXX
13, 3728, 3525, 2593, 2576, 4090, 2662, 2664, 2889, 2111, 1214, 2914, 2715, 2384, 4736,2.9873809814453125,XXXXX
14, 3665, 3564, 2668, 2562, 4125, 2673, 2799, 2905, 2162, 1321, 3012, 2682, 2361, 4675,2.9951088428497314,XXXXX
