COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,word
22, 8261, 8187, 8142, 8096, 8158, 8155, 8155, 8169, 8174, 8182, 8125, 8165, 8295, 9700,0.0055043697357177734,XXXXX
23, 8156, 8173, 8187, 8187, 8168, 8163, 8162, 8167, 8176, 8183, 8201, 8205, 8283, 9649,0.011952638626098633,XXXXX
24, 8077, 8154, 8191, 8206, 8168, 8175, 8171, 8176, 8183, 8188, 8223, 8202, 8271, 9618,0.019704818725585938,XXXXX
25, 8275, 8199, 8144, 8087, 8162, 8150, 8157, 8180, 8160, 8183, 8093, 8139, 8305, 9750,0.027481555938720703,XXXXX
26, 8046, 8153, 8211, 8233, 8181, 8185, 8175, 8168, 8194, 8192, 8249, 8226, 8262, 9566,0.03522014617919922,XXXXX
27, 8246, 8185, 8155, 8119, 8166, 8160, 8163, 8180, 8180, 8188, 8137, 8164, 8291, 9695,0.04324173927307129,XXXXX
28, 8175, 8180, 8190, 8179, 8175, 8170, 8164, 8173, 8168, 8184, 8172, 8171, 8289, 9683,0.05206489562988281,XXXXX
29, 8098, 8158, 8196, 8219, 8181, 8181, 8173, 8171, 8187, 8184, 8210, 8187, 8265, 9622,0.060079097747802734,XXXXX
30, 8339, 8200, 8129, 8090, 8168, 8149, 8156, 8174, 8168, 8183, 8073, 8124, 8302, 9724,0.06795835494995117,XXXXX
31, 8061, 8147, 8205, 8236, 8180, 8188, 8169, 8163, 8191, 8193, 8238, 8214, 8265, 9515,0.07450056076049805,XXXXX
32, 8204, 8177, 8151, 8115, 8163, 8160, 8166, 8176, 8183, 8181, 8136, 8171, 8288, 9647,0.08231139183044434,XXXXX
33, 8210, 8184, 8151, 8128, 8162, 8153, 8163, 8168, 8173, 8178, 8128, 8169, 8291, 9665,0.09018588066101074,XXXXX
34, 8080, 8144, 8170, 8204, 8169, 8179, 8165, 8162, 8186, 8186, 8212, 8209, 8261, 9554,0.0994715690612793,XXXXX
35, 8289, 8195, 8137, 8092, 8156, 8154, 8153, 8176, 8162, 8179, 8106, 8156, 8303, 9700,0.10730123519897461,XXXXX
36, 8050, 8159, 8221, 8247, 8170, 8178, 8171, 8176, 8188, 8190, 8245, 8219, 8269, 9567,0.11503052711486816,XXXXX
37, 8199, 8175, 8150, 8137, 8166, 8159, 8163, 8175, 8174, 8187, 8134, 8162, 8283, 9652,0.12284088134765625,XXXXX
38, 8218, 8187, 8138, 8114, 8164, 8160, 8161, 8163, 8161, 8183, 8134, 8173, 8297, 9632,0.1305689811706543,XXXXX
39, 8040, 8147, 8193, 8219, 8168, 8183, 8171, 8166, 8197, 8189, 8254, 8229, 8265, 9523,0.13862133026123047,XXXXX
40, 8310, 8193, 8145, 8104, 8162, 8150, 8156, 8179, 8168, 8179, 8088, 8135, 8301, 9732,0.14635443687438965,XXXXX
41, 8100, 8156, 8195, 8226, 8180, 8188, 8176, 8171, 8177, 8184, 8193, 8192, 8271, 9584,0.15413451194763184,XXXXX
42, 8169, 8173, 8145, 8131, 8163, 8172, 8164, 8177, 8183, 8189, 8151, 8183, 8285, 9618,0.16186046600341797,XXXXX
43, 8225, 8193, 8150, 8116, 8161, 8149, 8150, 8171, 8168, 8185, 8143, 8180, 8298, 9666,0.1697089672088623,XXXXX
44, 8017, 8141, 8210, 8248, 8180, 8178, 8170, 8166, 8190, 8188, 8253, 8220, 8255, 9537,0.17745327949523926,XXXXX
45, 8311, 8190, 8141, 8100, 8164, 8153, 8161, 8176, 8170, 8183, 8084, 8130, 8298, 9734,0.1852736473083496,XXXXX
46, 8175, 8167, 8189, 8208, 8174, 8185, 8171, 8165, 8185, 8188, 8189, 8194, 8275, 9636,0.19313669204711914,XXXXX
47, 8191, 8169, 8154, 8150, 8170, 8174, 8166, 8177, 8184, 8185, 8147, 8174, 8278, 9642,0.2011430263519287,XXXXX
48, 8263, 8190, 8139, 8104, 8164, 8148, 8154, 8180, 8164, 8181, 8096, 8143, 8301, 9681,0.20911240577697754,XXXXX
49, 8048, 8143, 8198, 8236, 8171, 8183, 8172, 8165, 8195, 8184, 8247, 8221, 8259, 9523,0.21718931198120117,XXXXX
