COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Timestamp,motor_imagery_class
35, 8211, 8164, 8139, 8218, 8161, 8142, 8120, 8130, 8114, 8155, 8151, 8126, 8143, 8158,7.459940671920776,LEFT_HAND
36, 8211, 8164, 8144, 8215, 8149, 8130, 8114, 8130, 8099, 8148, 8149, 8132, 8142, 8153,7.468176603317261,LEFT_HAND
37, 8226, 8165, 8165, 8214, 8158, 8140, 8119, 8141, 8103, 8161, 8161, 8153, 8154, 8168,7.476157903671265,LEFT_HAND
38, 8220, 8163, 8162, 8203, 8166, 8147, 8115, 8142, 8114, 8165, 8155, 8160, 8156, 8175,7.483995199203491,LEFT_HAND
39, 8211, 8161, 8151, 8186, 8148, 8137, 8118, 8158, 8123, 8159, 8151, 8142, 8144, 8164,7.4918036460876465,LEFT_HAND
40, 8187, 8147, 8131, 8181, 8131, 8140, 8127, 8149, 8131, 8161, 8137, 8119, 8141, 8146,7.499857664108276,LEFT_HAND
41, 8177, 8143, 8129, 8184, 8129, 8153, 8141, 8148, 8132, 8161, 8140, 8124, 8146, 8141,7.506143808364868,LEFT_HAND
42, 8194, 8156, 8143, 8187, 8134, 8153, 8146, 8169, 8138, 8160, 8149, 8146, 8147, 8144,7.515501499176025,LEFT_HAND
43, 8197, 8163, 8145, 8189, 8146, 8152, 8144, 8182, 8153, 8173, 8151, 8147, 8155, 8153,7.523258924484253,LEFT_HAND
44, 8202, 8163, 8156, 8189, 8161, 8165, 8158, 8194, 8155, 8184, 8169, 8145, 8165, 8170,7.531170845031738,LEFT_HAND
45, 8205, 8169, 8158, 8191, 8171, 8169, 8152, 8165, 8137, 8176, 8164, 8152, 8161, 8168,7.53895902633667,LEFT_HAND
46, 8205, 8171, 8161, 8191, 8165, 8160, 8134, 8144, 8120, 8163, 8161, 8154, 8160, 8161,7.546913146972656,LEFT_HAND
47, 8208, 8168, 8166, 8190, 8153, 8155, 8132, 8151, 8128, 8160, 8170, 8152, 8170, 8158,7.554763078689575,LEFT_HAND
48, 8204, 8166, 8163, 8191, 8152, 8156, 8128, 8147, 8133, 8174, 8161, 8154, 8179, 8157,7.562506198883057,LEFT_HAND
49, 8215, 8170, 8177, 8191, 8156, 8158, 8131, 8173, 8127, 8189, 8170, 8161, 8185, 8171,7.570249080657959,LEFT_HAND
50, 8218, 8178, 8176, 8190, 8156, 8159, 8131, 8181, 8139, 8193, 8169, 8168, 8188, 8172,7.57810115814209,LEFT_HAND
51, 8214, 8177, 8175, 8188, 8154, 8163, 8142, 8176, 8160, 8193, 8168, 8172, 8186, 8172,7.58597469329834,LEFT_HAND
52, 8213, 8167, 8180, 8179, 8158, 8170, 8161, 8187, 8165, 8189, 8172, 8164, 8184, 8180,7.593790531158447,LEFT_HAND
